id,type,title,artists,description,first_seen,last_seen,times_recommended,latest_position
RDCLAK5uy_lsl0WiIp96sJajCIcHkUnOWtsU29tDSNg,Playlist,Gentle Acoustic Instrumentals,,"Lance Allen, Arlen Kessler, Ken Verheecke, Al Borneaux",2026-09-22T08:34:36Z,2026-09-22T08:34:36Z,1,1
RDCLAK5uy_lBXJA3sbgAXtfFc9gIKWF4U4gKku-XAqk,Playlist,Harvest Moon,,"Nick Drake, Fleetwood Mac, Fleet Foxes, Bon Iver",2026-09-22T08:34:36Z,2026-09-22T08:34:36Z,1,2
RDCLAK5uy_nwv9WTWpCNUphjwSIg0sQLlPqGZQ7pfnA,Playlist,Indie Folk Favorites,,"Houndmouth, Noah Kahan, Deer Tick, Fruit Bats",2026-09-22T08:34:36Z,2026-09-22T08:34:36Z,1,3
RDCLAK5uy_kOp_Jn5cqp0lkCY6jQ2xRxekyGT_txl6Y,Playlist,College Radio Memories,,"Pixies, The Cure, New Order, The Replacements",2026-09-22T08:34:36Z,2026-09-22T08:34:36Z,1,4
RDCLAK5uy_knjrVYb4hqW1NRO4fhZbXmJtMmp5IPcTs,Playlist,Soulful Instrumentals & Pensive Beats,,"Ninjoi., Blockhead, J Dilla, Lapalux",2026-09-22T08:34:36Z,2026-09-22T08:34:36Z,1,5
RDCLAK5uy_kTgC4HnOI3u2_HgrS_x6D9n3gyImsgnh0,Playlist,Acoustic Indie & Alternative,,"Medium Build, Houndmouth, Hozier, The Tallest Man On Earth",2026-09-22T08:34:36Z,2026-09-22T08:34:36Z,1,6
RDCLAK5uy_mX4JK0m7lhZ8Egv1E7bbXox_e0k6rGejo,Playlist,Chill R&B,,"Summer Walker, SZA, Kali Uchis, Kehlani",2026-09-22T08:34:36Z,2026-09-22T08:34:36Z,1,7
RDCLAK5uy_n1z1RFB1C7LwY6TwWmPKz31ppkoCX8uBk,Playlist,Autumn Almanac,,"The White Stripes, The National, The Lumineers, Green Day",2026-09-22T08:34:36Z,2026-09-22T08:34:36Z,1,8
RDCLAK5uy_lWy02cQBnTVTlwuRauaGKeUDH3L6PXNxI,Playlist,Feel-Good Classic Rock,,"Creedence Clearwater Revival, Eagles, Van Halen, Bruce Springsteen",2026-09-22T08:34:36Z,2026-09-22T08:34:36Z,1,9
RDCLAK5uy_mkEwQuegHYB8_aAzBO8Q__6gGoaFblISw,Playlist,Feel-Good Hip Hop and R&B,,"Drake, Tyla, Bad Bunny, Kendrick Lamar",2026-09-22T08:34:36Z,2026-09-22T08:34:36Z,1,10
