id,type,title,artists,description,first_seen,last_seen,times_recommended,latest_position
RDCLAK5uy_kf6c8Ga41e1bLKYCaulkiZ1NIVYJnr3Jk,Playlist,Best Of French Touch,,"Daft Punk, Justice, Breakbot, Phoenix",2026-09-13T08:20:33Z,2026-09-13T08:20:33Z,1,1
RDCLAK5uy_nIQ-vZjrOsAAHK2SNZZO7mJ0e1yak6baE,Playlist,Electronic Mind Focus,,"Jon Hopkins, Maribou State, Nils Frahm, Four Tet",2026-09-13T08:20:33Z,2026-09-13T08:20:33Z,1,2
RDCLAK5uy_lsl0WiIp96sJajCIcHkUnOWtsU29tDSNg,Playlist,Gentle Acoustic Instrumentals,,"Lance Allen, Arlen Kessler, Pirlo Rossi, Ken Verheecke",2026-09-13T08:20:33Z,2026-09-13T08:20:33Z,1,3
RDCLAK5uy_lumXQa84RkJA4Qd7iJkVrF6cgYEaoX6yg,Playlist,Presenting John Prine,,"John Prine, The Crickets, Kurt Vile",2026-09-13T08:20:33Z,2026-09-13T08:20:33Z,1,4
RDCLAK5uy_nnZGCEPxzc5FASdbQVMufD25OfYBJlHqY,Playlist,Modern Classical,,"Jon Batiste, Rabello, Jamie Duffy, Sofiane Pamart",2026-09-13T08:20:33Z,2026-09-13T08:20:33Z,1,5
RDCLAK5uy_lX29m3FBic7gGpiZ_4hhJWAzLu4Sz6OME,Playlist,Ambient Focus,,"Astropilot, Phillip Wilkerson, Warmth, Cardamom",2026-09-13T08:20:33Z,2026-09-13T08:20:33Z,1,6
RDCLAK5uy_kIrhbbaxT9GMhR0hkd-05ydAfaAziKAWQ,Playlist,Indie Instrumentals,,"Hermanos Gutiérrez, Hammock, Explosions In The Sky, Bing  & Ruth",2026-09-13T08:20:33Z,2026-09-13T08:20:33Z,1,7
RDCLAK5uy_lQ3MzGhb2aFP0TMt6Rzmxjbr5V_jhm4UY,Playlist,Mojito Lounge,,"Buddha Bar, L'Impératrice, Flavia Coelho, David Walters",2026-09-13T08:20:33Z,2026-09-13T08:20:33Z,1,8
RDCLAK5uy_m8dBcjI_YihMkPVZE0OUT0h01rMvV4RvY,Playlist,Presenting Bonobo,,"Bonobo, TEED",2026-09-13T08:20:33Z,2026-09-13T08:20:33Z,1,9
RDCLAK5uy_lx2OYXSR8SC0tNaMnsQYu4MuPD015F0Ig,Playlist,Presenting Billie Holiday,,"Billie Holiday, Eddie Heywood & His Orchestra",2026-09-13T08:20:33Z,2026-09-13T08:20:33Z,1,10
