id,type,title,artists,description,first_seen,last_seen,times_recommended,latest_position
MPREb_484cLlH7eVa,Album,Doc Watson,Doc Watson,,2026-09-13T08:20:33Z,2026-09-13T08:20:33Z,1,1
MPREb_ks8WTDTxGlb,Album,The Very Best of Jim Croce,Jim Croce,,2026-09-13T08:20:33Z,2026-09-13T08:20:33Z,1,2
MPREb_6Tc5t07KVC2,Album,Elementary Doctor Watson,Doc & Merle Watson,,2026-09-13T08:20:33Z,2026-09-13T08:20:33Z,1,3
MPREb_E0ZAGe6Us9U,Album,Such Jubilee,Watchhouse,,2026-09-13T08:20:33Z,2026-09-13T08:20:33Z,1,4
MPREb_fG7nJn6tuAB,Album,The Devil Makes Three,The Devil Makes Three,,2026-09-13T08:20:33Z,2026-09-13T08:20:33Z,1,5
MPREb_pXQgK8Q6WIY,Album,Chinatown,The Be Good Tanyas,,2026-09-13T08:20:33Z,2026-09-13T08:20:33Z,1,6
MPREb_bXYWUOsgMMR,Album,Colter Wall,Colter Wall,,2026-09-13T08:20:33Z,2026-09-13T08:20:33Z,1,7
MPREb_mIL8AouLBZl,Album,John Prine,John Prine,,2026-09-13T08:20:33Z,2026-09-13T08:20:33Z,1,8
MPREb_HfagDzjvzrC,Album,Home,Billy Strings,,2026-09-13T08:20:33Z,2026-09-13T08:20:33Z,1,9
9ImdX0RgA50,Song,Serpent Lullaby,The Brudi Brothers,,2026-09-13T08:20:33Z,2026-09-13T08:20:33Z,1,10
