id,type,title,artists,description,first_seen,last_seen,times_recommended,latest_position
PLn_U1dJeKbeqvYv1hq4Mu2ssrav3UtEIe,Playlist,OZORA STAGE 2023,,Alexis RL • 15K views,2026-09-16T08:37:41Z,2026-09-16T08:37:41Z,1,5
PLwz4X6DJdbqZcH8jAL_RM5OhHjBhhil8a,Playlist,Mantra psy,,Nitish Amballa • 6.3K views,2026-09-16T05:17:55Z,2026-09-16T08:37:41Z,2,6
MPREb_uJBKSFG5JuR,Album,Heroes of The Imagination,1200 Micrograms,,2026-09-16T05:17:55Z,2026-09-16T05:17:55Z,1,5
PLMVAA58w73gOEBeIOLuX1AJpbUy63962B,Playlist,psychedelic,,tsuu 024 • 24K views,2026-09-16T05:17:55Z,2026-09-16T08:37:41Z,2,9
PLqxc8FuXNzW-_QAc0CMq6AZJLpdyi7i7P,Playlist,chilli,,jaosjshsi • 1.8K views,2026-09-16T05:17:55Z,2026-09-16T05:17:55Z,1,8
MPREb_NCR8Cqr545Z,Album,Vaccine Electronic,Younger Brother,,2026-09-16T05:17:55Z,2026-09-16T08:37:41Z,2,8
RDCLAK5uy_nmyiTFaD-osoI95yEMuRjaSMQiTDRJz6E,Playlist,Néctar,,"Lagartijeando, Chancha Vía Circuito, El Búho, Rodrigo Gallardo",2026-09-12T20:31:54Z,2026-09-16T08:37:41Z,3,3
MPREb_zQCseWNkuMt,Album,The Gathering,Infected Mushroom,,2026-09-12T20:31:54Z,2026-09-12T20:31:54Z,1,2
MPREb_JvHRMJMlh3b,Album,Classical Mushroom,Infected Mushroom,,2026-09-12T20:31:54Z,2026-09-16T08:37:41Z,2,1
MPREb_Jt9E6eGtzHE,Album,Converting Vegetarians,Infected Mushroom,,2026-09-12T20:31:54Z,2026-09-12T20:31:54Z,1,4
MPREb_7K1IAtgjGY1,Album,Dancing Galaxy,Astral Projection,,2026-09-12T20:31:54Z,2026-09-16T08:37:41Z,3,2
PLnXa9gv07Y9CE7t7lhkD0SjeLC-z1q3uO,Playlist,psytrance geek,,Jaimie loy • 3.2K views,2026-09-12T20:31:54Z,2026-09-16T05:17:55Z,2,10
PLlfKIVx91D0ByyeS6Tu68jzvduA5q8hCf,Playlist,psycko,,Niko Ala • 4.9K views,2026-09-12T20:31:54Z,2026-09-16T08:37:41Z,2,10
PL4woiuN75HyrQZF6hZCsjuOFO2D_S48Q7,Playlist,psyrav,,Acardul G • 34K views,2026-09-12T20:31:54Z,2026-09-16T08:37:41Z,3,4
UCQ4wBzkVgNQz-tVoJmzm1iA,Artist,Ott,,,2026-09-12T20:31:54Z,2026-09-12T20:31:54Z,1,9
PLJ8O8gWin_u98ldqyoI5_YYuUZdFFrrFl,Playlist,Psy-cloNe,,Tanmay • 7.5K views,2026-09-12T20:31:54Z,2026-09-16T08:37:41Z,3,7
