id,type,title,artists,description,first_seen,last_seen,times_recommended,latest_position
RRYZW98KtAY,Video,How Boredom Works | STUFF YOU SHOULD KNOW,,"🛎  If You're New Subscribe ► https://bit.ly/SYSKSubscribe

How Boredom Works | STUFF YOU SHOULD KNOW

Are there benefits to boredom? Or is it all negative? Why do we get bored? What can we do to break free from boredom? The answers to those questions and more are coming your way today.

Original Air Date: September 15, 2026

❤️ iHeartRadio » https://ihr.fm/3DyBDna
📢 APPLE PODCASTS » https://apple.co/3SKFZMe
📢 AMAZON MUSIC » https://amzn.to/3WgBVq1
🟢 SPOTIFY » https://spoti.fi/3zvX3ij
🎥 PREVIOUS VIDEO » https://youtu.be/hZfMKRdALkU
📕 GRAB YOUR COPY of Stuff You Should Read » https://bit.ly/3N9DuSm

✨ KEEP IN TOUCH WITH :
FACEBOOK » https://bit.ly/3DeXKxB
TWITTER » https://bit.ly/3NbH9PM
INSTAGRAM » https://bit.ly/3N9rosu
GOOGLE+ » https://bit.ly/3TJW6v0

If you've ever wanted to know about champagne, satanism, the Stonewall Uprising, chaos theory, LSD, El Nino, true crime and Rosa Parks, then look no further. Josh and Chuck have you covered, a podcast by iHeartRadio.

New episodes daily on iHeartRadio.

#StuffYouShouldKnow #StuffYouShouldKnowPodcast #StuffYouShouldKnowAbout #StuffYouShouldKnowHosts #BestStuffYouShouldKnowEpisodes #StuffYouShouldKnowTrivialPursuit",2026-09-17T08:41:23Z,2026-09-17T08:41:23Z,1,4
m47rYHqNq4g,Video,Why Evangelicals Started Looking for 666 in Barcodes,,"With my link, you can get 50% off of Nebula. It’s just $30/year, or $2.5/month, at https://go.nebula.tv/religionforbreakfast 
Watch A Bit Obscure!: https://nebula.tv/abitfrank/a-bit-obscure?ref=religionforbreakfast 

Revelation 13 describes a mark, 666, branded on people so that no one can buy or sell without it. How did American evangelicals come to read that as a barcode, a microchip, or a vaccine? A history of a fifty-year search, and what the text originally meant.

Religion for Breakfast videos take a lot of research and collaboration. Patreon support helps fund editors, scholars, and future episodes. Support us here: https://www.patreon.com/c/religionforbreakfast

Select imagery/video supplied by Getty Images and Reuters",2026-09-16T08:37:41Z,2026-09-17T08:41:23Z,2,1
hZfMKRdALkU,Video,Selects: Wasps: Not as cute as bees | STUFF YOU SHOULD KNOW,,"🛎  If You're New Subscribe ► https://bit.ly/SYSKSubscribe

Selects: Wasps: Not as cute as bees | STUFF YOU SHOULD KNOW

Wasps have a bad rap. Because their sting really hurts and they don't make honey like their cousins. But they are super cool and you shouldn't kill them. Listen to this classic episode and learn!

Original Air Date: September 12, 2026

❤️ iHeartRadio » https://ihr.fm/3DyBDna
📢 APPLE PODCASTS » https://apple.co/3SKFZMe
📢 AMAZON MUSIC » https://amzn.to/3WgBVq1
🟢 SPOTIFY » https://spoti.fi/3zvX3ij
🎥 PREVIOUS VIDEO » https://youtu.be/LmdkXDtHpko
📕 GRAB YOUR COPY of Stuff You Should Read » https://bit.ly/3N9DuSm

✨ KEEP IN TOUCH WITH :
FACEBOOK » https://bit.ly/3DeXKxB
TWITTER » https://bit.ly/3NbH9PM
INSTAGRAM » https://bit.ly/3N9rosu
GOOGLE+ » https://bit.ly/3TJW6v0

If you've ever wanted to know about champagne, satanism, the Stonewall Uprising, chaos theory, LSD, El Nino, true crime and Rosa Parks, then look no further. Josh and Chuck have you covered, a podcast by iHeartRadio.

New episodes daily on iHeartRadio.

#StuffYouShouldKnow #StuffYouShouldKnowPodcast #StuffYouShouldKnowAbout #StuffYouShouldKnowHosts #BestStuffYouShouldKnowEpisodes #StuffYouShouldKnowTrivialPursuit",2026-09-15T08:43:06Z,2026-09-17T08:41:23Z,4,9
LmdkXDtHpko,Video,The Odyssey Episode | STUFF YOU SHOULD KNOW,,"🛎  If You're New Subscribe ► https://bit.ly/SYSKSubscribe

The Odyssey Episode | STUFF YOU SHOULD KNOW

Why does the story of The Odyssey endure this many years after it was first spoken? Listen in to find out.

Original Air Date: September 10, 2026

❤️ iHeartRadio » https://ihr.fm/3DyBDna
📢 APPLE PODCASTS » https://apple.co/3SKFZMe
📢 AMAZON MUSIC » https://amzn.to/3WgBVq1
🟢 SPOTIFY » https://spoti.fi/3zvX3ij
🎥 PREVIOUS VIDEO » https://youtu.be/3aXpyF8a1qg
📕 GRAB YOUR COPY of Stuff You Should Read » https://bit.ly/3N9DuSm

✨ KEEP IN TOUCH WITH :
FACEBOOK » https://bit.ly/3DeXKxB
TWITTER » https://bit.ly/3NbH9PM
INSTAGRAM » https://bit.ly/3N9rosu
GOOGLE+ » https://bit.ly/3TJW6v0

If you've ever wanted to know about champagne, satanism, the Stonewall Uprising, chaos theory, LSD, El Nino, true crime and Rosa Parks, then look no further. Josh and Chuck have you covered, a podcast by iHeartRadio.

New episodes daily on iHeartRadio.

#StuffYouShouldKnow #StuffYouShouldKnowPodcast #StuffYouShouldKnowAbout #StuffYouShouldKnowHosts #BestStuffYouShouldKnowEpisodes #StuffYouShouldKnowTrivialPursuit",2026-09-12T19:29:50Z,2026-09-17T08:41:23Z,12,5
54vdcEt_2Go,Video,Selects: Blacksmiths? You got that right! | STUFF YOU SHOULD KNOW,,"🛎  If You're New Subscribe ► https://bit.ly/SYSKSubscribe

Selects: Blacksmiths? You got that right! | STUFF YOU SHOULD KNOW

Blacksmiths? You got that right. Learn all about this age old occupation in this classic episode.

Original Air Date: September 5, 2026

❤️ iHeartRadio » https://ihr.fm/3DyBDna
📢 APPLE PODCASTS » https://apple.co/3SKFZMe
📢 AMAZON MUSIC » https://amzn.to/3WgBVq1
🟢 SPOTIFY » https://spoti.fi/3zvX3ij
🎥 PREVIOUS VIDEO » https://youtu.be/B39yiFyDdr8
📕 GRAB YOUR COPY of Stuff You Should Read » https://bit.ly/3N9DuSm

✨ KEEP IN TOUCH WITH :
FACEBOOK » https://bit.ly/3DeXKxB
TWITTER » https://bit.ly/3NbH9PM
INSTAGRAM » https://bit.ly/3N9rosu
GOOGLE+ » https://bit.ly/3TJW6v0

If you've ever wanted to know about champagne, satanism, the Stonewall Uprising, chaos theory, LSD, El Nino, true crime and Rosa Parks, then look no further. Josh and Chuck have you covered, a podcast by iHeartRadio.

New episodes daily on iHeartRadio.

#StuffYouShouldKnow #StuffYouShouldKnowPodcast #StuffYouShouldKnowAbout #StuffYouShouldKnowHosts #BestStuffYouShouldKnowEpisodes #StuffYouShouldKnowTrivialPursuit",2026-09-12T19:29:50Z,2026-09-17T08:41:23Z,12,8
Byy3tl9HEqw,Video,Short Stuff: Hisashi Ouchi | STUFF YOU SHOULD KNOW,,"🛎  If You're New Subscribe ► https://bit.ly/SYSKSubscribe

Short Stuff: Hisashi Ouchi | STUFF YOU SHOULD KNOW

Japanese nuclear worker Hisashi Ouchi is often called on the internet “the world’s most radioactive man.” That’s not exactly true, but it gets the point across about how severe the fatal dose of radiation he received was.

Original Air Date: September 1, 2026

❤️ iHeartRadio » https://ihr.fm/3DyBDna
📢 APPLE PODCASTS » https://apple.co/3SKFZMe
📢 AMAZON MUSIC » https://amzn.to/3WgBVq1
🟢 SPOTIFY » https://spoti.fi/3zvX3ij
🎥 PREVIOUS VIDEO » https://youtu.be/yH0IJcepcic
📕 GRAB YOUR COPY of Stuff You Should Read » https://bit.ly/3N9DuSm

✨ KEEP IN TOUCH WITH :
FACEBOOK » https://bit.ly/3DeXKxB
TWITTER » https://bit.ly/3NbH9PM
INSTAGRAM » https://bit.ly/3N9rosu
GOOGLE+ » https://bit.ly/3TJW6v0

If you've ever wanted to know about champagne, satanism, the Stonewall Uprising, chaos theory, LSD, El Nino, true crime and Rosa Parks, then look no further. Josh and Chuck have you covered, a podcast by iHeartRadio.

New episodes daily on iHeartRadio.

#StuffYouShouldKnow #StuffYouShouldKnowPodcast #StuffYouShouldKnowAbout #StuffYouShouldKnowHosts #BestStuffYouShouldKnowEpisodes #StuffYouShouldKnowTrivialPursuit",2026-09-12T19:29:50Z,2026-09-17T08:41:23Z,12,7
B39yiFyDdr8,Video,"Social Identity Theory: Your Group Rules, Others Drool | STUFF YOU SHOULD KNOW",,"🛎  If You're New Subscribe ► https://bit.ly/SYSKSubscribe

Social Identity Theory: Your Group Rules, Others Drool | STUFF YOU SHOULD KNOW

In the 80s, a pair of psychologists theorized why being part of a group can change people’s thoughts and feelings, both about themselves and other people. It sounds dry, but SIT explains everything from how people justify genocide to football rivalries.

Original Air Date: September 3, 2026

❤️ iHeartRadio » https://ihr.fm/3DyBDna
📢 APPLE PODCASTS » https://apple.co/3SKFZMe
📢 AMAZON MUSIC » https://amzn.to/3WgBVq1
🟢 SPOTIFY » https://spoti.fi/3zvX3ij
🎥 PREVIOUS VIDEO » https://youtu.be/Byy3tl9HEqw
📕 GRAB YOUR COPY of Stuff You Should Read » https://bit.ly/3N9DuSm

✨ KEEP IN TOUCH WITH :
FACEBOOK » https://bit.ly/3DeXKxB
TWITTER » https://bit.ly/3NbH9PM
INSTAGRAM » https://bit.ly/3N9rosu
GOOGLE+ » https://bit.ly/3TJW6v0

If you've ever wanted to know about champagne, satanism, the Stonewall Uprising, chaos theory, LSD, El Nino, true crime and Rosa Parks, then look no further. Josh and Chuck have you covered, a podcast by iHeartRadio.

New episodes daily on iHeartRadio.

#StuffYouShouldKnow #StuffYouShouldKnowPodcast #StuffYouShouldKnowAbout #StuffYouShouldKnowHosts #BestStuffYouShouldKnowEpisodes #StuffYouShouldKnowTrivialPursuit",2026-09-12T19:29:50Z,2026-09-17T08:41:23Z,12,2
THad1tkjdQE,Video,Terry Fox: Greatest Canadian Hero | STUFF YOU SHOULD KNOW,,"🛎  If You're New Subscribe ► https://bit.ly/SYSKSubscribe

Terry Fox: Greatest Canadian Hero | STUFF YOU SHOULD KNOW

It is to the great nation of Canada’s lasting credit that it has prized Terry Fox as one of the most beloved and admired citizens for nearly 50 years now. It’s difficult to get across how much he means to Canada. Lucky for us, his story speaks for itself.

Original Air Date: September 1, 2026

❤️ iHeartRadio » https://ihr.fm/3DyBDna
📢 APPLE PODCASTS » https://apple.co/3SKFZMe
📢 AMAZON MUSIC » https://amzn.to/3WgBVq1
🟢 SPOTIFY » https://spoti.fi/3zvX3ij
🎥 PREVIOUS VIDEO » https://youtu.be/9R2HvVxCYrY
📕 GRAB YOUR COPY of Stuff You Should Read » https://bit.ly/3N9DuSm

✨ KEEP IN TOUCH WITH :
FACEBOOK » https://bit.ly/3DeXKxB
TWITTER » https://bit.ly/3NbH9PM
INSTAGRAM » https://bit.ly/3N9rosu
GOOGLE+ » https://bit.ly/3TJW6v0

If you've ever wanted to know about champagne, satanism, the Stonewall Uprising, chaos theory, LSD, El Nino, true crime and Rosa Parks, then look no further. Josh and Chuck have you covered, a podcast by iHeartRadio.

New episodes daily on iHeartRadio.

#StuffYouShouldKnow #StuffYouShouldKnowPodcast #StuffYouShouldKnowAbout #StuffYouShouldKnowHosts #BestStuffYouShouldKnowEpisodes #StuffYouShouldKnowTrivialPursuit",2026-09-12T19:29:50Z,2026-09-16T08:37:41Z,11,5
yH0IJcepcic,Video,Selects: Flagpole Sitting: A Real Fad | STUFF YOU SHOULD KNOW,,"🛎  If You're New Subscribe ► https://bit.ly/SYSKSubscribe

Selects: Flagpole Sitting: A Real Fad | STUFF YOU SHOULD KNOW

The 1920s were just absolutely nuts. People got into weird fads really intensely and one of the strangest of all was flagpole sitting. It’s just what it sounds like – sitting on top of a flagpole for as long as you can. One man sat above them all. Learn all about him and many of these wild fads in this classic episode.

Original Air Date: August 29, 2026 

❤️ iHeartRadio » https://ihr.fm/3DyBDna
📢 APPLE PODCASTS » https://apple.co/3SKFZMe
📢 AMAZON MUSIC » https://amzn.to/3WgBVq1
🟢 SPOTIFY » https://spoti.fi/3zvX3ij
🎥 PREVIOUS VIDEO » https://youtu.be/THad1tkjdQE
📕 GRAB YOUR COPY of Stuff You Should Read » https://bit.ly/3N9DuSm

✨ KEEP IN TOUCH WITH :
FACEBOOK » https://bit.ly/3DeXKxB
TWITTER » https://bit.ly/3NbH9PM
INSTAGRAM » https://bit.ly/3N9rosu
GOOGLE+ » https://bit.ly/3TJW6v0

If you've ever wanted to know about champagne, satanism, the Stonewall Uprising, chaos theory, LSD, El Nino, true crime and Rosa Parks, then look no further. Josh and Chuck have you covered, a podcast by iHeartRadio.

New episodes daily on iHeartRadio.

#StuffYouShouldKnow #StuffYouShouldKnowPodcast #StuffYouShouldKnowAbout #StuffYouShouldKnowHosts #BestStuffYouShouldKnowEpisodes #StuffYouShouldKnowTrivialPursuit",2026-09-12T19:29:50Z,2026-09-16T08:37:41Z,11,4
3aXpyF8a1qg,Video,Short Stuff: Flappers | STUFF YOU SHOULD KNOW,,"🛎  If You're New Subscribe ► https://bit.ly/SYSKSubscribe

Short Stuff: Flappers | STUFF YOU SHOULD KNOW

In the 1920s, a certain set of women wanted to loosen up and have a good time. Today, we get into it with the flappers.

Original Air Date: September 9, 2026

❤️ iHeartRadio » https://ihr.fm/3DyBDna
📢 APPLE PODCASTS » https://apple.co/3SKFZMe
📢 AMAZON MUSIC » https://amzn.to/3WgBVq1
🟢 SPOTIFY » https://spoti.fi/3zvX3ij
🎥 PREVIOUS VIDEO » https://youtu.be/NxQvxfaRhBc
📕 GRAB YOUR COPY of Stuff You Should Read » https://bit.ly/3N9DuSm

✨ KEEP IN TOUCH WITH :
FACEBOOK » https://bit.ly/3DeXKxB
TWITTER » https://bit.ly/3NbH9PM
INSTAGRAM » https://bit.ly/3N9rosu
GOOGLE+ » https://bit.ly/3TJW6v0

If you've ever wanted to know about champagne, satanism, the Stonewall Uprising, chaos theory, LSD, El Nino, true crime and Rosa Parks, then look no further. Josh and Chuck have you covered, a podcast by iHeartRadio.

New episodes daily on iHeartRadio.

#StuffYouShouldKnow #StuffYouShouldKnowPodcast #StuffYouShouldKnowAbout #StuffYouShouldKnowHosts #BestStuffYouShouldKnowEpisodes #StuffYouShouldKnowTrivialPursuit",2026-09-12T19:29:50Z,2026-09-17T08:41:23Z,12,6
