id,type,title,artists,description,first_seen,last_seen,times_recommended,latest_position
yVomxuhRZtg,Song,"Tweezer (Live at Bangor Auditorium, Bangor, ME, 11/2/1994)",Phish,,2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,1
UQ_XPh8das8,Song,Colonial Mentality (Live),"KOKOROKO, Richie Seivwright, Oscar Laurence, Mutale Chashi, Onome Edgeworth, and Ayo Salawu",,2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,2
nkNYJo85bEc,Song,Philly '97 Jam,Phish,,2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,3
Tuwca5W2YO8,Song,"L.M.L.Y.P. (Live at Stubb's, Austin, TX, July 2000)",Ween,,2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,4
55TOIJxKc74,Song,Franklin's Tower,Grateful Dead,,2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,5
bMsnCHyuVKo,Song,"Trey Anastasio Band 2002.06.23 Bonnaroo Music and Arts Festival Manchester, Tennessee",genesisguru,,2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,6
Gb5lNDDxyyg,Song,Keepers (Live),"Bill Vitt, Jerry Garcia, John Kahn, Merl Saunders",,2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,7
mKEdTQmYefE,Song,Deep River Blues (feat. Merle Watson),Doc Watson,,2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,8
qj3QPx089g4,Song,"Roads (Live From The Roseland Ballroom, NYC)",Portishead,,2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,9
mPSt74adFnQ,Song,Back On 74,Jungle,,2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,10
