id,type,title,artists,description,first_seen,last_seen,times_recommended,latest_position
MPREb_w5msvnd8EXj,Album,Midnight Snack,Homeshake,,2026-09-16T08:37:41Z,2026-09-16T08:37:41Z,1,1
MPREb_j9I2LAQa3kI,Album,Summer's Over,"Jordana, TV Girl",,2026-09-16T08:37:41Z,2026-09-16T08:37:41Z,1,2
MPREb_5uw9u1B3sTE,Album,If I Am Only My Thoughts,Loving,,2026-09-16T08:37:41Z,2026-09-16T08:37:41Z,1,5
MPREb_FB5enwkcFkJ,Album,Oncle Jazz,Men I Trust,,2026-09-16T08:37:41Z,2026-09-16T08:37:41Z,1,9
MPREb_PScPWC37qFc,Album,Skiptracing,Mild High Club,,2026-09-16T05:17:55Z,2026-09-16T08:37:41Z,2,4
MPREb_xD0cXp3EV4q,Album,Timeline,Mild High Club,,2026-09-16T05:17:55Z,2026-09-16T08:37:41Z,2,3
PLBb5urUcmcVPsYCOnbBfDRpKGfoBAok86,Playlist,White Girl Mixtape,,haedon • 13K views,2026-09-16T05:17:55Z,2026-09-16T08:37:41Z,2,6
MPREb_mRZiIVO7kkS,Album,Changes,Vacations,,2026-09-16T05:17:55Z,2026-09-16T05:17:55Z,1,4
MPREb_fNQvqmA77Za,Album,Shawcross,Good Morning,,2026-09-16T05:17:55Z,2026-09-16T08:37:41Z,2,7
PLa8mpIMpZTSSXFUQ9wzdyVIOrY8aff-oY,Playlist,Chill,,Chris Kaminski • 2.5K views,2026-09-16T05:17:55Z,2026-09-16T08:37:41Z,2,10
PLTf_wEUnu9cn1r8C1JUTBmmX4BewogxSC,Playlist,Symphonia IX,,Rel 10 • 13K views,2026-09-16T05:17:55Z,2026-09-16T08:37:41Z,2,8
PL7qe3pFaMOr1XB2bNEks-EZF5nZOyBtbz,Playlist,Indie Garage Rock Mix,,hueyfragic • 20K views,2026-09-16T05:17:55Z,2026-09-16T05:17:55Z,1,8
RDCLAK5uy_njHYjDnqqLRVuLdHHkO4kh1Dy8y-al4Z0,Playlist,Indie Makeout,,"boy pablo, The xx, BØRNS, The Marías",2026-09-16T05:17:55Z,2026-09-16T05:17:55Z,1,9
PLtt04tjWnYjJKI2J9-fLQ3ICceJlRLC90,Playlist,Tired,,Jay • 9.5K views,2026-09-16T05:17:55Z,2026-09-16T05:17:55Z,1,10
