id,type,title,artists,description,first_seen,last_seen,times_recommended,latest_position
MPREb_JrDiajaNSHK,Album,All Kooked Out! (feat. Charlie Hunter & Skerik),Stanton Moore,,2026-09-12T20:00:29Z,2026-09-12T20:00:29Z,1,1
MPREb_Cd6l9Gz8JsV,Album,The Nashville Session 2,The New Mastersounds,,2026-09-12T20:00:29Z,2026-09-12T20:00:29Z,1,2
UCi8L1ePsB8G-x709NVpltkA,Artist,Lettuce,,,2026-09-12T20:00:29Z,2026-09-12T20:00:29Z,1,3
UCMPLkcyo1_DcwCzKzZW0Bfg,Artist,Soulive,,,2026-09-12T20:00:29Z,2026-09-12T20:00:29Z,1,4
UCaudYIG8ebwnbi7BVidKl3Q,Artist,The Greyboy Allstars,,,2026-09-12T20:00:29Z,2026-09-12T20:00:29Z,1,5
MPREb_ypkrfKFZlBB,Album,West Coast Boogaloo,The Greyboy Allstars,,2026-09-12T20:00:29Z,2026-09-12T20:00:29Z,1,6
PLu9jPSBw_9eMEvXy5tPh9dUo5uo0meCnI,Playlist,"Soul, Funk y Jazz",,Vick Lion • 43K views,2026-09-12T20:00:29Z,2026-09-12T20:00:29Z,1,7
RDCLAK5uy_mKiUysCgZF2XA7o_mtki6NYjC_MGy55QM,Playlist,Modern Energetic Jazz ,,"Kiefer, CARRTOONS, Nate Smith, Kenny Beats",2026-09-12T20:00:29Z,2026-09-12T20:00:29Z,1,8
PLszS84-n1UURtZyWVainrX7vfY0SSiwqf,Playlist,"Greasy Funk, Jr. ®️",,Brian Fitzhugh • 5.9K views,2026-09-12T20:00:29Z,2026-09-12T20:00:29Z,1,9
UCg3rrlRKj_AFoQH6U9g51rA,Artist,Stanton Moore,,,2026-09-12T20:00:29Z,2026-09-12T20:00:29Z,1,10
