id,type,title,artists,description,first_seen,last_seen,times_recommended,latest_position
nMuTgStG8w0,Song,Mahal,Glass Beams,,2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,1
Kk-Fum6YMOw,Song,Selekta (feat. SIDEQUEST),Kyle Gordon,,2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,2
RacxNskxySo,Song,Can't Get You Out Of My Head,"AnnenMayKantereit, Parcels",,2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,3
o4m5jQy5A2U,Song,Fade Into You,Mazzy Star,,2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,4
RM5isPe1e3g,Song,Paul McCartney's RAM - 3 Legs (Performed Live in Brooklyn),Josh Turner Guitar,,2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,5
zPqFiiZEDUg,Song,Outter Space,Alex Serra,,2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,6
t5Px4jY1TVc,Song,Prince - I Could Never Take The Place Of Your Man (Official Music Video),Prince,,2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,7
_2W8kCk1qnU,Song,Years,Sierra Ferrell,,2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,8
8UVNT4wvIGY,Song,Somebody That I Used To Know (feat. Kimbra),Gotye,,2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,9
hbe3CQamF8k,Song,Angel,Massive Attack,,2026-09-12T19:29:50Z,2026-09-12T19:29:50Z,1,10
