id,type,title,artists,description,first_seen,last_seen,times_recommended,latest_position
RDCLAK5uy_kVfoKrYSsJaHx3SLO8mp3WYuRHMrS8U_Q,Playlist,Classic Country,,"Dolly Parton, Merle Haggard, George Strait, Willie Nelson",2026-09-17T08:41:23Z,2026-09-17T08:41:23Z,1,1
RDCLAK5uy_lUKYhPW866fkDAQtEn3z8hXryUTppYTeQ,Playlist,'60s Sunshine Pop,,"The Beach Boys, Harry Nilsson, The Turtles, The Lovin' Spoonful",2026-09-17T08:41:23Z,2026-09-17T08:41:23Z,1,2
RDCLAK5uy_lRZPrRiskUd_P0ld4JdIZNxOmqFVWOZIU,Playlist,Yacht Rock Classics,,"Hall & Oates, Fleetwood Mac, Steely Dan, Kenny Loggins",2026-09-17T08:41:23Z,2026-09-17T08:41:23Z,1,3
RDCLAK5uy_nFD4lodGvr1kb0xlJOOfEi0tGWI7cQKK0,Playlist,'90s Pop-Rock Hits,,"Counting Crows, The Goo Goo Dolls, Sheryl Crow, Matchbox Twenty",2026-09-17T08:41:23Z,2026-09-17T08:41:23Z,1,4
RDCLAK5uy_lMzHW51iFg1Kx0d_2EHpzbOgCrwtu8cgI,Playlist,The Hits: '80s,,"Michael Jackson, Prince, Madonna, Whitney Houston",2026-09-17T08:41:23Z,2026-09-17T08:41:23Z,1,5
RDCLAK5uy_m_h-nx7OCFaq9AlyXv78lG0AuloqW_NUA,Playlist,'90s Alternative,,"Nirvana, Red Hot Chili Peppers, Pearl Jam, The Smashing Pumpkins",2026-09-17T08:41:23Z,2026-09-17T08:41:23Z,1,6
RDCLAK5uy_kpxnNxJpPZjLKbL9WgvrPuErWkUxMP6x4,Playlist,'90s Country,,"Alan Jackson, Brooks & Dunn, Tim McGraw, Shania Twain",2026-09-17T08:41:23Z,2026-09-17T08:41:23Z,1,7
RDCLAK5uy_nZiG9ehz_MQoWQxY5yElsLHCcG0tv9PRg,Playlist,Classic Rock's Greatest Hits,,"Led Zeppelin, Fleetwood Mac, Creedence Clearwater Revival, AC/DC",2026-09-17T08:41:23Z,2026-09-17T08:41:23Z,1,8
RDCLAK5uy_l9zGPtwEeIpwVXtBZ216yRhklsre5bbOM,Playlist,The Hits: '70s,,"Elton John, Fleetwood Mac, Bee Gees, ABBA",2026-09-17T08:41:23Z,2026-09-17T08:41:23Z,1,9
RDCLAK5uy_maC8_YA458CPC-VeeLpyPPJbj2mA9Y6lY,Playlist,'70s Lite Hits,,"Elton John, Eagles, Fleetwood Mac, Steely Dan",2026-09-17T08:41:23Z,2026-09-17T08:41:23Z,1,10
