id,type,title,artists,description,first_seen,last_seen,times_recommended,latest_position
RDCLAK5uy_nnZGCEPxzc5FASdbQVMufD25OfYBJlHqY,Playlist,Modern Classical,,"Jon Batiste, Jamie Duffy, Rabello, Sofiane Pamart",2026-09-18T08:17:04Z,2026-09-18T08:17:04Z,1,1
RDCLAK5uy_lJ8xZWiZj2GCw7MArjakb6b0zfvqwldps,Playlist,Country Hotlist,,"Ella Langley, Cody Johnson, Morgan Wallen, Kelsea Ballerini",2026-09-18T08:17:04Z,2026-09-18T08:17:04Z,1,2
RDCLAK5uy_klnZmBbgmGFVrCYSZMceEHODgK9YHfIt4,Playlist,Jazz Hotlist,,"Nate Smith, Ezra Collective, Terrace Martin, Kamasi Washington",2026-09-18T08:17:04Z,2026-09-18T08:17:04Z,1,3
RDCLAK5uy_kmPRjHDECIcuVwnKsx2Ng7fyNgFKWNJFs,Playlist,The Hit List,,"Ella Langley, Olivia Rodrigo, Noah Kahan, Olivia Dean",2026-09-18T08:17:04Z,2026-09-18T08:17:04Z,1,4
RDCLAK5uy_lBNUteBRencHzKelu5iDHwLF6mYqjL-JU,Playlist,Pop Certified,,"Ariana Grande, Olivia Rodrigo, Bruno Mars, Gracie Abrams",2026-09-18T08:17:04Z,2026-09-18T08:17:04Z,1,5
RDCLAK5uy_mEjQ-AXbQqd6l_gsdgMU-hw_UNntQ-NWE,Playlist,Hits of 2026 (So Far),,"Michael Jackson, Tito Double P, Peso Pluma, Ella Langley",2026-09-18T08:17:04Z,2026-09-18T08:17:04Z,1,6
RDCLAK5uy_m4pIwUxa1LMrHG1-rK6f3U7N3jFoMya-c,Playlist,Foundry,,"Enayy, El Malilla, muque, Ninajirachi",2026-09-18T08:17:04Z,2026-09-18T08:17:04Z,1,7
RDCLAK5uy_latg1ZI9CZNHAJVjUird8WRB6QB0NtA0E,Playlist,Alt-Pop Hits,,"Bryant Barnes, Dominic Fike, Ravyn Lenae, ROLE MODEL",2026-09-18T08:17:04Z,2026-09-18T08:17:04Z,1,8
RDCLAK5uy_m0Nsi5Jnn_g6qbvc7fywPRhEv1qN0PcMM,Playlist,Today's Indie Hits,,"Lizzy McAlpine, Phoebe Bridgers, Wet Leg, Westside Cowboy",2026-09-18T08:17:04Z,2026-09-18T08:17:04Z,1,9
RDCLAK5uy_kuEc3lB_I49bqnoy24kbjutvsiOi9ZQe0,Playlist,Alternative Current: Hits,,"WesGhost, Red Leather, RedGhost, The Strokes",2026-09-18T08:17:04Z,2026-09-18T08:17:04Z,1,10
