artist,subscribers,browseId,link
Mary McCaslin,10,MPLAUCVGoORPNKevK9USGI74jRNQ,https://music.youtube.com/browse/MPLAUCVGoORPNKevK9USGI74jRNQ
The Isley Brothers,4,MPLAUC19gd7AQcPkrcFH8w8BYO7w,https://music.youtube.com/browse/MPLAUC19gd7AQcPkrcFH8w8BYO7w
Seamus Kennedy,22,MPLAUC4KoUtH88XGGOvpxxt9KC2w,https://music.youtube.com/browse/MPLAUC4KoUtH88XGGOvpxxt9KC2w
Ugly Duckling,1,MPLAUCYGUxtLK1SibnJkkwB2kIKQ,https://music.youtube.com/browse/MPLAUCYGUxtLK1SibnJkkwB2kIKQ
Entheogenic,14,MPLAUCqn139hfXtjc45R00UHmaYA,https://music.youtube.com/browse/MPLAUCqn139hfXtjc45R00UHmaYA
Stan Rogers,13,MPLAUC2JYFK6CDwE8Sk9LpDOMfPQ,https://music.youtube.com/browse/MPLAUC2JYFK6CDwE8Sk9LpDOMfPQ
Brian Lopez,10,MPLAUCGowyZDW8Uxwrgjr-OoOR1w,https://music.youtube.com/browse/MPLAUCGowyZDW8Uxwrgjr-OoOR1w
Miagma,1,MPLAUCV2jSBMJWdQcN93gYYghdyQ,https://music.youtube.com/browse/MPLAUCV2jSBMJWdQcN93gYYghdyQ
DJ Boring,1,MPLAUCzj6YjIRP4LjYUTPQBVpvDQ,https://music.youtube.com/browse/MPLAUCzj6YjIRP4LjYUTPQBVpvDQ
Harrison BDP,1,MPLAUC9wg5Q3kKi26jhXNN7yBn0w,https://music.youtube.com/browse/MPLAUC9wg5Q3kKi26jhXNN7yBn0w
Esther Rose,12,MPLAUCcoEL8GFhacbD5v92Tk9HQg,https://music.youtube.com/browse/MPLAUCcoEL8GFhacbD5v92Tk9HQg
Chuck Darwin and The Knuckledraggers,9,MPLAUC047bAS294tI5HPo9cn3A3w,https://music.youtube.com/browse/MPLAUC047bAS294tI5HPo9cn3A3w
Apifera,2,MPLAUCb-q0dACpZisZh2duvaCKZw,https://music.youtube.com/browse/MPLAUCb-q0dACpZisZh2duvaCKZw
Grateful Dead,289,MPLAUC9dWluHyEwvIj5NNs7KkJ0A,https://music.youtube.com/browse/MPLAUC9dWluHyEwvIj5NNs7KkJ0A
Kossoy Sisters,14,MPLAUCyqKO0Agb-jZ_bMC-XziTeg,https://music.youtube.com/browse/MPLAUCyqKO0Agb-jZ_bMC-XziTeg
Jean Ritchie,2,MPLAUCmx1I7OswsqcXtPr1y4BQQg,https://music.youtube.com/browse/MPLAUCmx1I7OswsqcXtPr1y4BQQg
