title,artists,album,duration,duration_seconds,videoId,liked_at,run_id
MacArthur Park (Single Version),Donna Summer,On The Radio: Greatest Hits Volumes I & II,3:56,236,24jAy_T1U2k,2026-09-24T04:52:26Z,gh-6838
Righteously,Anna Ash,Righteously,3:19,199,6Jd-iQW8cQ8,2026-09-22T21:20:13Z,gh-6832
1901: A Canyon Oddyssey,The Infamous Stringdusters,Laws of Gravity,4:36,276,BcB6mJ07DtY,2026-09-21T20:00:10Z,gh-6826
I.E - Future 4000,JAYMO,,5:30,330,_fVuX9Zi4-w,2026-09-20T23:15:28Z,gh-6822
Honky Tonk Heroes,Waylon Jennings,Honky Tonk Heroes,3:36,216,SRJhsYf-jok,2026-09-20T04:54:55Z,gh-6817
"The Oddest Chicken (feat. Frank Evans, Eli Broxham & Stash Wyslouch)",George Jackson,Center Of The Universe,5:30,330,o6ZA6Mgo-BU,2026-09-20T04:54:55Z,gh-6817
MacArthur Park Suite: MacArthur Park/One Of A Kind/Heavens Knows/MacArthur Park Reprise,Donna Summer,Live And More,17:48,1068,jnPxZh0lxAQ,2026-09-19T23:06:52Z,gh-6816
"Cheeky F (feat. Frank Evans, Eli Broxham & Stash Wyslouch)",George Jackson,Center Of The Universe,2:38,158,ehD5zOWhtis,2026-09-19T15:53:33Z,gh-6814
Parlor Palm,Green-House,Six Songs for Invisible Gardens,5:35,335,xxfRvWey65I,2026-09-19T04:38:47Z,gh-6811
The Sidestep,Charles Durning,The Best Little Whorehouse In Texas,3:49,229,WsiSCsNM55c,2026-09-17T04:54:22Z,gh-6800
Trouble,Studio Group,The Music Man,3:51,231,1xCagFuFYkw,2026-09-17T04:54:22Z,gh-6800
"Hang in Two Parts (feat. Jack Dunlevie, Tom Amend, Jean-Luc Davis & Kevin Matthews)",Adam Gang,Relieved Beyond Words,6:38,398,1MFY-rwsK9w,2026-09-15T17:00:06Z,gh-6791
Cogito,Akusmi,Fleeting Future,3:30,210,eud7a_TcnhI,2026-09-15T17:00:06Z,gh-6791
Ciliegi in fiore,Piero Umiliani,Paesaggi,2:56,176,QPXC4WShltM,2026-09-15T17:00:06Z,gh-6791
Añoranza en las Yungas,Lagartijeando,Jallalla,5:39,339,kOwgoRoDBMM,2026-09-13T01:23:13Z,gh-6776
Grandma's Curtains (feat. Eric Gales),Ghost-Note,Mustard n'Onions,8:57,537,wGY3O9rEzp0,2026-09-12T19:57:02Z,gh-6770
JB's Out! (Do It Babay) (feat. MacKenzie),Ghost-Note,Mustard n'Onions,6:44,404,1AvS05IkDkI,2026-09-12T19:57:02Z,gh-6770
Untitled 4,Tanner Bingaman's Pretty Big Garden,Untitled 4,2:03,123,7oQF_5z88tk,2026-09-12T19:57:02Z,gh-6770
Evolve,Phish,Evolve,4:13,253,_I4r4jfjAQ4,2026-09-12T19:57:02Z,gh-6770
Midnight Moonlight,Old & In The Way,The Complete Boarding House Shows,6:15,375,HblB7UV3G8A,2026-09-12T19:57:02Z,gh-6770
Uncle Pen (feat. Amanda Shires),Kelsey Waldon,There's Always a Song,3:43,223,FogX6s5JzKc,2026-09-12T19:57:02Z,gh-6770
The Idiot,Stan Rogers,Home In Halifax,2:52,172,bw1TDommvnE,2026-09-12T19:57:02Z,gh-6770
Barrett's Privateers,Stan Rogers,Home In Halifax,4:51,291,bJjjXcc2k_c,2026-09-12T19:57:02Z,gh-6770
Stack O' Lee Blues,Mississippi John Hurt,"Before The Blues, Vol. 1",2:58,178,eixTjOz-0ik,2026-09-12T09:10:10Z,gh-6754
That's All Right,Blind Snooks Eaglin,That's All Right,2:09,129,1O2vGcl3M4g,2026-09-12T06:44:58Z,gh-6748
GAME OVER (you fools),Union Specific,GAME OVER (you fools),5:23,323,3wiyIbZtYGY,2026-09-12T06:44:58Z,gh-6748
Mahalageasca (Bucovina Dub),Shantel feat. Mahala Rai Banda,Mixtape Vol. 1,4:22,262,MFIpx1wbIBY,2026-09-12T06:44:58Z,gh-6748
Drunk n Space,OMFO,We Are The Shepherds,2:34,154,eDvY7E9gbJE,2026-09-12T06:44:58Z,gh-6748
Gutusl Electro,OMFO,Gutsul Electro (The Remixes),3:43,223,8ENtHOVKWLM,2026-09-12T06:44:58Z,gh-6748
Balkan Beast,Gypsy Hill,Balkan Beast (Remixes),4:20,260,9WeLC7Wmnc8,2026-09-12T06:44:58Z,gh-6748
Kolomeika,Amsterdam Klezmer Band,De Amsterdam Klezmer Band,3:12,192,7QrqQ6aURT8,2026-09-12T06:44:58Z,gh-6748
The Con Artist Feat. Pete Miser - Ya-takoy (Everything Is Illuminated Soundtrack),Lonimera,,2:43,163,9wX8Es4MUMo,2026-09-12T06:44:58Z,gh-6748
Thomas Bangalter - Club Soda (A1),alexdaftpunk91,,4:02,242,ABx4oqeYiIw,2026-09-12T06:44:58Z,gh-6748
Short Circuit,Daft Punk,Discovery,3:27,207,Can7kOYrGpI,2026-09-12T06:44:58Z,gh-6748
Liquid Soul @ Ozora Festival 2025 [Full set movie],Liquid Soul Official,,1:31:05,5465,1Ye65tC5VgE,2026-09-12T06:44:58Z,gh-6748
Captain Hook 🌀 Ozora Festival 2026 [full video /4K],Captain Hook Official,,2:08:28,7708,kdmUisbFlKg,2026-09-12T06:44:58Z,gh-6748
Fairy Fountain,Super Guitar Bros,Ocarina of Time,1:04,64,4mNdQwtxKUs,2026-09-12T06:44:58Z,gh-6748
Le armi bianche,Andrea Rellini,Resistere,5:20,320,k_dW9ltD0sA,2026-09-12T06:44:58Z,gh-6748
Avis,Andrea Rellini,Motus,3:45,225,JJDAd9OZufI,2026-09-12T06:44:58Z,gh-6748
LUIZ BONFA e EDU DA GAITA,Jean-François Marzocchi,,10:49,649,V8o_JQ2frxM,2026-09-12T06:44:58Z,gh-6748
Moonlight In Vermont / La Ville Endormie,"Claude Ciari, Bernard Gérard, & The Batucada's Seven",Crate Diggers: Library Music of the French Riviera,4:05,245,owj8oW_ozH0,2026-09-12T06:44:58Z,gh-6748
My Name is Nobody (Main Title),Ennio Morricone,My Name is Nobody (Original Motion Picture Soundtrack),3:12,192,vqMQ0gkEyt0,2026-09-12T06:44:58Z,gh-6748
Small Apartment,Satellite Friend,Shameful Joy,2:53,173,YCYWksicOP8,2026-09-12T06:44:58Z,gh-6748
I Need Never Get Old,Nathaniel Rateliff & The Night Sweats,Nathaniel Rateliff & The Night Sweats (Deluxe Edition),4:14,254,uSDFm6ZCB2c,2026-09-12T06:44:58Z,gh-6748
Nightmares On Wax - Smokers Delight - Live from Royal Albert Hall (In A Space Outta Delight),Nightmares On Wax,,1:07:01,4021,FBvlLw0A4yk,2026-09-12T06:44:58Z,gh-6748
Minor Swing,Eddie Higgins Trio,If Dreams Come True,3:18,198,zNTkqnCTNhU,2026-09-12T06:44:58Z,gh-6748
Blue Rondo a La Turk (Live),Dave Brubeck Quartet,"Live in Essen, Grugahalle, 1960",7:26,446,-PgCEUVN1WA,2026-09-12T06:44:58Z,gh-6748
A Deeper Life,"Chaos In the CBD, Isaac Aesili",A Deeper Life,8:05,485,peRua_hwH6k,2026-09-12T06:44:58Z,gh-6748
I Hate The Way I Look Today.,RAYE,THIS MUSIC MAY CONTAIN HOPE.,3:29,209,BjqAX_cCNwY,2026-09-12T06:44:58Z,gh-6748
I Gotta Get Drunk,The Little Willies,The Little Willies,2:28,148,ARwlJPyuNQE,2026-09-12T06:44:58Z,gh-6748
BVDUB ∞ Ten Times The World Lied ( Full Album 2020- High Quality),SpacePoetry,,1:18:46,4726,X2kbV01tEfQ,2026-09-12T06:44:58Z,gh-6748
Rye Whiskey,Punch Brothers,Antifogmatic,3:30,210,jXfE-e4a3GU,2026-09-12T06:44:58Z,gh-6748
Best of All Possible Worlds,Kris Kristofferson,Kristofferson,2:59,179,mmlxlqOSWdQ,2026-09-12T06:44:58Z,gh-6748
