videoId,title,artists,album,duration,duration_seconds,first_seen,last_seen,times_recommended,latest_position,likeStatus,inLibrary
bC-6m97Gm4Y,One Step Beyond,Prince Buster,"Ska and Rocksteady Collection, Vol. 1",2:40,160,2026-09-19T08:04:47Z,2026-09-23T08:36:35Z,5,21,LIKE,False
Nef4njM8V9E,Jerry Reed - High Rollin',madgab5,,2:31,151,2026-09-19T08:04:47Z,2026-09-20T08:37:04Z,2,77,LIKE,False
CLW3FnDa1nQ,Welcome to The Internet,Bo Burnham,INSIDE,4:36,276,2026-09-19T08:04:47Z,2026-09-23T08:36:35Z,5,57,INDIFFERENT,False
WUB6Qpm4NOk,Wish I Had My Time Again,Uncle Earl,"Waterloo, Tennessee",2:33,153,2026-09-19T08:04:47Z,2026-09-23T08:36:35Z,5,42,LIKE,False
tWGv2IOG1hI,"Goodbye, Barcelona",Pokey LaFarge,Something In The Water,4:43,283,2026-09-19T08:04:47Z,2026-09-23T08:36:35Z,5,52,LIKE,True
HTZdoye0rqg,Boll Weevil,Punch Brothers,The Phosphorescent Blues,2:37,157,2026-09-19T08:04:47Z,2026-09-23T08:36:35Z,5,77,INDIFFERENT,False
oZpYMddziuA,"Likes Of Me (feat. Vassar Clements, Jerry Douglas, Todd Phillips & Sam Bush)",Tony Rice,Cold On The Shoulder,2:56,176,2026-09-12T10:40:53Z,2026-09-17T08:41:05Z,18,93,LIKE,False
vA9B4VU8FlM,Help Me Scrape the Mucus off My Brain,Ween,12 Golden Country Greats,2:46,166,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,16,INDIFFERENT,False
mXIDWr-EAgo,Walk On Boy,"Billy Strings, Don Julin",Fiddle Tune X,3:42,222,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,80,INDIFFERENT,False
fwlkSDX-JT8,Not Gentle On My Mind,Chuck Darwin & the Knuckle Draggers,For Educational Purposes Only,2:11,131,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,41,LIKE,False
Q66BpmD3ugY,Let's Make a Better World,Dr. John,Desitively Bonnaroo,2:57,177,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,65,LIKE,False
RzCybATHyjU,Rabbit In the Log (feat. The Virginia Boys),Jim & Jesse,Y'all Come: The Essential Jim & Jesse,2:41,161,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,5,INDIFFERENT,False
E4OzdyxbOuU,9 to 5,Dolly Parton,The Essential Dolly Parton,3:01,181,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,53,INDIFFERENT,False
KYIav77fPsA,Country Squire,Tyler Childers,Country Squire,3:22,202,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,43,LIKE,False
L1pRpcEhT0c,Insomnia Blues,John R. Miller,Heat Comes Down,4:01,241,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,11,LIKE,False
UcU04NGMQb8,Sin City,The Flying Burrito Brothers,The Gilded Palace Of Sin,4:10,250,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,29,LIKE,False
S0dXQ4DZPWw,"Concerto for 4 Pianos in A Minor, BWV 1065: I. Allegro (feat. Audrey Vigoureux, Emmanuel Christien & Jacques Rouvier)","David Fray, Johann Sebastian Bach","Bach: Concertos for 2, 3 & 4 Pianos",3:59,239,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,4,LIKE,False
gb3rnEbidRM,Me and Paul,Willie Nelson,Yesterday's Wine,3:49,229,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,19,INDIFFERENT,False
OsgUQrKTTtc,Sisyphus,Andrew Bird,My Finest Work Yet,4:08,248,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,17,LIKE,False
vOwzYjhFj0I,Washed In The Blood,Pokey LaFarge & Harry Melling,Banks Of The Ohio / Washed In The Blood,3:20,200,2026-09-12T10:40:53Z,2026-09-17T08:41:05Z,18,40,LIKE,True
SRJhsYf-jok,Honky Tonk Heroes,Waylon Jennings,Honky Tonk Heroes,3:36,216,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,71,LIKE,False
N33hLqdGnk8,"Loose Lucy (Live at Philadelphia Civic Center, Philadelphia, PA, August 4-5, 1974)",Grateful Dead,"Dick's Picks Vol. 31: Philadelphia Civic Center, Philadelphia, PA 8/4/74 - 8/5/74 / Roosevelt Stadium, Jersey City, NJ8/6/74 (Live)",5:33,333,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,66,INDIFFERENT,False
V3QabRHBbZY,American Dreaming,Sierra Ferrell,Trail Of Flowers,4:18,258,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,82,INDIFFERENT,False
p4wmAhqaIx4,Urmel,okuma,Urmel / Kalkutta,7:50,470,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,15,LIKE,False
JD6Zq505pnM,Kodachrome,Paul Simon,There Goes Rhymin' Simon,3:36,216,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,72,LIKE,False
ta4G1xOUcrE,Mercury's Odyssey,The Olympians,The Olympians,3:39,219,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,28,LIKE,False
RRuCrMGZ1oQ,By the Sea at the End of the World,Tommy Guerrero,Sunshine Radio,2:50,170,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,67,LIKE,False
P0rZ6YMcIFo,Teen Angst,Keller & The Keels,Thief,4:20,260,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,51,INDIFFERENT,False
cv77YF1vkeQ,Frank Sinatra - That's life (ProleteR tribute),ProleteR,,2:41,161,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,7,LIKE,False
3dM03dG3zv4,Okie From Muskogee,Merle Haggard,Down Every Road 1962-1994,2:45,165,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,24,LIKE,True
jozQQIalOnY,Nobody Knows What You Do,John Hartford,Nobody Knows What You Do,3:59,239,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,93,INDIFFERENT,False
rVAXyZCbFdI,Columbus Stockade Blues,"Doc Watson, Richard Watson",Third Generation Blues,3:32,212,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,62,INDIFFERENT,False
DBmTLVRvnc8,Senor (Tales Of Yankee Power),Tim O'Brien,Red On Blonde,4:03,243,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,68,INDIFFERENT,False
oMobf1AHbHk,Shine (Live),"David Grisman, Stephane Grappelli",Stephane Grappelli and David Grisman Live,5:19,319,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,63,LIKE,False
jXfE-e4a3GU,Rye Whiskey,Punch Brothers,Antifogmatic,3:30,210,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,2,LIKE,True
_-ceV24iOn0,Rumble of the Diesel,Les Claypool,Of Whales And Woe,4:04,244,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,14,LIKE,False
JzT8TiNMB3I,Big Sciota,Bryan Sutton,Not Too Far From The Tree,2:57,177,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,83,LIKE,False
4_bjSdl85gU,All Hail,The Devil Makes Three,Do Wrong Right,4:02,242,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,10,LIKE,False
mmlxlqOSWdQ,Best of All Possible Worlds,Kris Kristofferson,Kristofferson,2:59,179,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,69,LIKE,True
Hz5SFQsLzAg,Carol Brown,Flight of the Conchords,I Told You I Was Freaky,3:27,207,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,23,LIKE,True
3MgBropbWZ8,Alabama Jubilee (feat. Jamey Johnson),Norman Blake,Pilgrimage To Rising Fawn,3:10,190,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,61,LIKE,False
UD8ytadaNI8,Faster Horses (The Cowboy And The Poet),Tom T. Hall,"Tom T. Hall - Storyteller, Poet, Philosopher",2:53,173,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,35,INDIFFERENT,False
w4RvskuFnPY,The Gambler,Kenny Rogers,The Gambler,3:35,215,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,32,INDIFFERENT,False
6scYUseAFwc,My Mother Thinks I'm a Lawyer,Noam Pikelny,Beat the Devil and Carry a Rail,4:22,262,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,90,LIKE,False
cjjEiKJjxGU,Dub for Cascadia,loscil,Endless Falls,6:07,367,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,91,LIKE,False
Wewb33DJSz0,"Don't Think Twice, It's All Right",The Infamous Stringdusters,Undercover,4:26,266,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,73,LIKE,False
2ZnYjRGatdc,My Little Girl in Tennessee,"Chris Thile, Michael Daves",Sleep With One Eye Open,2:50,170,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,34,INDIFFERENT,False
5lpHaOX5lmw,Most Really Pretty Girls Have Pretty Ugly Feet,Hnny,If This Is House I Want My Money Back 3,4:46,286,2026-09-12T10:40:53Z,2026-09-17T08:41:05Z,18,26,LIKE,False
J6yWZUv9QJA,Tombstone Blues,Bob Dylan,Highway 61 Revisited,5:57,357,2026-09-12T10:40:53Z,2026-09-17T08:41:05Z,18,45,LIKE,False
_hLKRHvAD2Y,Heart Of The Country,"Linda McCartney, Paul McCartney",RAM,2:24,144,2026-09-12T10:40:53Z,2026-09-17T08:41:05Z,18,71,LIKE,False
USMsgVbf8Us,"Jesus, Etc.",Wilco,Yankee Hotel Foxtrot,3:52,232,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,44,LIKE,False
eKjIyktKFww,The Sunny Side of Life,Country Gentlemen,On The Road (And More),2:34,154,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,45,LIKE,False
sEQLMr54EnY,Mole in the Ground,Joe Walsh,Sweet Loam,3:34,214,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,46,LIKE,False
vr996jU1Kpg,Wrestle a Live Nude Girl,Leo Sidran,Cool School (The Music of Michael Franks),4:44,284,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,58,LIKE,False
zzICMIu5zFY,Big Iron,Marty Robbins,Gunfighter Ballads And Trail Songs,3:56,236,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,22,INDIFFERENT,False
u8AD4rVEqno,Roustabout (Bassnectar REMIX),Beats Antique,Collide,3:06,186,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,50,LIKE,True
aPvLD7HSUDY,Stupid Texas Song,Austin Lounge Lizards,Employee Of The Month,3:34,214,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,59,LIKE,False
IL_LiGCV82g,Rich Girl,Daryl Hall & John Oates,Bigger Than Both Of Us,2:23,143,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,20,INDIFFERENT,False
iZOqw5KgEjY,Sunny Afternoon (Stereo Mix),The Kinks,Face to Face (Deluxe),3:35,215,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,31,INDIFFERENT,False
4yRxiQ7AxKw,Harvest Moon (feat. AJ Lee & Blue Summit),The Brothers Comatose,Harvest Moon,4:42,282,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,70,INDIFFERENT,False
PbgQITWRTbQ,We,The Roches,The Roches,2:36,156,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,13,LIKE,False
