videoId,title,artists,album,duration,duration_seconds,first_seen,last_seen,times_recommended,latest_position,likeStatus,inLibrary
oshPEWc9uUc,Chorar Na Beira Do Mar,"Pedro Mizutani, Skinshape",Pensando Baixo,2:09,129,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,5,INDIFFERENT,False
-n3HNVvezbY,Frontline (feat. The Wizards),Mo'kalamity,Freedom of the Soul,4:04,244,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,10,INDIFFERENT,False
m5YzST7fJgU,I Got A Woman,Blind Snooks Eaglin,That's All Right,3:10,190,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,16,INDIFFERENT,False
d0Fwturldjk,The Old Man,Dave Van Ronk,No Dirty Names,1:38,98,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,18,INDIFFERENT,False
a-j-10pUvRk,Montagne Sainte-Genevieve,"Hot Club de Norvège, Romane",Portrait of Django,2:13,133,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,22,INDIFFERENT,False
Pkgotxp5avk,You Must Come In At The Door,Doc Watson,On Praying Ground,2:16,136,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,30,INDIFFERENT,False
6zFcQI3iKNM,Georgia on My Mind,Django Reinhardt,Presenting Django Reinhardt,3:14,194,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,62,INDIFFERENT,False
2iO3Md4hrWU,Sligo River Blues (Original Recording),John Fahey,The Legend Of Blind Joe Death,3:06,186,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,69,INDIFFERENT,False
Up0wYsESdkc,Stornoway,Skinshape,Stornoway,4:11,251,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,101,INDIFFERENT,False
O4Uuaih7twQ,Cita,Diabi,Cita,2:44,164,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,102,INDIFFERENT,False
eZtgXdJ5Qc4,Summertime,Rosinha De Valença,Um Violão em Primeiro Plano,3:02,182,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,103,INDIFFERENT,False
wTj7UZq_hjg,Beaming Above,richard houghten,Sun Lifter,2:05,125,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,105,INDIFFERENT,False
wOtgPhkf6VA,Señora Diana La Ví (feat. Diane Denoir),Eduardo Mateo,El Tartamudo,2:46,166,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,106,INDIFFERENT,False
jN322gz97XY,CeloOoOos,Rebe,Recuerdos un poco antes y un poco despues de conocer a 1 xico (el mio),2:46,166,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,108,INDIFFERENT,False
mMfzkvrX-lo,I Am Ocean,Laraaji,Celestial Music 1978 - 2011,2:19,139,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,109,INDIFFERENT,False
fw_ZEN3bqwQ,Pep the Conqueror,Christoph El Truento,Dubs from The Neighbourhood,3:07,187,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,110,INDIFFERENT,False
u0j58Aa88bw,Tonight,Sibylle Baier,Colour Green,2:27,147,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,113,INDIFFERENT,False
zADXZsbASHo,Dandou Kodjo,Akofa Akoussah,Akofa Akoussah,3:14,194,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,115,INDIFFERENT,False
Unew7T_8kUw,Pistache au Dôme,Aurélie Saada,Rose (La bande originale du film),3:31,211,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,116,INDIFFERENT,False
RWj28Rmy_CI,Oceanic Feeling,Molly Lewis,The Forgotten Edge,2:24,144,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,117,INDIFFERENT,False
qwWZeBB4Tr0,Passarinhos,Ototh,Passarinhos,2:18,138,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,118,INDIFFERENT,False
cXkdwF4Kzek,Love Song for Someone,Labi Siffre,Labi Siffre,2:48,168,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,119,INDIFFERENT,False
qWen1LnPhw4,UNKNOWN ARTIST (Student of the Yamaha Foundation for Music Education) - The Shadow,André Navarro II,,3:00,180,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,122,INDIFFERENT,False
E1DR44bib5Q,The Windmills Of Your Mind,Dorothy Ashby,Dorothy's Harp,3:19,199,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,123,INDIFFERENT,False
NoY7JtbO6ZE,What Did the Hen Duck Say to the Drake?,Jake Xerxes Fussell,Good and Green Again,3:03,183,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,130,INDIFFERENT,False
9WNCJx0KAbg,October,Okonski,Entrance Music,3:40,220,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,131,INDIFFERENT,False
b2MVrFp99MM,Sabor Dulce,Los Belkings,Los Belkings (Ayer y Hoy),3:29,209,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,135,INDIFFERENT,False
IAAkCrHuy_8,Miffed It,Way Dynamic,Massive Shoe,4:07,247,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,146,INDIFFERENT,False
cDqmS_Nic-I,The Edge of the Map (Cumberland Gap),Small Fools,The Edge of the Map (Cumberland Gap),3:01,181,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,151,INDIFFERENT,False
hA8c0p665QM,Kaät - A COLORS SHOW,Blick Bassy & Roseaux,Kaät - A COLORS SHOW,3:45,225,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,152,INDIFFERENT,False
Es-fdjGpSy4,Moonscape Waltz,Misha Panfilov,Days As Echoes,3:29,209,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,153,INDIFFERENT,False
-GEf9-TtU10,desire machine,spirit blue,ps / dm,3:51,231,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,155,INDIFFERENT,False
