position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,Rattlesnake Ridge,Muscadine Bloodline,The Coastal Plain,2:57,177,jHhedER74Cc,INDIFFERENT,False
2,"Bar, Guitar and a Honky Tonk Crowd",Whiskey Myers,Firewater,3:18,198,FWyRfnijS7Y,INDIFFERENT,False
3,Railroad of Sin,Sturgill Simpson,High Top Mountain,2:05,125,XEEQ1pbGakM,INDIFFERENT,False
4,Hellbound Blues,Hellbound Glory,Pinball,2:31,151,XGKIdeKZVBE,INDIFFERENT,False
5,So Put Out,Nathaniel Rateliff & The Night Sweats,The Future,3:02,182,9ZtIFqAjZQw,INDIFFERENT,False
6,303,Red Shahan,Men & Coyotes,2:48,168,3bBXX8BQLXU,INDIFFERENT,False
7,Patterns,The Record Company,The 4th Album,4:00,240,FVVi51lIUEY,INDIFFERENT,False
8,Just Got Paid,Whitey Morgan and the 78's,Hard Times and White Lines,3:20,200,vn-NTY5yzQs,INDIFFERENT,False
9,It's a War,Trampled by Turtles,Palomino,2:31,151,8d-ftYl4wsc,INDIFFERENT,False
10,Can't You Hear Me Knocking,Marcus King,Stoned Cold Country,5:18,318,NWn8TPbMXLk,INDIFFERENT,False
11,Yardwork,Jason Scott & The High Heat,American Grin,2:39,159,H6kyACPMGb0,INDIFFERENT,False
12,Excited Delirium,Johnny Blue Skies,Mutiny After Midnight (Extended Edition),2:02,122,Oc7wxLF4u1A,INDIFFERENT,False
13,Boys Don't Cry (Single Version),The Cure,Three Imaginary Boys (Deluxe Edition),2:38,158,YSAqXEcgoZ4,INDIFFERENT,False
14,You Can't Judge A Book (By The Cover),Brothers Osborne,"Something Borrowed, Something New: A Tribute to John Anderson",3:04,184,FFMdCLkTClo,INDIFFERENT,False
15,Wrong Place Wrong Time,Treaty Oak Revival,Have A Nice Day,3:36,216,hQs1qxzAXCc,INDIFFERENT,False
16,Chemistry (2023),49 Winchester,Everlasting Lover / Chemistry (2023),3:39,219,H2b8LYMUYTE,INDIFFERENT,False
17,Abernathy,Rattlesnake Milk,Rattlesnake Milk,3:35,215,Q5Wfs9kLAU0,INDIFFERENT,False
18,Medicine Mountain,Ryan Wilcox & The Sunday Shakes ,Lovers & Thieves,4:35,275,emoK3ktGJHE,INDIFFERENT,False
19,Little Rock,Hayes Carll,Little Rock,3:06,186,z7Sw_GVPmIc,INDIFFERENT,False
20,Eatin' Big Time,Tyler Childers,Snipe Hunter,4:46,286,7Lz-dpTfQ58,INDIFFERENT,False
21,3 Pecker Goat,Jesse Dayton,The Revealer,3:12,192,YT_HD8Om4FM,INDIFFERENT,False
22,Dig A Hole,Blackberry Smoke,Be Right Here,4:13,253,CO8zrK2-EWA,INDIFFERENT,False
23,The Way We Move,"Langhorne Slim, The Law",The Way We Move,2:49,169,NuX7yS_luJ8,INDIFFERENT,False
24,It's a Long Way to the Top (If You Wanna Rock 'N' Roll),Cody Jinks,It's a Long Way to the Top (If You Wanna Rock 'N' Roll),3:40,220,BkrjnLaP4Sw,INDIFFERENT,False
25,Cold As It Is,The Lone Bellow,Then Came the Morning,2:56,176,lADCGPgm5Hw,INDIFFERENT,False
26,Rowdy Southern Saturday,Gavin Adcock,Rowdy Southern Saturday,2:45,165,_MLcbp1Zk0Y,INDIFFERENT,False
27,Black Bottle,Brent Cobb,No Place Left to Leave (2006),3:30,210,UrOdMVZIvqY,INDIFFERENT,False
28,Julius,Phish,Hoist,4:43,283,yhaHjndMZ3c,INDIFFERENT,False
29,On My Knees,The Red Clay Strays,Made by These Moments,3:25,205,mf4_7q849Ec,INDIFFERENT,False
30,When We Were Close,Jason Isbell and the 400 Unit,Weathervanes,3:58,238,cF141kKZ-nc,INDIFFERENT,False
31,Next Girl,The Black Keys,Brothers (Deluxe Remastered Anniversary Edition),3:18,198,W89jmsh1Tms,INDIFFERENT,False
32,Bank of the River,Bishop Gunn,Bishop Gunn,4:33,273,3m6pW0AlAs8,INDIFFERENT,False
33,Bloody Nails,Joe Bryson,Bloody Nails,2:13,133,aTm5Hg3QcFM,INDIFFERENT,False
34,Tell My Mother I Miss Her So,Ryan Bingham,Roadhouse Sun,3:46,226,Nu1WOr0TPOg,INDIFFERENT,False
35,Haze,moe.,What Happened To The LA LA's,5:13,313,OXNNApxGQfY,INDIFFERENT,False
