position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,Tantra,Fmesier,Tantra,7:51,471,7IQCsdcMevk,INDIFFERENT,False
2,Astral Pancakes (Remastered 2024),Hallucinogen,The Singles (Remastered 2024),8:03,483,ci3FiZM7_mg,INDIFFERENT,False
3,Spiral of Change,IKØN & MoRsei,Spiral of Change,7:27,447,U5I6CNZI7mI,INDIFFERENT,False
4,Intro,"Alan Braxe, Fred Falke",Running,4:55,295,z3uLFiWLvHA,INDIFFERENT,False
5,Want You to Know,Animato,Want You to Know,7:19,439,fw0YSEszQdI,INDIFFERENT,False
6,Wings Of Time (From the Motion Picture Dungeons & Dragons: Honor Among Thieves),Tame Impala,Wings Of Time (From the Motion Picture Dungeons & Dragons: Honor Among Thieves),2:49,169,zSj9CwEfNIQ,INDIFFERENT,False
7,Rolling,Mandragora,Aladin,5:19,319,0J2SVEzWew4,INDIFFERENT,False
8,3rd Time Lucky (Ritmo Remix),"Astrix, John Fleming",3rd Time Lucky (Ritmo Remix),7:58,478,EJBXUB61Op0,INDIFFERENT,False
9,Pacific Coast Highway,Fukkk Offf,Pacific Coast Highway,3:25,205,d3buxWUSJZ4,INDIFFERENT,False
10,We Are Awakening,Symbolic & Lifeforms,One of a Kind,7:57,477,eOfVCEyyhOs,INDIFFERENT,False
11,Broken Boy,Cage The Elephant,Social Cues,2:44,164,JYRm1XW3LQY,INDIFFERENT,False
12,Time & Space (Lifeforms & Kali Remix),"Avalon, Burn In Noise",London Landscapes 2,7:50,470,FB2yz0UQeSw,INDIFFERENT,False
13,Mindshift,Ace Ventura & GMS,Mindshift,8:12,492,VqGFV63HgXs,INDIFFERENT,False
14,Positive Visualisation,Talamasca,Positive Visualization,7:32,452,TSd33Gz_fvs,INDIFFERENT,False
15,Miracle,"Blazy, Durs, Neelix",Miracle,6:38,398,-nk0BacuWDM,INDIFFERENT,False
16,Boys Don't Cry (Single Version),The Cure,Three Imaginary Boys (Deluxe Edition),2:38,158,YSAqXEcgoZ4,INDIFFERENT,False
17,The Beyond,"GMS, Legohead",Dimension 005 (Compiled by Alpha Portal),7:57,477,8sfSJrPgvns,INDIFFERENT,False
18,Cyber Space,Symbolic,Psychedelic Awakening,8:07,487,Ca6xSPQ8VLQ,INDIFFERENT,False
19,C'mon C'mon,The Von Bondies,"C'mon, C'mon",2:14,134,_ScRYaQqFqM,INDIFFERENT,False
20,Somebody New,The Amplifetes,The Amplifetes,3:37,217,Mu9FEcU3Iu0,INDIFFERENT,False
21,Sherpa,Angine de Poitrine,Sherpa,5:44,344,jYBX-O4sD3I,INDIFFERENT,False
22,Dirty Beat Drop,Querox,How Life Goes On,7:22,442,Gdv3Zn20Fec,INDIFFERENT,False
23,Crystal Vision,Sonic Species & Mad Maxx,Crystal Vision,8:17,497,uk1QhN2EjQw,INDIFFERENT,False
24,Lost Gravity (Silent Sphere Remix),Liquid Soul,Lost Gravity,9:14,554,_Uxs0-_9a1w,INDIFFERENT,False
25,Hydrogen,M|O|O|N,MOON E.P.,4:50,290,opn4DAbw_YQ,INDIFFERENT,False
26,The Order,Kick Puncher,LiveDieRepeat,3:47,227,KtuGqCKM-BM,INDIFFERENT,False
27,Creatures,Alpha Portal,Psy-Fi Book of Changes Compiled by Astrix,7:27,447,q3urnWeErkE,INDIFFERENT,False
28,I Need Never Get Old,Nathaniel Rateliff & The Night Sweats,Nathaniel Rateliff & The Night Sweats,4:14,254,-FWrwbHqu5w,LIKE,False
29,À cause des garçons (Tepr Remix Edit),Yelle,Pop-Up (Extended Version),2:55,175,f_TJvjc4e-I,INDIFFERENT,False
30,Resonance (Inner Sphere remix),Divination,Resonance (Inner Sphere Remix),7:31,451,P_jNZNplI7M,INDIFFERENT,False
31,Cloud Passing,"Pettra, Ritmo",Goa Festival Sounds 2024,7:58,478,p0xBGLOVWhU,INDIFFERENT,False
32,Mojo,Phaxe & Gaudium & Emok & Martin Vice,Mojo,8:13,493,59_L9Qj5n0Y,INDIFFERENT,False
33,Sea of Trees,King Gizzard and The Lizard Wizard,12 Bar Bruise,3:15,195,IyfhnuuOWMs,INDIFFERENT,False
34,Duties of the Hearts,Lifeforms,Trance for Nations 14 (Compiled by Astrix),6:53,413,hDZsAPst7oA,INDIFFERENT,False
35,Land of 2 Suns (Liquid Soul Remix),Aqualize,Land of 2 Suns (Liquid Soul Remix),8:16,496,VmVBxOeBTRU,INDIFFERENT,False
36,Banquet,Bloc Party,Silent Alarm,3:17,197,P-i0jw61niE,INDIFFERENT,False
37,Butterfly,Vegas (Brazil),Butterfly,5:08,308,Kvjob00JYf0,INDIFFERENT,False
38,Fantasy,Scowl,Are We All Angels,3:30,210,2ionVMJfnmM,INDIFFERENT,False
39,Alarm,Boys Noize,Alarm,3:15,195,D6BrBxB-i9o,INDIFFERENT,False
40,Dreams We Have,Symphonix,Dreams We Have,5:44,344,258QqS6gTXc,INDIFFERENT,False
41,Sol,Static Movement,Sol,9:16,556,T0oWQH8Q_X0,INDIFFERENT,False
42,DEFIANT ORDER,Birdy Nam Nam,Defiant Order,3:42,222,zqmbAN_q3x8,INDIFFERENT,False
43,Home Is Not a Place,Hinap,Home Is Not a Place,6:43,403,OhUJEfU2mzg,INDIFFERENT,False
44,Virginia,The Bends,Leeward Drive,3:02,182,L6RD7kAChx4,INDIFFERENT,False
45,Cassius 1999 (Radio Edit),Cassius,1999 (Deluxe Edition),3:42,222,J8fMAXnDocs,INDIFFERENT,False
46,Make Art Not Friends,Sturgill Simpson,SOUND & FURY,5:52,352,RfV9JmLytXI,INDIFFERENT,False
47,Mr. Croissant Taker,Transistorcake,Mr. Croissant Taker,4:29,269,pO6C3xTrZi8,LIKE,False
48,Free Your Soul,"Ace Ventura, Outsiders",Free Your Soul,8:28,508,hg-sUW8WOxg,INDIFFERENT,False
49,Krishna (feat. Ankit Sharda),"Omiki, Planet 6",Krishna,6:42,402,a4_uaE3DQXs,INDIFFERENT,False
50,Zen Ninja,Ajja,Trance for Nations 14 (Compiled by Astrix),8:09,489,l66x7HWmyhs,INDIFFERENT,False
51,Synrise (Soulwax Remix),GOOSE,Synrise (10 Year Anniversary Edition),3:43,223,A0vVCpAp3ek,INDIFFERENT,False
52,"Turn Up the Silence (Remastered, 2019)",Shpongle,"Nothing Lasts...but Nothing Is Lost (Remastered, 2019)",3:23,203,uAVfLArZ2uA,INDIFFERENT,False
53,Aloo,Devochka,No Sense,3:48,228,Fpzgs-4JLb8,INDIFFERENT,False
54,Da Funk / Daftendirekt,Daft Punk,Alive 2007,6:37,397,uaumM3VcjoA,INDIFFERENT,False
55,The Power of Now (Shayman Remix),Captain Hook,The Power of Now (Shayman Remix),8:11,491,geb0Da6d5rE,INDIFFERENT,False
56,Sacramental,"Tristan, Pogo",Dimension 005 (Compiled by Alpha Portal),7:19,439,jd2rtmAevl4,INDIFFERENT,False
57,Orientation Station,Grouch,Corpus Callosum,8:55,535,9R40wDpOxEo,INDIFFERENT,False
58,Testarossa (SebastiAn Remix),Kavinsky,1986,4:59,299,yz3OroC3MPo,INDIFFERENT,False
59,Agate,Astrix & Ritmo,Astrix - He.art,8:44,524,vjxU0mJplnI,INDIFFERENT,False
60,Garbage Truck (Bonus Track),Beck,Scott Pilgrim Vs. The World (Original Motion Picture Soundtrack Expanded Edition),1:50,110,mgaVa6J7Fag,INDIFFERENT,False
61,Lex,Ratatat,Classics,4:30,270,48yR03AX75o,INDIFFERENT,False
62,Spirit Molecule,Mekkanikka,Spirit Molecule,7:50,470,rF3r9Knc6Vc,INDIFFERENT,False
63,Neurochemistry (Indianix Remix),Liquid Ace,Neurochemistry (Indianix Remix),5:58,358,mSaEB9LSfg8,INDIFFERENT,False
64,"Touch, Peel And Stand",Days Of The New,Days Of The New,4:58,298,YLO-vcFDaS8,INDIFFERENT,False
65,Lost Paradise (Tijah Remix),Groundbass,Lost Paradise (Tijah Remix),8:51,531,TOotlMMW7E0,INDIFFERENT,False
66,Planisphere Part. III,Justice,Planisphere,3:31,211,YsWnWA0PXqI,INDIFFERENT,False
67,Time To Dance (SebastiAn Remix),"Anthonin Ternant, The Shoes",Crack My Bones,3:25,205,8S2LKUj759A,INDIFFERENT,False
68,Horizon,Protonica,Horizon,9:31,571,ZqndMIHv0Kk,INDIFFERENT,False
69,Reach Out,Marc Rebillet,Loop Daddy,2:57,177,2Z-lzB4A52w,INDIFFERENT,False
70,No Light Theory (T4N Edit),Spectra Sonics,Trance for Nations 14 (Compiled by Astrix),7:08,428,tJGIFpEIVDs,INDIFFERENT,False
71,Galactic Mantra (Killerwatts Remix),Ovnimoon,Galactic Mantra (Killerwatts Remix),8:13,493,F3hKIbSjBT0,INDIFFERENT,False
72,5 Billion Stars (Captain Hook Remix),LOUD,Loud Remixes Vol 2,9:30,570,zF9BVQVCfIo,INDIFFERENT,False
73,5:45 Am (Not Fun),Macseal,Macseal - EP,2:45,165,3GR3a0YF7JA,INDIFFERENT,False
74,Heartbreaker (feat. John Legend),MSTRKRFT,Heartbreaker,3:13,193,UWQFVjQ0h7w,INDIFFERENT,False
75,Psilocybin (Satori Remix),Visua,Psilocybin (Satori Remix),8:02,482,qztMfQm2r6Q,INDIFFERENT,False
76,Infinity (Anna Remix),"Captain Hook, Ritmo",Infinity (Anna Remix),6:42,402,AD655XLjXXQ,INDIFFERENT,False
77,Eternal Valley,Asgard,Trance for Nations 14 (Compiled by Astrix),8:25,505,RT1zCzBO48I,INDIFFERENT,False
78,Fade Away (feat. Joe Reeves),Vitalic,Rave Age,4:29,269,6vPS1G3U37c,INDIFFERENT,False
79,how would you know,second thoughts,how would you know,2:58,178,foQkz4JjArA,INDIFFERENT,False
80,Ceremony,Side Effects,Brain Signal,6:39,399,Stcw-pXUdBM,INDIFFERENT,False
81,Power of Acid,Ranji,Power of Acid,9:09,549,ioXjjM7MT_M,INDIFFERENT,False
82,Down,311,311,2:53,173,EeYEdBIYU_0,INDIFFERENT,False
83,Consciousness,Altruism,Consciousness,8:14,494,29o0_sz3QRI,INDIFFERENT,False
84,Alien Alert,1200 Micrograms,"Stash Bag, Vol. 6",6:33,393,tTCp30S8MPA,INDIFFERENT,False
85,Stillness Blues,YHWH Nailgun,Magazine,1:19,79,DywnXl4UYy4,INDIFFERENT,False
86,Over and over Again,Uncle Acid & The Deadbeats,Blood Lust,3:21,201,NUog6Yx2_ks,INDIFFERENT,False
87,Miami Showdown,Digitalism,"I Love You, Dude",3:27,207,m-wDiCRMl_c,INDIFFERENT,False
88,Orck,Gesaffelstein,Novo Sonic System,3:09,189,hrdw52m7kHw,INDIFFERENT,False
89,Plant Medicine,"Avalon, Electric Universe",Plant Medicine,9:43,583,nYX-wygZfhs,INDIFFERENT,False
90,Lucid Dreams,Franz Ferdinand,Hits To The Head,3:45,225,P2VF_xla2QM,INDIFFERENT,False
91,F For You,Disclosure,Settle (Special Edition),4:29,269,1YY7UkOVvB0,INDIFFERENT,False
92,6am,Channel Tres,6am,3:42,222,Z40azBQ4hzo,INDIFFERENT,False
93,Joy.,"Absolutely, Amma, RAYE",THIS MUSIC MAY CONTAIN HOPE.,4:24,264,taHYtEGxLnw,INDIFFERENT,False
94,I Know You,St. Julien,I Know You,2:28,148,zpopTIaVFQg,INDIFFERENT,False
95,Outshined,Soundgarden,Badmotorfinger (25th Anniversary Remaster),5:11,311,n5FA1ReVRN0,INDIFFERENT,False
96,Cousins,Vampire Weekend,Contra,2:26,146,CoKt6atQFNQ,INDIFFERENT,False
97,I Am,Liquid Soul & Kalki,I Am,8:02,482,tNBxRNPNoiQ,INDIFFERENT,False
98,Zero,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),2:41,161,vDgUTnIyDtQ,INDIFFERENT,False
99,Inside Your Head,Vertical Mode,Psy-Fi Book of Changes Compiled by Astrix,7:55,475,IVagMZ8fS4E,INDIFFERENT,False
100,Hoffman's Legacy,A-Tech & Overdrive,Hoffman's Legacy,7:04,424,wAFNG099JGo,INDIFFERENT,False
101,Shamanix (Domestic & Spacecat Remix),Hallucinogen,Shamanix (Domestic & Spacecat Remix),8:22,502,zB9NWgAD8Uw,INDIFFERENT,False
102,Planisphere Part. II,Justice,Planisphere,2:18,138,m_5bDlvHj_Q,INDIFFERENT,False
103,On Fire,Tristan,Psychedelic Awakening,5:58,358,MiGXcaalNe0,INDIFFERENT,False
