position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,Deixa A Tristeza,Neno Exporta Som,Deixa A Tristeza / Ellen,3:24,204,8Cvtomy-_k4,INDIFFERENT,False
2,Meu Mundo É Hoje,Wilson Baptista,Meu Mundo É Hoje,3:38,218,pJ0r7hihavU,INDIFFERENT,False
3,Consolação,Rosinha de Valença,Apresentando,3:28,208,mUNuvzazM88,INDIFFERENT,False
4,Tudo Que Voce Podia Ser,Quarteto Em Cy,Quarteto Em Cy,2:42,162,WjfuLpoRy6k,INDIFFERENT,False
5,Clarão Da Lua - NAZARÉ PEREIRA,NAZARÉ PEREIRA,VER O PESO,2:00,120,NKxBIkimnoM,INDIFFERENT,False
6,Que Bandeira,Evinha,Cartão Postal,2:30,150,EeXrijZOTbA,INDIFFERENT,False
7,Lotus 72 D (Fast),Zé Roberto,"Mr Bongo Record Club, Vol. 4 (Compiled by Mr Bongo)",3:01,181,Btxb_MnbQYg,INDIFFERENT,False
8,Rio (feat. Roberto Menescal),Quarteto do Rio,Mr. Bossa Nova,2:27,147,sawP8WU_1ZA,INDIFFERENT,False
9,"Mas, Que Nada!",Jorge Ben,Samba Esquema Novo,3:00,180,hg0XftC43Zo,INDIFFERENT,False
10,Liza,Marcus Moreira,Liza,2:48,168,vN9SD3ZOZ0g,INDIFFERENT,False
11,Velho parente,Arthur Verocai,Arthur Verocai,2:19,139,wr8GGRSKKYk,INDIFFERENT,False
12,Com Mais de 30,Marcos Valle,Garra,2:45,165,Zt9hmSNAsUY,INDIFFERENT,False
13,O Pato (Ultimate Mix),João Gilberto,"O Amor, O Sorriso e a Flor (Ultimate Mix)",1:59,119,R8Fj-B8-p8g,INDIFFERENT,False
14,Regra Três,"Toquinho, Vinícius de Moraes",São Demais Os Perigos Desta Vida,2:38,158,bn-B_UT2gPg,INDIFFERENT,False
15,Você Abusou,Sivuca,Sivuca,3:04,184,cAhWsTKhDvE,INDIFFERENT,False
16,Tudo De Você,Wilson Simonal,"Tem ""Algo Mais""",2:28,148,Qexyx0akGsE,INDIFFERENT,False
17,Baby,Quinteto Ternura,Quinteto Ternura,2:56,176,aNSKBnLZfiA,INDIFFERENT,False
18,Essa Moça Tá Diferente,Chico Buarque,Chico Buarque De Hollanda Nº4,2:48,168,Ix6D9QC8rpA,INDIFFERENT,False
19,Filhos De Zambi,Trio Ternura,Filhos de Zambi / Meu Caso Com Você,3:03,183,vCaJacNfxSQ,INDIFFERENT,False
20,Hei! Você,Dom Salvador & Abolição,Série Samba Soul,2:33,153,ucF4baeUpeA,INDIFFERENT,False
21,Você Nasceu Pra Mim,Bebeto,Esperanças Mil,2:36,156,OKTYkvQV6pc,INDIFFERENT,False
22,Muito Obrigado,Djavan,"A Voz, o Violão, a Música de Djavan",3:07,187,6jKGyCRu6To,INDIFFERENT,False
23,Coisa Mais Linda (Most Beautiful Thing),Carlos Lyra,Bossa Nova Carlos Lyra,1:32,92,rgGBRIdUU3c,INDIFFERENT,False
24,Tudo Que Você Podia Ser,Lô Borges,A Via-Láctea,3:46,226,ZiVfc3xJcvc,INDIFFERENT,False
25,Swinga Sambaby,Trio Mocotó,Trio Mocotó,1:35,95,r8u4tZvNEw0,INDIFFERENT,False
26,Seu Waldir,Ave Sangria,Ave Sangria,2:15,135,1txE3quV7Jw,INDIFFERENT,False
27,Maracatu Atômico,Gilberto Gil,Nightingale,4:25,265,s4HcT8Bc-Vw,INDIFFERENT,False
28,Outro Lugar,Toco,Rare Tunes: Sieste on the Beach,3:23,203,UQeDaqfUAA0,INDIFFERENT,False
29,Essa Moça Tá Diferente,Roberta Sá,Sambas & Bossas,3:39,219,HtZm3LVG1O0,INDIFFERENT,False
30,Dia de Baile,Malvados do Samba,Dia de Baile,1:56,116,JiqVTqxSP7M,INDIFFERENT,False
31,Swing de Campo Grande,Novos Baianos,Acabou Chorare,3:09,189,zZWj0W5lSP0,INDIFFERENT,False
32,O Ganso,Astrud Gilberto,The Shadow Of Your Smile,2:10,130,KqWo14973Dk,INDIFFERENT,False
33,Consolação,Baden Powell,À Vontade,2:27,147,fMyaWk_dYvE,INDIFFERENT,False
34,Sei Lá...a Vida Tem Sempre Razão,"Antonio Carlos Jobim, Miucha",One Love Brazil: Rhythm Party Compilation - Football 2014 We Are One - 120 Best Hits and World Anthems,2:35,155,vXNuixxgmKQ,INDIFFERENT,False
35,Garota de Copacabana,Edson Frederico,1975,2:41,161,WyHdLXuj6MU,INDIFFERENT,False
36,"Eu, Réu, Me Condeno",Helio Matheus,"Eu, Réu, Me Condeno / Feijão Com Farinha",4:30,270,-sIgPoMLIlw,INDIFFERENT,False
37,Chega Mais,"Rita Lee, Roberto De Carvalho",Rita Lee,3:55,235,xs5ESdKNjD8,INDIFFERENT,False
38,Capela D'Ajuda,Os Tincoãs,Os Tincoãs,2:43,163,hlf00SbHG0w,INDIFFERENT,False
39,Existe Uma Voz,Rogê,Existe Uma Voz,3:46,226,XXmq60RgabY,INDIFFERENT,False
40,Trem Das Onze,Adoniran Barbosa,Para Sempre,3:06,186,Ted9UTfKvco,INDIFFERENT,False
41,De Frente Pro Crime,"Aldir Blanc, João Bosco",Caça A Raposa,2:10,130,mbpH_qTpyx8,INDIFFERENT,False
42,A Rã,João Donato,Quem É Quem,2:32,152,3fzRFYjLVCc,INDIFFERENT,False
43,Take Me Back To Piauí,Juca Chaves,Take Me Back To Piauí / Vou Viver Num Arco-Íris,3:16,196,hhOqqFaWWpE,INDIFFERENT,False
44,FESTA DE ADEUS,Julio Secchin,Festa de Adeus,2:50,170,_IZ07Z3kdi0,INDIFFERENT,False
45,Nada Será Como Antes,"Beto Guedes, Milton Nascimento",Clube Da Esquina,3:24,204,v6ZUwtAty8k,INDIFFERENT,False
46,Pranto de Poeta,Cartola,Verde Que Te Quero Rosa,3:32,212,ffUQz9rc3vc,INDIFFERENT,False
47,Saudade Vem Correndo (feat. Maria Toledo),"Luiz Bonfá, Stan Getz",Jazz Samba Encore!,3:40,220,D0a4vuKQR5w,INDIFFERENT,False
48,Mas Que Nada,Elza Soares,Sambas E Mais Sambas,2:27,147,p8eUn7uGWlM,INDIFFERENT,False
49,Desacato,"Antonio Carlos, Jocafi",Mudei de Ideia,3:39,219,yCzjL0T1efg,INDIFFERENT,False
50,Melhor Se Acostumar,Pedro Mizutani,Melhor Se Acostumar,2:00,120,KX-QE3rSoYQ,INDIFFERENT,False
51,Deusa do Amor,Moreno Veloso,Music Typewriter (20th Anniversary Edition),4:58,298,6u0tH99hbpY,INDIFFERENT,False
52,Alegria,Elia Y Elizabeth,¡Alegría!,4:04,244,sFgS7Mi3iPk,INDIFFERENT,False
53,Odara,Caetano Veloso,Caetanear,3:20,200,GPrSsnL0NhY,INDIFFERENT,False
54,"Este Seu Olhar (feat. Èlia Bastida, Joan Monné & Joan Martí)","Joan Chamorro, Sant Andreu Jazz band",Jazzing 11 Vol.4,4:10,250,b-RvX2wnt78,INDIFFERENT,False
55,Sonho De Maria,Tamba Trio,Tamba Trio Classics,3:32,212,vWWtVBqt5mU,INDIFFERENT,False
56,Baby,Os Mutantes,"""Jardim Eletrico""",3:39,219,iYVfQ6kucyI,INDIFFERENT,False
57,É,Gonzaguinha,É,3:29,209,ZWX9tgGyWNs,INDIFFERENT,False
58,"Tenha Fé, Pois Amanhã um Lindo Dia Vai Nascer",Os Originais Do Samba,Exportação,2:48,168,42RRaSKjpCc,INDIFFERENT,False
59,That Old Feeling,Chet Baker,Chet Baker Sings,3:04,184,oTO7jL-Fv8M,INDIFFERENT,False
60,Abre Alas,Ivan Lins,Modo Livre,3:10,190,OwtnVuAR6bc,INDIFFERENT,False
61,Flor De Maracujá,Gal Costa,A Arte De Gal Costa,2:58,178,XDjoQCffDuc,INDIFFERENT,False
62,Se você for a salvador,Brylho,Brylho,3:46,226,h9qNVN4EJ_g,INDIFFERENT,False
63,It Must Be Love,Bill Evans,The Complete Bill Evans On Verve,3:58,238,WxytMDku4Lc,INDIFFERENT,False
64,Tô,Tom Zé,Estudando o samba,2:51,171,f4_HhejGaQg,INDIFFERENT,False
65,Brazil,Geoff & Maria Muldaur,Pottery Pie,3:32,212,joInwYlVu2w,INDIFFERENT,False
66,Tamanqueiro,Elizio de Buzios,Tamanqueiro,3:39,219,QCvwqdINAc4,INDIFFERENT,False
67,I've Got You Under My Skin (feat. Bud Shank Quintet),Julie London,All Through The Night: Julie London Sings The Choicest Of Cole Porter (Bonus Tracks),3:04,184,Yqtjqmxw0TA,INDIFFERENT,False
68,Figa De Guiné,Alcione,Sol de Verão 2021,2:20,140,iqLFIVd-6so,INDIFFERENT,False
69,Vidigal,Banda Black Rio,Gafieira Universal,3:38,218,TZExMIa9u7Q,INDIFFERENT,False
70,Efêmera,Tulipa Ruiz,Efêmera,3:45,225,5brM92k0SUU,INDIFFERENT,False
71,Samba Torto,Sylvia Telles,Corcovado,1:58,118,ahDYW9eP3EU,INDIFFERENT,False
72,Princesa Negra De Angola,Bebeto,Esperanças Mil,3:41,221,BzWvpzGz2nc,INDIFFERENT,False
73,De Noite Na Cama,Erasmo Carlos,"Carlos, Erasmo (Versão Com Bônus (1971))",3:18,198,djb9np-w1d8,INDIFFERENT,False
74,Batucada,Sergio Mendes & Brasil '66,Look Around,2:24,144,yFfzU2OepQI,INDIFFERENT,False
75,I'm Confessin' (That I Love You),Thelonious Monk,Solo Monk (Expanded Edition),2:38,158,ZZmXTGysai8,INDIFFERENT,False
76,eggs in the morning,aron!,cozy you (and other nice songs),2:28,148,PVgDmI4Bvr8,INDIFFERENT,False
77,Big Chief,Dr. John,Dr. John's Gumbo,3:27,207,UCBdO4w6jAs,INDIFFERENT,False
78,Desafinado,Nova,"The Collection, Vol. 1",8:04,484,9usobwF2wxc,INDIFFERENT,False
79,Asiyo Bellema feat. Frank Holder & Niaaza Alsherif (feat. Frank Holder & Niaaza Alsherif),Mulatu Astatke,New York - Addis - London: The Story of Ethio Jazz 1965-1975,2:53,173,jyCrSvoNB-g,INDIFFERENT,False
80,"Nego Dito (feat. Mari, Turcão, Eliane & Paulo Barnabé)",Itamar Assumpção,Beleléu e Banda Isca de Polícia,4:31,271,yhoRywJQ8ps,INDIFFERENT,False
81,Mina do Condomínio,Seu Jorge,America Brasil,6:41,401,uWWMtgPwtOg,INDIFFERENT,False
82,Coisa Maluca,Ana Frango Elétrico,Me Chama De Gato Que Eu Sou Sua,1:34,94,MP4YbASp3Kg,INDIFFERENT,False
83,Infinito em nós,Zé Ibarra,AFIM,4:11,251,FKeYKO2LPgQ,INDIFFERENT,False
84,Neste Mesmo Lugar,Quarteto Em Cy,Antologia Do Samba Canção Vol. 2,2:59,179,e3IzFq16F5U,INDIFFERENT,False
85,O Barquinho,Dany Crew Beat,Brazil Jazz,3:11,191,uxls85So_nM,INDIFFERENT,False
86,Pawky,Dorothy Ashby,Hip Harp (Japan),7:06,426,sNIfnhL7Jrs,INDIFFERENT,False
87,Menina Bonita Não Chora,Jorge Ben,Samba Esquema Novo,2:06,126,HATsbEOV_10,INDIFFERENT,False
88,Menina Flor,Lisa Ono,Ono Lisa Best 1989-1996,4:14,254,yKLdZp3YJiA,INDIFFERENT,False
89,Crazy He Calls Me,Billie Holiday,Lover Man,3:06,186,WMx-o4S0Ppw,INDIFFERENT,False
90,Soul África,Babu Santana,Soul África,3:24,204,gY1-nlyDBok,INDIFFERENT,False
91,So Nice (Summer Samba),Marcos Valle,Samba '68,2:32,152,-sM-BxtS5jQ,INDIFFERENT,False
92,Samba da Minha Terra,João Gilberto,João Gilberto,2:21,141,SpNAmn4JN8Q,INDIFFERENT,False
93,Rico Sem Dinheiro,Evinha,Cartão Postal,2:13,133,UBzE7-l5juc,INDIFFERENT,False
94,Como Dizia o Poeta (feat. Marília Medalha),"Toquinho, Vinícius de Moraes",Como Dizia O Poeta...,3:15,195,0VzTLHG98i0,INDIFFERENT,False
95,Que mapa?,Arthur Verocai,Arthur Verocai,2:43,163,CkIsxq44S0Y,INDIFFERENT,False
96,Magic Woman,Diggan d'Adesky,Magic Woman,3:23,203,muIwdHJo5L4,INDIFFERENT,False
97,A Gira,Trio Ternura,Trio Ternura (Compacto 1973),3:04,184,_W0tBygfHHc,INDIFFERENT,False
