position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,The Wave,Jungle,The Wave,3:23,203,IH7JpGt0Eyc,INDIFFERENT,False
2,Ces petits riens,"Stacey Kent, Matt Skelton, John Parricelli, and Dave Chamberlain",Breakfast on the Morning Tram (Bonus Edition),3:22,202,BdkCkoh4Qgw,INDIFFERENT,False
3,Howlin' At The Moon,"Hank Williams, The Drifting Cowboys",Honky Tonkin (Expanded Undubbed Edition),2:45,165,2onV5L_1kt0,INDIFFERENT,False
4,Comedown,Parcels,Parcels,3:09,189,ooel-79wV-c,INDIFFERENT,False
5,Venom Wearin' Denim,Junior Brown,Semi Crazy,2:38,158,S-VZUCb-A38,INDIFFERENT,False
6,Miles And Miles Of Texas,Asleep At The Wheel,Wheelin' And Dealin',3:08,188,zqgvT_bvMVo,INDIFFERENT,False
7,St James' Infirmary,Cab Calloway,Presenting Cab Calloway,3:06,186,KNmV98ULXl4,INDIFFERENT,False
8,Skin & Bones.,RAYE,THIS MUSIC MAY CONTAIN HOPE.,3:15,195,J7f7evuZJ8A,INDIFFERENT,False
9,I Take A Lot Of Pride In What I Am (2005 Remaster),"Merle Haggard, The Strangers",Mama Tried/ Pride In What I Am,2:50,170,P3XujXxbp44,INDIFFERENT,False
10,Yene Nesh Wey (Amalele),"Dahlak Band, Hailu Mergia",Wede Harer Guzo,4:39,279,IquxiII_chc,INDIFFERENT,False
11,I Can Get off on You,"Waylon Jennings, Willie Nelson",Waylon & Willie,2:23,143,JLyg2scuZMo,INDIFFERENT,False
12,"Me & My Uncle (Live at The Fillmore East, New York, NY, April 29, 1971) [2021 Remaster]",Grateful Dead,Grateful Dead (Skull & Roses) [2021 Remaster] (Live),3:04,184,trJcxc55YvM,INDIFFERENT,False
13,Old Train,The Tony Rice Unit,Manzanita,2:11,131,JRn6zJgG8WU,INDIFFERENT,False
14,Train Medley: Fire Ball Mail / Train of Love / Walking Cane / Wreck of the Old '97/ Orange Blossom Special / Wabash Cannonball / Night Train to Memphis,Boxcar Willie,King of the Railroad,3:22,202,AmOVEehbeEM,INDIFFERENT,False
15,If You've Got the Money I've Got the Time,Lefty Frizzell,Listen to Lefty,2:58,178,AJbShe2zEqI,INDIFFERENT,False
16,La vraie valse musette,Paris Musette,Paris Musette (French Accordion),2:28,148,7P_ufKydB7Y,INDIFFERENT,False
17,I've Never Gone to Bed with an Ugly Woman,Bobby Bare,Drunk & Crazy,2:01,121,QbNpl9Bqdys,INDIFFERENT,False
18,Do Re Mi,Woody Guthrie,Dust Bowl Ballads,2:33,153,pPFwFqDoYos,INDIFFERENT,False
19,Qu'est-ce qu'on attend pour être heureux?,Avalon Jazz Band,I Wish You Love,2:11,131,uoZh6GkACMA,INDIFFERENT,False
20,Passion,Eric Bouvelle Et Son Orchestre,Les Classiques De L'Accordéon Vol. 7,3:00,180,Eo4RY5iZv24,INDIFFERENT,False
21,Flashback Blues,John Prine,John Prine,2:33,153,k9PFpzecOl0,INDIFFERENT,False
22,Chittlin’ Cookin’ Time In Cheatham County,Sierra Ferrell,Trail Of Flowers,3:02,182,7p2-TKipaME,LIKE,False
23,Six Days On The Road,Dave Dudley,Six Days On the Road,2:21,141,rGmw44_ZsPw,INDIFFERENT,False
24,Grateful Dawg,"David Grisman, Jerry Garcia",Jerry Garcia & David Grisman,3:40,220,JWzwTm2NfIE,INDIFFERENT,False
25,Café Accordeon,Dan Newton,A Stroll in Paris,3:18,198,tXbpu8tX4CE,INDIFFERENT,False
26,Gypsy,Fleetwood Mac,Mirage,4:28,268,_9FGx0hjmC8,INDIFFERENT,False
27,Samuel Colt,Billy Walker,"The Gun, the Gold and the Girl Cross the Brazos at Waco",2:37,157,N2mUZo-WQSU,INDIFFERENT,False
28,I Washed My Hands In Muddy Water,Stonewall Jackson,The Best Of Stonewall Jackson,2:43,163,7wjN0aqKnes,INDIFFERENT,False
29,Jackknife,Red Simpson,Truck Drivin' Fool,2:44,164,JaDLjEjF2XU,INDIFFERENT,False
30,Interstellar,"Skinshape, The Horus All Stars",Skinshape X Horus,3:27,207,0w1hryCUmfA,INDIFFERENT,False
31,Sixteen Tons,Lorne Greene,The Man,3:11,191,KNkPIeCklGU,INDIFFERENT,False
32,"Bistro Fada (from the Motion Picture ""Midnight in Paris"")",Stephane Wrembel,Bistro Fada,3:04,184,SWLJXnmzIDo,LIKE,False
33,Squaws Along The Yukon,Hank Thompson & His Brazos Valley Boys,Most Of All,2:32,152,Eds4vCwaN28,INDIFFERENT,False
34,Dang Me,Roger Miller,Roger And Out,1:49,109,8PCEDB1YjYI,INDIFFERENT,False
35,If You Don't Like Hank Williams,Kris Kristofferson,Surreal Thing,3:32,212,Ij1gsqSFHE4,INDIFFERENT,False
36,La Flambée Montalbanaise,"Achilles Liarmakopoulos, Cordeone, & Giovanni Colletti",La Flambée Montalbanaise,2:47,167,JxS0H8lv8Rk,INDIFFERENT,False
37,Manea-k,Max Pashm,BalkanBeats,4:48,288,Yjb_Nr9p9ls,INDIFFERENT,False
38,The Lord Knows I'm Drinking,Hank Thompson,"Pathway of My Life 1966 - 1986, Pt. 4 of 8",2:54,174,PeGQjAgJeYk,INDIFFERENT,False
39,Put Another Log on the Fire,Tompall Glaser and Band,Wanted! The Outlaws,2:21,141,SR16XcVokZ4,INDIFFERENT,False
40,Koya Blues,Abou Diarra,Koya,3:04,184,qDoeYDeNw6Y,INDIFFERENT,False
41,All I Have To Do Is Dream,The Osborne Brothers,From Rocky Top to Muddy Bottom: The Songs of Boudleaux and Felice Bryant,2:43,163,NfAVXMet7nE,INDIFFERENT,False
42,Run Horse Run,Charley Crockett,Welcome to Hard Times,2:42,162,r8T71f-Oc4c,INDIFFERENT,False
43,Natural Mystic,Bob Marley & The Wailers,Exodus,3:28,208,2U91ELKMNlE,INDIFFERENT,False
44,Café Montparnasse,Paris Café Society,French Café: A Parisian Gypsy Jazz Swing Experience,2:51,171,ihSo8ZOqSrA,INDIFFERENT,False
45,Take an Old Cold 'Tater (and Wait),"""Little"" Jimmy Dickens",Columbia Country Classics               Volume 2:  Honky Tonk Heroes,2:47,167,CD67Sr0VLKk,INDIFFERENT,False
46,Under Paris Skies,Pearl Django,Under Paris Skies,3:14,194,AStZ34JUqNA,INDIFFERENT,False
47,Girl On The Billboard (Rerecorded),Del Reeves,"The Country Music Collection, Vol. 1",2:49,169,1O2zQqdljr4,INDIFFERENT,False
