position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,North Cormorant Obscurity,Rykard,Arrive The Radio Beacon,3:18,198,Mnf1yfYOwUE,INDIFFERENT,False
2,Ascent,Stellardrone,Sublime,3:39,219,FCw8XHEHSkY,INDIFFERENT,False
3,In Threes,Loscil,Sea Island,5:58,358,Px_DbjgHVX4,LIKE,False
4,Denna,Finnegan Tui,"Lost Tales, Vol. 1",3:31,211,8ZNucRs1hf8,INDIFFERENT,False
5,Soul Wire,Vibrasphere,Lime Structure,3:07,187,Z31FVFDNxyQ,INDIFFERENT,False
6,Peacock Tail,Boards of Canada,The Campfire Headphase,5:25,325,m4M5OV9N3kM,INDIFFERENT,False
7,Alone in Kyoto,IOTO,Alone in Kyoto,3:12,192,bZj26AtpGaY,INDIFFERENT,False
8,Future Beginning,MARION,Future Beginning,3:55,235,k2VMRIg8QGU,INDIFFERENT,False
9,Serenade of Water,Men I Trust,Untourable Album,3:06,186,zLdT_0YfPLk,INDIFFERENT,False
10,Vision (Revisited),Carbon Based Lifeforms,Alt:02,3:29,209,v-3pVOIVGeQ,INDIFFERENT,False
11,Afternoon Memories,Lavaros,Afternoon Memories,2:56,176,90lYz0hT7ss,INDIFFERENT,False
12,8848 Meters Above Sea Level,Oleg Byonic,Birds Feel the Distance,8:37,517,wakyiXINPb4,INDIFFERENT,False
13,El Fantasma,Hermanos Gutiérrez,Sonido Cósmico,3:04,184,_MGo4X68xJA,INDIFFERENT,False
14,Voices Fade (Remix),Vibfy,Voices Fade (Remix),3:10,190,0iFv5vTp8cs,INDIFFERENT,False
15,The Missing (Origin 2006) (2023 Remaster),Solar Fields,Origin # 02 (2023 Remaster),9:37,577,acXtc8TlQMY,INDIFFERENT,False
16,Lost,vibessmusic,Lost,3:01,181,WVRCq7rP0XM,INDIFFERENT,False
17,Reborn by Moonlight,E-Mantra,Expedition Frozen Taiga,6:00,360,DQAXghsk61k,INDIFFERENT,False
18,Passion,Nightmares On Wax,In A Space Outta Sound,7:01,421,RwB2-Trahd0,INDIFFERENT,False
19,Boy,Instupendo,Boy,3:59,239,_hN8X3l59P4,INDIFFERENT,False
20,Red Elevation,Hello Meteor,An Unfamiliar Place,4:51,291,Sn6ERMVzMXY,INDIFFERENT,False
21,Miss You,Trentemøller,The Last Resort,4:08,248,PO9bcVTbRcg,INDIFFERENT,False
22,Engage,"Hypixi !!!, Jasper De Ceuster",Engage,3:52,232,NSZMfurDpno,INDIFFERENT,False
23,A Higher Intelligence,Poldoore,The Day After,4:34,274,ThWc22kKHWc,INDIFFERENT,False
24,Dark Star,All India Radio,The Slow Light,4:59,299,dHnPx4bUADk,INDIFFERENT,False
25,Among Thoughts,Nibana,Among Thoughts,7:09,429,sa6s2TlFjAQ,INDIFFERENT,False
26,Boris Is Massive,Dotlights,Boris Is Massive,3:00,180,eWSfK5133Yw,INDIFFERENT,False
27,The Tesseract,State Azure,The Tesseract,7:15,435,1gZHlQG9zCU,INDIFFERENT,False
28,Dharma,StereOMantra,Projections,7:11,431,vnPKioVgvMg,INDIFFERENT,False
29,Khepre,Islandman,Heimlich III,6:32,392,JyKcDPOovSo,INDIFFERENT,False
30,Rapture At Sea,Eastern Sun,In Emptiness,7:36,456,il3TZagrnyw,INDIFFERENT,False
31,Tonschraube,Boozoo Bajou,Grains,5:47,347,5aqOAJuyUFY,INDIFFERENT,False
32,Oleander (Phutureprimitive Symbiotic Remix),Bluetech,Digital Singles Vol.1,7:36,456,JnKhDj3r81A,INDIFFERENT,False
33,Aurora,Kupla,All Natural,2:28,148,sNfhhzvnR58,INDIFFERENT,False
34,Gentle Flow,Anders Isberg,A Tranquil Life,4:20,260,TTlgWXFFauQ,INDIFFERENT,False
35,horizons,".diedlonely, théos",horizons,3:03,183,e5UkXm0_F00,INDIFFERENT,False
36,Unconditional Love (Part 2),Suduaya,Starseeds,6:49,409,RFP2UgxeQ9E,INDIFFERENT,False
37,Silky Spring,Yuuf,Silky Spring,3:45,225,yXHOpDF_pj4,INDIFFERENT,False
38,Smokezilla,Matt Borghi,After Otherwise,3:19,199,ZSqaI7OocCQ,INDIFFERENT,False
39,Imbre,Jordan Critz,Imbre,3:50,230,jbwFDchsvBY,INDIFFERENT,False
40,Private Universe,Jon Hopkins,Opalescent,5:41,341,YQOCu-mnwpQ,INDIFFERENT,False
41,Magnus,Plesiada,Joy World,6:36,396,kaP1OtPJXAs,INDIFFERENT,False
42,Tangerine Sour,"9 Theory, Emancipator",Tangerine Sour,4:14,254,6W5Ik21dCUc,INDIFFERENT,False
43,Love On A Real Train (From 'Risky Business' Original Motion Picture Soundtrack),Tangerine Dream,Hyperborea (Deluxe Version / Remastered 2020),4:00,240,sBhB9gAM1J4,INDIFFERENT,False
44,Ever Present,Man of No Ego,"AUM, Vol. I",6:02,362,7uSiGmbTmhY,INDIFFERENT,False
45,Andriven,Mystic Crock,Clear Water,8:14,494,DB76DgbEH7c,INDIFFERENT,False
46,Haul (Radio Edit) (feat. Mohna),Christian Löffler,Haul,3:38,218,x8kMzAmfNEk,INDIFFERENT,False
47,Invisible,m-seven,activate,5:10,310,eDogL9okHQo,INDIFFERENT,False
48,The Flow,Mobitex,The Flow,10:15,615,-RQ7jOsuUYY,INDIFFERENT,False
49,Wide Spectrum,Dreaming Cooper,"Spacechillers, Vol. 2",9:05,545,9xcXCQX_PBc,INDIFFERENT,False
50,Amour,Neuroq,Spacephoria,7:09,429,uTwm1k2rhN8,INDIFFERENT,False
51,A Whole New Way of Looking At the Day,Abakus,That Much Closer to the Sun,3:33,213,q_WH6lHZVMg,INDIFFERENT,False
52,Took The Long Way,Hyperbolic Club,Took The Long Way Home,3:25,205,dpSEqS8uydg,INDIFFERENT,False
53,Alone in Kyoto,Air,Talkie Walkie,4:51,291,I0SVd_Q5wIg,INDIFFERENT,False
54,Temporal,Aukai,Temporal,3:05,185,dUzXCkhorog,INDIFFERENT,False
55,Distance,Michael FK,Distance,5:15,315,pUlNCtKADBs,INDIFFERENT,False
56,The Queen Of All Everything,Ott,Skylon,7:53,473,5PBuGYsyQs8,INDIFFERENT,False
