position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,Mahal,Glass Beams,Mahal,3:22,202,Byzhrg7oW58,INDIFFERENT,False
2,Strange Seed,Emapea,"Seeds, Roots & Fruits",3:04,184,Z0TfdZBc7L8,LIKE,False
3,"Locatelli: Violin Concerto in G Minor, Op. 3 No. 6: IIIa. Vivace","Elizabeth Wallfisch, Nicholas Kraemer, Pietro Locatelli, Raglan Baroque Players","Locatelli: L'Arte del Violino – 12 Concertos, Op. 3",2:59,179,X6IW-YSJ_z0,INDIFFERENT,False
4,Got Caught in Amsterdam,Arc De Soleil,The Thief in Marrakesh Got Caught in Amsterdam Trying to Escape,2:51,171,SuvVK76HAPE,INDIFFERENT,False
5,Bettina,"Skinshape, The Horus All Stars",Skinshape X Horus,3:44,224,z-7YjIkEKKg,LIKE,False
6,Skylark,James Quinn,Skylark,1:26,86,8yNN4A_pyRA,INDIFFERENT,False
7,Là-haut,L'Impératrice,Matahari,3:52,232,uXTKZryD8yY,INDIFFERENT,False
8,Time To Rebuild,The Sure Fire Soul Ensemble,Step Down,3:03,183,1rTNWzuTeBQ,INDIFFERENT,False
9,El Camino de Mallorca,Luca Stavos,El Camino de Mallorca,2:20,140,Sz9d01L8X5U,INDIFFERENT,False
10,Vale,Maribou State,Kingdoms In Colour,4:08,248,s1GOI3vC4tE,INDIFFERENT,False
11,Low Sun,Hermanos Gutiérrez,Sonido Cósmico,3:09,189,lr19_EzZHEM,INDIFFERENT,False
12,Tone of The Blade,Tommy Guerrero,Tone of the Blade,3:27,207,KKjqlp1YEHc,INDIFFERENT,False
13,Paraiso,Gizmo Varillas,El Dorado,1:44,104,Nv7vpffOqB0,INDIFFERENT,False
14,Forms,Cardamom,Forms,3:01,181,Ijx6qgW_-ZM,INDIFFERENT,False
15,Color Me Blue,Akane,Color Me Blue,3:11,191,YguvZnzjrsU,INDIFFERENT,False
16,Maria También,Khruangbin,Con Todo El Mundo,3:11,191,H_kvg5fV6mw,INDIFFERENT,False
17,Karaindrou: Eternity and a Day: II. By The Sea,Eleni Karaindrou,Eternity and a Day,1:47,107,qbfFSXQB-gw,INDIFFERENT,False
18,Ala Vida,El Michels Affair,Yeti Season (Deluxe Version),3:53,233,UgLEeINmXBk,INDIFFERENT,False
19,A1 Bakery Pledge of Allegiance,Surprise Chef,Education & Recreation,3:20,200,RGqxSSgy4Pw,INDIFFERENT,False
20,Fire,Thomas Naïm,Sounds of Jimi,3:37,217,e-qMhYPPDSw,INDIFFERENT,False
21,"Fantastic, That's You","Earl Hines, Johnny Hodges",Stride Right,3:03,183,732lZBy0La0,INDIFFERENT,False
22,Inner Dance,Dylan John Sparkes,Noon Dance,3:04,184,mdUG4JgPflw,INDIFFERENT,False
23,Memory,R3DN1K,Memory,3:23,203,WZoxxOlQWOg,INDIFFERENT,False
24,Stay Soft,Melodiesinfonie,Stay Soft,3:20,200,rsgxEtvgZ-4,INDIFFERENT,False
25,Sweet Instability,Suso Sáiz,Resonant Bodies,3:54,234,CO8t-l3CdC4,INDIFFERENT,False
26,Serpentine,Polyrhythmics,Life from Below,4:45,285,_EElynJ712s,INDIFFERENT,False
27,Song of Storms,Super Guitar Bros,Ocarina of Time,1:40,100,i5m2YWVN9Fg,INDIFFERENT,False
28,Daze of Flow,HATAMITSUNAMI,Leaves in the Wind,2:56,176,WXyO4-Jbntg,INDIFFERENT,False
29,Present,Lloyd Vaan,Lens Flare,2:26,146,rvjFKme0tt4,INDIFFERENT,False
30,Sun Rise Swell,Santino Surfers,"Copenhagen 2020, Vol. 2",6:18,378,jdfRKqkgGDA,INDIFFERENT,False
31,Now Still Waters,Christopher Elliott,Now Still Waters,3:28,208,P8ccwFAKyGA,INDIFFERENT,False
32,Sicily' Box (feat. Rocco Palladino),"Venna, Yussef Dayes, & Marco Bernardis",Sicily' Box,4:06,246,w_a5mRbwr-o,INDIFFERENT,False
33,Lost,vibessmusic,Lost,3:01,181,WVRCq7rP0XM,INDIFFERENT,False
34,Wait A Minute / Praying For A Jeepbeat (Smokers Delight Original Version),Nightmares On Wax,Smokers Delight,2:45,165,fL9s3jgo7Pg,INDIFFERENT,False
35,Archetype,State Azure,Stellar Descent,5:55,355,UYlW2wa0noU,INDIFFERENT,False
36,In Lust,BALTHVS,Cause & Effect,3:14,194,oLLZgTV3bHw,INDIFFERENT,False
37,Come Right Back (pt. 2),"Leroi Conroy, Wesley Bright",Come Right Back (pt 1 and pt 2),3:17,197,fi-DGhHGu1Y,INDIFFERENT,False
38,Glass: Études: No. 6,"Philip Glass, Yuja Wang",Glass: Études: No. 6,2:47,167,JzYI-_hLguE,INDIFFERENT,False
39,Departure,Pierre Tardiveau,Departure,3:06,186,C9UN0Ak9Z0c,INDIFFERENT,False
40,Dusk Gale,Loscil,Umbel,7:36,456,W76Tf2OJrWE,INDIFFERENT,False
41,"Vivaldi: L'estro armonico, Violin Concerto in A Minor, RV 356, Op. 3 No. 6: III. Presto","Antonio Vivaldi, Simon Standage, The English Concert, Trevor Pinnock",Vivaldi: L'estro armonico Op.3,2:23,143,551zeteeYHA,INDIFFERENT,False
42,Beaming Above,richard houghten,Sun Lifter,2:05,125,wTj7UZq_hjg,INDIFFERENT,False
43,My October,The Folks,My October,2:05,125,h3lj2-J2Ze0,INDIFFERENT,False
44,Serenidade,Vincenzo Crimaco,Serenidade,3:08,188,cqxLnjRYqXs,INDIFFERENT,False
45,Ballerina,Yehezkel Raz,"Preludes, Book 1 - Streams",1:12,72,bDj3_B51f-U,INDIFFERENT,False
46,Sonny's Applause,Dojo Cuts,"Dojo Cuts Instrumentals, Vol. 2",3:24,204,Ln1BFG_0skQ,INDIFFERENT,False
47,Sétima Regra,BADBADNOTGOOD,Mid Spiral: Order,5:32,332,YafP9rG7Ews,INDIFFERENT,False
48,Wavy (feat. The Soul Surfers),Janko Nilovic,Maze Of Sounds,3:12,192,4c3WSCpwnog,INDIFFERENT,False
49,Imbre,Jordan Critz,Imbre,3:50,230,jbwFDchsvBY,INDIFFERENT,False
50,Como É Grande o Meu Amor por Você - Violão Solo,Israel Albino,Arranjos Populares para Violão Solo Vol. I,2:15,135,SyFeI_yxMhs,INDIFFERENT,False
51,Serenade of Water,Men I Trust,Untourable Album,3:06,186,zLdT_0YfPLk,INDIFFERENT,False
52,Voices Fade (Remix),Vibfy,Voices Fade (Remix),3:10,190,0iFv5vTp8cs,INDIFFERENT,False
53,Into the Night,Offthewally,Pollination,3:06,186,5F95d7Eu_ic,INDIFFERENT,False
54,"Pomegranate (feat. Bijan Chemirani, Redi Hasa & Rami Khalife)",L'Antidote,Pomegranate,4:46,286,y8B7SbwEegc,INDIFFERENT,False
55,Small Memory,Jon Hopkins,Insides,1:41,101,o8g5Omp0Tas,INDIFFERENT,False
56,Breezin,Boris Garbiner Happening,"Beach Diggin', Vol. 4",3:35,215,XMfwG_BfafA,INDIFFERENT,False
57,Jumpstart,Duke Boara,Jumpstart,3:22,202,i5lM491mrLg,INDIFFERENT,False
58,Road Song,Ikebe Shakedown,The Beast / Road Song,3:01,181,2DXSAv-yjCk,INDIFFERENT,False
59,In a Bubble,"Chalart58, Matah",Geomètric Dub,3:20,200,IDZK13iPreA,INDIFFERENT,False
60,Beautiful,"Ben Böhmer, Malou",Beautiful,3:22,202,4uMfiO2N1mk,INDIFFERENT,False
61,Noctilune No. 1,Claudio Constantini,Fragile,2:45,165,0u_VXqY-VrE,INDIFFERENT,False
62,El Pueblo,José Méndez,El Pueblo,1:39,99,tj9IN4LXtos,INDIFFERENT,False
63,Umbra,Opez,Social Limbo,3:43,223,GkW-WpU_35Q,INDIFFERENT,False
64,Haul (Radio Edit) (feat. Mohna),Christian Löffler,Haul,3:38,218,x8kMzAmfNEk,INDIFFERENT,False
65,Another Year,Andrew Gialanella,Another Year,2:08,128,RKfQT6O2ta0,INDIFFERENT,False
66,Afternoon Memories,Lavaros,Afternoon Memories,2:56,176,90lYz0hT7ss,INDIFFERENT,False
67,Cloud Bath,Ljoma Portova,Cloud Bath,2:35,155,sdY83BOwLYs,INDIFFERENT,False
68,Paradise Circus (feat. Hope Sandoval),Massive Attack,Heligoland,4:58,298,6hUkyKBsGtQ,INDIFFERENT,False
69,Hazy Days,Ibiza Chilled,"Ibiza Chilled, Vol. 2",3:42,222,4gclGAQFzAA,INDIFFERENT,False
70,Nocturno de Moriana,Lucas Brar,Nocturno de Moriana,3:21,201,SQQ5yo9NSus,INDIFFERENT,False
71,Chimes,Duponte et Duponte,Chimes,2:44,164,uYd6YCZtSpg,INDIFFERENT,False
72,Aurora,Kupla,All Natural,2:28,148,sNfhhzvnR58,INDIFFERENT,False
73,Moments,Olexandr Ignatov,Moments,3:34,214,NLyXI7Dqd-s,INDIFFERENT,False
74,Tillbaka,Stilhed,Tillbaka,2:04,124,1mcx9OdEZXo,INDIFFERENT,False
75,Stopover Bombay (feat. Pharoah Sanders),Alice Coltrane,Journey in Satchidananda,2:53,173,DNrfL6hs0yQ,INDIFFERENT,False
76,Get With It,Orgone,Get With It,3:07,187,Xu2eELq1lzU,INDIFFERENT,False
77,Mascaram Setaba,Mulatu Astatke,New York - Addis - London: The Story of Ethio Jazz 1965-1975,1:51,111,wvIi5nzu__I,INDIFFERENT,False
78,Outside In,We Dream of Eden,Innerspace,3:09,189,NyguMxVh6z0,INDIFFERENT,False
79,Experience (Piano e Violin),Pietro Scichilone,Experience (Piano e Violin),3:00,180,J80YvHVgQ7A,INDIFFERENT,False
80,The Fog,Realizer,The Fog,1:30,90,XqOx9Lx6Wjg,INDIFFERENT,False
81,La Parisienne,"Alexander IV, Feiertag",La Parisienne,3:33,213,ikAPCpbK8u0,INDIFFERENT,False
