position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,Ginseng Sullivan,The Tony Rice Unit,Manzanita,3:11,191,1e_Jc2mo1xI,LIKE,False
2,Dub for Cascadia,loscil,Endless Falls,6:07,367,cjjEiKJjxGU,LIKE,False
3,Honky Tonk Heroes,Waylon Jennings,Honky Tonk Heroes,3:36,216,SRJhsYf-jok,INDIFFERENT,False
4,Columbus Stockade Blues,"Doc Watson, Richard Watson",Third Generation Blues,3:32,212,rVAXyZCbFdI,INDIFFERENT,False
5,Not Gentle On My Mind,Chuck Darwin & the Knuckle Draggers,For Educational Purposes Only,2:11,131,fwlkSDX-JT8,LIKE,False
6,Washed In The Blood,Pokey LaFarge & Harry Melling,Banks Of The Ohio / Washed In The Blood,3:20,200,vOwzYjhFj0I,LIKE,True
7,Carol Brown,Flight of the Conchords,I Told You I Was Freaky,3:27,207,Hz5SFQsLzAg,LIKE,True
8,Rich Girl,Daryl Hall & John Oates,Bigger Than Both Of Us,2:23,143,IL_LiGCV82g,INDIFFERENT,False
9,Alabama Jubilee (feat. Jamey Johnson),Norman Blake,Pilgrimage To Rising Fawn,3:10,190,3MgBropbWZ8,LIKE,False
10,The Sunny Side of Life,Country Gentlemen,On The Road (And More),2:34,154,eKjIyktKFww,LIKE,False
11,"Conspiracies, Cults & UFOs",John R. Miller,"Conspiracies, Cults & UFOs",2:53,173,dTc_IQiUXtI,LIKE,False
12,Urmel,okuma,Urmel / Kalkutta,7:50,470,p4wmAhqaIx4,LIKE,False
13,Stay Forever,Ween,White Pepper,3:33,213,POvewep_wPQ,INDIFFERENT,False
14,Rabbit In the Log (feat. The Virginia Boys),Jim & Jesse,Y'all Come: The Essential Jim & Jesse,2:41,161,RzCybATHyjU,INDIFFERENT,False
15,Chittlin’ Cookin’ Time In Cheatham County,Sierra Ferrell,Trail Of Flowers,3:02,182,7p2-TKipaME,LIKE,False
16,Best of All Possible Worlds,Kris Kristofferson,Kristofferson,2:59,179,mmlxlqOSWdQ,LIKE,True
17,Sunny Afternoon (Stereo Mix),The Kinks,Face to Face (Deluxe),3:35,215,iZOqw5KgEjY,INDIFFERENT,False
18,Big Sciota,Bryan Sutton,Not Too Far From The Tree,2:57,177,JzT8TiNMB3I,LIKE,False
19,Me and Paul,Willie Nelson,Yesterday's Wine,3:49,229,gb3rnEbidRM,INDIFFERENT,False
20,In Tall Buildings,John Hartford,Nobody Knows What You Do,3:27,207,z7fhb-Y0jEc,INDIFFERENT,False
21,Shine (Live),"David Grisman, Stephane Grappelli",Stephane Grappelli and David Grisman Live,5:19,319,oMobf1AHbHk,LIKE,False
22,Mercury's Odyssey,The Olympians,The Olympians,3:39,219,ta4G1xOUcrE,LIKE,False
