position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,Dub for Cascadia,loscil,Endless Falls,6:07,367,cjjEiKJjxGU,LIKE,False
2,Memory Death,Boards of Canada,Inferno,2:38,158,EjpIdQ83CIQ,INDIFFERENT,False
3,#17,Aphex Twin,Selected Ambient Works Volume II,2:06,126,TnIsku2bPYY,INDIFFERENT,False
4,Soft Meadow,Green-House,Six Songs for Invisible Gardens,5:28,328,BsTCtBqN2M0,INDIFFERENT,False
5,Arrival,Domenique Dumont,People On Sunday,2:50,170,vPMgw3owHUQ,INDIFFERENT,False
6,Golden Pothos,Omni Gardens,Moss King,2:33,153,cJgn4zDN0ps,INDIFFERENT,False
7,At The Foot Of A Ladder,Brian Eno,Apollo: Atmospheres And Soundtracks (Extended Edition),3:36,216,LbF88ZFcaII,INDIFFERENT,False
8,Rainbow Blood,Tim Hecker,Harmony in Ultraviolet,1:53,113,DybgSzP7NNc,INDIFFERENT,False
9,Haoda,Michiru Aoyama,Ori,2:34,154,N00D8DaOJD0,INDIFFERENT,False
10,Alone in Kyoto,Air,Talkie Walkie,4:51,291,I0SVd_Q5wIg,INDIFFERENT,False
11,Sun Tickles,Salamanda,Sun Tickles,4:32,272,lrAWkOGkpBw,INDIFFERENT,False
12,Warm Rain in June II,Chihei Hatakeyama,Black Swallow,2:23,143,ECsM5BSBw-g,INDIFFERENT,False
13,Between the Buttons,French 79,Angel,5:18,318,yarFH8myBvo,INDIFFERENT,False
14,dlp 1.1.1,William Basinski,The Disintegration Loops,3:30,210,RsskleSy1oY,INDIFFERENT,False
15,"Come Along, Do",Casino Versus Japan,Echo Counting,4:24,264,ECVMQj2zNAA,INDIFFERENT,False
16,Talisman,Nils Frahm,Encores 2,4:02,242,PtJ_BmVLCyQ,INDIFFERENT,False
17,Space 7,Nala Sinephro,Space 1.8,1:42,102,8SKoxKXtMZ4,INDIFFERENT,False
18,Do Matter,Plaid,The Digging Remedy,3:41,221,iqJuuVEQE30,INDIFFERENT,False
19,Forevertime Journeys,naran ratan,Trees etc.,1:33,93,47S3ih06g9c,INDIFFERENT,False
20,Still,You'll Never Get to Heaven,Images,2:40,160,bZ_MHPMXSH4,INDIFFERENT,False
21,Cumulonimbus Dream,Masayoshi Fujita,Bird Ambience,4:11,251,SWc3aZgUlJY,INDIFFERENT,False
22,Aurora,Kupla,All Natural,2:28,148,sNfhhzvnR58,INDIFFERENT,False
23,Dewdrop,Chypho,Entomongaku,3:42,222,43IZJd4IM-8,INDIFFERENT,False
24,Sequent 'C',Tangerine Dream,Phaedra (Deluxe Version),2:22,142,7xo0KN1CXwo,INDIFFERENT,False
25,Sea-Watch,Floating Points,Crush,4:05,245,76v58drqRgY,INDIFFERENT,False
26,Shut-Ins on Sunday See,Benoit Pioulard,Sonnet,3:20,200,yvQZwPhwqHI,INDIFFERENT,False
27,190304-08,Hideyuki Hashimoto,Soukou,2:50,170,3FmH7GOjHPI,INDIFFERENT,False
28,TEEVEE,Hiroshi Yoshimura,Green,3:37,217,ffWtJPbkVNc,INDIFFERENT,False
29,Utano,Meitei,Yabun,4:18,258,crsLQGlEj4Q,INDIFFERENT,False
30,Boy,Instupendo,Boy,3:59,239,_hN8X3l59P4,INDIFFERENT,False
31,A Paler Sky,Roger Eno,Voices,3:26,206,yOyjexvanTo,INDIFFERENT,False
32,Saku,Susumu Yokota,Sakura,5:46,346,KObQw91b-BU,INDIFFERENT,False
33,Fortia,Body Of Light,Bitter Reflection,3:32,212,8duCUjL1AO8,INDIFFERENT,False
34,Red Elevation,Hello Meteor,An Unfamiliar Place,4:51,291,Sn6ERMVzMXY,INDIFFERENT,False
35,Music to Soothe the Savage Snake Plant,Mort Garson,Mother Earth's Plantasia,3:24,204,omyDZ5-Lbxo,INDIFFERENT,False
36,Theme,Rival Consoles,MindsEye,4:37,277,quMGL3UbkgM,INDIFFERENT,False
37,Chrome Country,Oneohtrix Point Never,R Plus Seven,5:06,306,1737WkBPs5o,INDIFFERENT,False
38,The Rhythm Of A Dividing Pair (feat. Adam Wiltzie & Dustin O'Halloran),A Winged Victory For The Sullen,The Undivided Five,4:53,293,hUUO344ttYk,INDIFFERENT,False
39,Painless Steel,Bohren & der Club of Gore,Sunset Mission,5:48,348,IT88T8Z76KI,INDIFFERENT,False
40,Inside My House; Some Place I Keep Dreaming About,Ricky Eat Acid,Three Love Songs,2:06,126,s37OVvrNDvs,INDIFFERENT,False
41,And Then I Turned Away,"Harold Budd, Robin Guthrie",After The Night Falls,3:31,211,GsNJe_Yyfvs,INDIFFERENT,False
42,Stay with Me,Onycs,Stay with Me,4:15,255,9e5V-gWDFp8,INDIFFERENT,False
43,Lido,Bicep,Isles,3:21,201,vtWfoUBAgrk,INDIFFERENT,False
44,Zephyr,loscil,Plume,5:20,320,1EXc96ZBPX4,INDIFFERENT,False
45,Peacock Tail,Boards of Canada,The Campfire Headphase,5:25,325,m4M5OV9N3kM,INDIFFERENT,False
46,#20,Aphex Twin,Selected Ambient Works Volume II,4:16,256,cCD8uT9C90M,INDIFFERENT,False
47,Far More Other,Green-House,A Host for All Kinds of Life,3:15,195,FDcC8RJAYDE,INDIFFERENT,False
48,Always Returning,Brian Eno,Apollo: Atmospheres And Soundtracks (Extended Edition),4:05,245,GiR3xsTGzGo,INDIFFERENT,False
49,Sketch 3,Tim Hecker,Dropped Pianos,1:21,81,L8zoV0qbz2A,INDIFFERENT,False
50,Plant Shop,Omni Gardens,Golden Pear,1:29,89,1YoBtEQJ0Cs,INDIFFERENT,False
51,Le voyage de Pénélope (Vegyn Version),Air,Blue Moon Safari,3:05,185,UHiwhFhg-XQ,INDIFFERENT,False
52,Merry-Go-Round,Domenique Dumont,People On Sunday,1:48,108,-560a_t9k7k,INDIFFERENT,False
53,Billions and Billions,Stellardrone,A Moment of Stillness,5:15,315,XuYxAy_NeZA,INDIFFERENT,False
54,Space 1,Nala Sinephro,Space 1.8,4:08,248,Hi_XFhNmaY0,INDIFFERENT,False
55,Mouthfeels of Capreae,Celer,Capri,3:04,184,9RFgir7oZlo,INDIFFERENT,False
56,Memory Arc,Rival Consoles,Persona,2:14,134,fDyCzVkKv8k,INDIFFERENT,False
57,Tobiume,Susumu Yokota,Sakura,4:39,279,eu6rBUu5-SA,INDIFFERENT,False
58,Don't Go Where I Can't Find You,"Eraldo Bernocchi, Harold Budd, Robin Guthrie",Winter Garden,4:54,294,W-WjPdh6A5U,INDIFFERENT,False
59,Deceiver,loscil,Monument Builders,4:42,282,PdpUKkF-vaM,INDIFFERENT,False
60,Olson,Boards of Canada,Music Has The Right To Children,1:32,92,6_lzNFjqGiw,INDIFFERENT,False
61,Avril 14th,Aphex Twin,Drukqs,2:06,126,uxTdTaNIUxo,INDIFFERENT,False
