position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,Mahal,Glass Beams,Mahal,3:22,202,Byzhrg7oW58,INDIFFERENT,False
2,Theme for Lazarus,Skinshape,Theme for Lazarus,3:01,181,u8S-pao0-7U,INDIFFERENT,False
3,Umbra,Opez,Social Limbo,3:43,223,GkW-WpU_35Q,INDIFFERENT,False
4,Strange Seed,Emapea,"Seeds, Roots & Fruits",3:04,184,Z0TfdZBc7L8,LIKE,False
5,Agua Morena (feat. Tommy Guerrero & Josh Lippi),Los Days,Singing Sands,2:52,172,YavwEs9KCqc,INDIFFERENT,False
6,Got Caught in Amsterdam,Arc De Soleil,The Thief in Marrakesh Got Caught in Amsterdam Trying to Escape,2:51,171,SuvVK76HAPE,INDIFFERENT,False
7,Daze of Flow,HATAMITSUNAMI,Leaves in the Wind,2:56,176,WXyO4-Jbntg,INDIFFERENT,False
8,The Shame,"Holy Hive, El Michels Affair, & Fleet Foxes",Big Crown Vaults Vol. 3 - Holy Hive,2:56,176,3bSGH0xEJSQ,INDIFFERENT,False
9,In Mindibu,Stavroz,Mindibu,5:09,309,JqiKfXd8QnQ,INDIFFERENT,False
10,Urmel,okuma,Urmel / Kalkutta,7:50,470,p4wmAhqaIx4,LIKE,False
11,Fire,Thomas Naïm,Sounds of Jimi,3:37,217,e-qMhYPPDSw,INDIFFERENT,False
12,Wet Leather,Polyrhythmics,Filter System,4:09,249,BXBSkmSq1MM,INDIFFERENT,False
13,Blue Memory (feat. Mewhy),Nico Morano,Blue Memory,5:47,347,nJRJSuRgtF0,INDIFFERENT,False
14,Roll Together,Weval,The Weight,3:59,239,Eqq92N7WVX0,INDIFFERENT,False
15,Tam Tam,YĪN YĪN,Mount Matsu,2:24,144,M3nsXzpuAAw,INDIFFERENT,False
16,Come Right Back (pt. 2),"Leroi Conroy, Wesley Bright",Come Right Back (pt 1 and pt 2),3:17,197,fi-DGhHGu1Y,INDIFFERENT,False
17,Motions,Kerala Dust,Motions,5:10,310,nywKrQrUn9s,INDIFFERENT,False
18,Low Sun,Hermanos Gutiérrez,Sonido Cósmico,3:09,189,lr19_EzZHEM,INDIFFERENT,False
19,Universo,ETNA,Pianeta Terra,5:41,341,ncYfmkCXfgM,INDIFFERENT,False
20,Magical Place,"Qualista, Rønhöff",Amphoras of Idyros,4:08,248,oZ8O2BcbAoE,INDIFFERENT,False
21,Guava,Tunnelvisions,Midnight Voyage,3:31,211,BBjFIIq94is,INDIFFERENT,False
22,Stay Soft,Melodiesinfonie,Stay Soft,3:20,200,rsgxEtvgZ-4,INDIFFERENT,False
23,Chaldene,Islandman,Buddha Bar Elements,4:32,272,uF04m3K9E98,INDIFFERENT,False
24,Djiin,Sahalé,Sahalé's Finest,6:24,384,29wsP4VAGoI,INDIFFERENT,False
25,Encore,Depart,Encore,6:44,404,OZEhvVwr8bg,INDIFFERENT,False
26,Midnight Movement,The Olympians,Midnight Movement / The Rain Song,3:29,209,t4Gyct3jBqM,INDIFFERENT,False
27,Reach Out,Bloom Bat,Reach Out,3:46,226,8rK3PjIjHKE,INDIFFERENT,False
28,Long Way Home,Husa & Zeyada,Long Way Home,4:22,262,nOmQfgHDhgI,INDIFFERENT,False
29,Cultivation,Offthewally,Cultivation,3:23,203,bQGywibsQGU,INDIFFERENT,False
30,Road to Lemuria,"J.Pool, Lemurian",On the Road to Lemuria,5:00,300,vWiRevJrr7Q,INDIFFERENT,False
31,Sound Vagabond,Eric Hilton,Sound Vagabond,3:05,185,1Gly6GjOMYo,INDIFFERENT,False
32,Ikaro,PAAX (Tulum),Sera El Sol,3:22,202,pUOmx2UaeCk,INDIFFERENT,False
33,Ferus Gallery,Allah-Las,Worship the Sun,3:36,216,tAxc1ems2lM,INDIFFERENT,False
34,Sarob,"Cafe De Anatolia, Ethno World, Qaraqoom",Maqom,4:26,266,BO4Bz9j-PQU,INDIFFERENT,False
35,Midnight Laughter,"Monkyman, Pshiuu",Fable,5:28,328,oGP75aZ13mE,INDIFFERENT,False
36,Khayal,Kazdoura,Khayal,3:27,207,BdyGJ1-eun8,INDIFFERENT,False
37,Yo Todo Tu Yo,The Rugged Nuggets,Yo Todo Tu Yo,3:00,180,dhrXE9ALSv8,INDIFFERENT,False
38,Luz,thds,Ubuntu,5:14,314,Z-g2K70NHQk,INDIFFERENT,False
39,Le Fleur,Kermesse,Kermesse,6:01,361,Vk3cLmQOe2w,INDIFFERENT,False
40,Selva,Biota,Sistema Organico,6:42,402,9elhq8sdZqY,INDIFFERENT,False
41,Neko (feat. Kotoe),Jacob Groening,Neko Ep,4:34,274,LbALmO1_6Rw,INDIFFERENT,False
42,Wind of Freedom,Rapossa,Mystic Flavor,5:42,342,8dMNjzuHPfc,INDIFFERENT,False
43,Stay a While,The Cactus Channel,Stay a While,4:16,256,nntDONIfIjA,INDIFFERENT,False
44,Footsteps In The Dark,Karate Boogaloo,KB's Mixtape No. 1,3:41,221,xUWWz0EFJ1A,INDIFFERENT,False
45,Where Will We Be,Will Harrison,Epidemic Sound Presents: Keystones Vol. 5,3:11,191,Mt-06b3WS7w,INDIFFERENT,False
46,La Clé Des Champs (EFL097),N'to,Electric For Life Episode 097,4:14,254,9cAP06OQWNc,INDIFFERENT,False
47,The Other Side,The Sure Fire Soul Ensemble,Step Down,3:39,219,16SyKsFb7Yg,INDIFFERENT,False
48,Maria También,Khruangbin,Con Todo El Mundo,3:11,191,H_kvg5fV6mw,INDIFFERENT,False
49,My Dreams,RIO KOSTA,Unicorn,3:38,218,s6sPmIfc9QQ,INDIFFERENT,False
50,L'Air,Walter Astral,Hyperdruide,5:06,306,Rt2ojOHO-f0,INDIFFERENT,False
51,Meditation (Okuma Remix),Turu Anasi,Meditation,7:48,468,QjnSl9518TQ,LIKE,False
52,Dram,Ikebe Shakedown,Stone by Stone,4:04,244,5bDIlNNjfJw,INDIFFERENT,False
53,Quetzacoatl,Il Est Vilaine,Kool Menthol,5:46,346,-yoXWR5BokE,INDIFFERENT,False
