position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,Feather,Sabrina Carpenter,emails i can’t send fwd:,3:06,186,KsVnVdM9bUc,INDIFFERENT,False
2,The Thrill Is Gone.,RAYE,My 21st Century Blues,3:20,200,Voh4Um45ESk,INDIFFERENT,False
3,Carry On,Jungle,Carry On,2:49,169,HqMRbHy1q7w,INDIFFERENT,False
4,Moment,Elmiene,sounds for someone,1:28,88,3POR7f2mg7k,INDIFFERENT,False
5,Coffee,Chappell Roan,The Rise and Fall of a Midwest Princess,3:26,206,HMT4XTftXLs,INDIFFERENT,False
6,Ancient Light,"Aoife O’Donovan, I’m With Her, Sara Watkins, Sarah Jarosz",Ancient Light,3:35,215,4kQub_vjcSQ,INDIFFERENT,False
7,Stained,Brittany Broski,Stained,2:52,172,qM48VJs3YBU,INDIFFERENT,False
8,Lady Lady,Olivia Dean,The Art of Loving,3:29,209,nDdS3mHAP-k,INDIFFERENT,False
9,Again,Amma,Middle Child,3:48,228,uCnZUKJggBA,INDIFFERENT,False
10,Dance The Night (From Barbie The Album),Dua Lipa,Dance The Night (From Barbie The Album),2:57,177,Z1yDjhXIDSc,INDIFFERENT,False
11,Unconditional,JADE,THAT'S SHOWBIZ BABY!,3:33,213,jBfnhWfVO9I,INDIFFERENT,False
12,Apple,Charli xcx,BRAT,2:32,152,FzH8p8hhxLA,INDIFFERENT,False
13,Hammer,Lorde,Virgin,3:14,194,eUTUXAeSpqE,INDIFFERENT,False
14,we can’t be friends (wait for your love) (live version),Ariana Grande,eternal sunshine (slightly deluxe and also live),3:25,205,DamlrNlbKHk,INDIFFERENT,False
15,Throw Some Ass,Sofi Tukker,Throw Some Ass,3:03,183,BNkNzvm--BY,INDIFFERENT,False
16,Let You W/In,Lily Allen,West End Girl,2:10,130,QiWgdkJMPLE,INDIFFERENT,False
17,Price Of It All,Jorja Smith,"Price Of It All (Music From the Original Series ""Bait"")",3:04,184,M_ITIVLKDj4,INDIFFERENT,False
18,Situationship,Bodine Monet,Twenty and Counting,2:51,171,81BS3-mWpYE,INDIFFERENT,False
19,Nothing Matters,The Last Dinner Party,Prelude to Ecstasy,3:03,183,mF21WMaG92E,INDIFFERENT,False
20,Just Keep Watching (From F1® The Movie),Tate McRae,Just Keep Watching (From F1® The Movie),2:23,143,eFF1TGfHdp8,INDIFFERENT,False
21,Until I Found You,Stephen Sanchez,Easy On My Eyes,2:57,177,znvky0Uq8qc,INDIFFERENT,False
22,Dollar Bill Bar,Sierra Ferrell,Trail Of Flowers,3:30,210,eTuQoZ1IpDo,INDIFFERENT,False
23,I Just Don't Know You Yet,Absolutely,Paracosm,3:20,200,RiK_GwCsY8s,INDIFFERENT,False
24,The Waiting Game,Harry Styles,"Kiss All The Time. Disco, Occasionally.",2:50,170,5hJuG5aeqe4,INDIFFERENT,False
25,all-american bitch,Olivia Rodrigo,GUTS,2:46,166,EBoZOq0_tHU,INDIFFERENT,False
26,luther,"Kendrick Lamar, SZA",GNX,2:58,178,XVveECQmiAk,INDIFFERENT,False
27,"someday, someone",Kenzie Cait,"good luck, goodbye (over nostalgic edition)",3:38,218,2g4PktMO10Q,INDIFFERENT,False
28,Whatever You Like,Dove Cameron,Whatever You Like,2:56,176,i1y1Ein1Vdc,INDIFFERENT,False
29,Actually Romantic,Taylor Swift,The Life of a Showgirl,2:44,164,Q2sPkjsMtGI,INDIFFERENT,False
30,She Calls Me Back,"Kacey Musgraves, Noah Kahan",She Calls Me Back,4:04,244,MvojgRcIs1Q,INDIFFERENT,False
31,The Star-Crossed Lovers (aka Pretty Girl),Duke Ellington,Such Sweet Thunder (Expanded Edition),4:00,240,H-jg3scxeik,INDIFFERENT,False
32,Messy,Lola Young,This Wasn't Meant For You Anyway,4:45,285,Y03n19YRXD4,INDIFFERENT,False
33,Only One,Eilen Jewell,Queen of the Minor Key,3:45,225,_NlKLA4DIz8,INDIFFERENT,False
34,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,3:31,211,WKZO-CWeOVA,INDIFFERENT,False
35,Moonlit Floor (Kiss Me),LISA,Alter Ego,2:36,156,bUJDs5eN5lc,INDIFFERENT,False
36,About You,The 1975,Being Funny In A Foreign Language,5:27,327,4PgOJwUCdIc,INDIFFERENT,False
37,Silk Chiffon (feat. Phoebe Bridgers),MUNA,MUNA,3:27,207,uGc1l9WMPOw,INDIFFERENT,False
38,Roots,Calum Scott,Avenoir,2:44,164,C3JUBQNm1w8,INDIFFERENT,False
39,Too Sweet,Hozier,Unheard,4:12,252,mfha0a8IXKs,INDIFFERENT,False
40,Oakwood,Angus & Julia Stone,SNOW,3:44,224,hwdK6i1gQlI,INDIFFERENT,False
41,Madwoman,Laufey,A Matter of Time: The Final Hour,4:00,240,chYvAR2sfmM,INDIFFERENT,False
42,Mystical Magical,Benson Boone,American Heart,2:46,166,oe1154JNsok,INDIFFERENT,False
43,like JENNIE,JENNIE,Ruby,2:04,124,HMQlkbXjSTM,INDIFFERENT,False
44,Love Me Not,Ravyn Lenae,Bird's Eye,3:34,214,HfpR4tAmI7E,INDIFFERENT,False
45,12 to 12,sombr,I Barely Know Her,4:03,243,Lylp6w7LpHc,INDIFFERENT,False
46,"Couldn't Forget You (from the Original Motion Picture ""Paws of Fury"")",Amy Allen,"Couldn't Forget You (from the Original Motion Picture ""Paws of Fury"")",3:18,198,hAbw5Nybs_8,INDIFFERENT,False
47,In The Dark,Selena Gomez,Nobody Wants This Season 2: The Soundtrack,3:06,186,7C8UDGdGLbA,INDIFFERENT,False
48,Crabbuckit,Good Lovelies,Let The Rain Fall,2:22,142,rJ5kEcLW7cY,INDIFFERENT,False
49,Baby,"Disney, Julia Butters, Lindsay Lohan",Freakier Friday (Original Motion Picture Soundtrack),3:15,195,dYhtCZymreA,INDIFFERENT,False
50,The Visitor,SIENNA SPIRO,Visitor,3:49,229,yufpDngWvhw,INDIFFERENT,False
51,Reliquia,ROSALÍA,LUX,3:51,231,QI2kMNHKC2M,INDIFFERENT,False
52,Kiss It Kiss It,Reneé Rapp,BITE ME,2:53,173,7CDhRO97Djw,INDIFFERENT,False
53,Primadonna,MARINA,Electra Heart,3:42,222,spKRdILp-sE,INDIFFERENT,False
54,Press Pause,Kita Alexander,Press Pause,3:20,200,YcRw2zdp8XI,INDIFFERENT,False
55,Summertime Sadness,Lana Del Rey,Born To Die - The Paradise Edition (Special Version),4:25,265,fRQg_9ulGuI,INDIFFERENT,False
56,Risk,Gracie Abrams,The Secret of Us,3:12,192,PnhAwNLRdFI,INDIFFERENT,False
57,SNAP,Rosa Linn,SNAP,3:00,180,uziIDxPrjJc,INDIFFERENT,False
58,Hard Times,Paramore,After Laughter,3:03,183,V0hvzjyuZ5k,INDIFFERENT,False
59,bittersweet,Madison Beer,locket,3:23,203,v-1h5JCXsC0,INDIFFERENT,False
60,FEVER DREAM,Alex Warren,FEVER DREAM,2:34,154,3D2WPA9ZN30,INDIFFERENT,False
61,15 Minutes,Sabrina Carpenter,Short n' Sweet (Deluxe),3:12,192,EfhemiNrg4E,INDIFFERENT,False
62,Skin & Bones.,RAYE,THIS MUSIC MAY CONTAIN HOPE.,3:15,195,J7f7evuZJ8A,INDIFFERENT,False
63,California,Chappell Roan,The Rise and Fall of a Midwest Princess,3:19,199,6jMhjl91cgE,INDIFFERENT,False
64,"If Not You, Who?",Amma,"If Not You, Who?",2:25,145,jdwNxqxo9Y0,INDIFFERENT,False
65,One Of Your Girls,Troye Sivan,Something To Give Each Other,3:02,182,4hPqE_oxlDQ,INDIFFERENT,False
66,Sleepwalking,Lily Allen,West End Girl,2:58,178,4zw4YpJbjxo,INDIFFERENT,False
67,Baby Steps,Olivia Dean,The Art of Loving,3:17,197,iMI2LtG5IrA,INDIFFERENT,False
68,Von dutch,Charli xcx,BRAT,2:45,165,oZ-lTp1ZaZQ,INDIFFERENT,False
69,Dandelions,Ruth B.,Safe Haven,3:54,234,HZbsLxL7GeM,INDIFFERENT,False
70,Echoes Don't Own Me,promptgenix,Trapgrass Therapy,2:55,175,QUBpMi0xPls,INDIFFERENT,False
71,American Girls,Harry Styles,"Kiss All The Time. Disco, Occasionally.",3:34,214,fl6hOstGluY,INDIFFERENT,False
72,Illusion,Dua Lipa,Radical Optimism,3:09,189,i52e1UnZMQc,INDIFFERENT,False
73,Disease,Lady Gaga,MAYHEM,3:50,230,4qv16WcOCYA,INDIFFERENT,False
