position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,Uninvisible,Medeski Martin & Wood,Uninvisible,3:38,218,N5kYgB4DDw4,LIKE,True
2,Cannock Chase,Labi Siffre,Crying Laughing Loving Lying,4:07,247,gb_zQXF3_WM,LIKE,False
3,Hole In One,Delvon Lamarr Organ Trio,I Told You So,4:35,275,aCDIJy4LvDY,INDIFFERENT,False
4,Magical Colors,The Jon Spencer Blues Explosion,Acme,4:11,251,y5efvKijjWw,INDIFFERENT,False
5,Quiet Moments,Lonnie Liston Smith,Exotic Mysteries,3:54,234,o2zDZkCyaFE,INDIFFERENT,False
6,Mannish Boy,Muddy Waters,Electric Mud,3:49,229,RxgCGd_Meu8,INDIFFERENT,False
7,Green Grass,Tom Waits,Real Gone,3:13,193,Ig3q43PtEBE,INDIFFERENT,False
8,Step It Up And Go,Blind Boy Fuller,Blind Boy Fuller Vol. 5 1938 - 1940,3:00,180,r2KbjMUfOEs,INDIFFERENT,False
9,There Is Only One,Pastor T.L. Barrett & The Youth For Christ Choir,Do Not Pass Me By Vol. II,3:32,212,vE5CUJ0CMH0,INDIFFERENT,False
10,You Can't Blame Me,"Johnson, Hawkins, Tatum & Durr",You Can't Blame Me b/w Your Love Keeps Drawing Me Closer,3:29,209,5d5rXq3_M6U,INDIFFERENT,False
11,Blacks And Blues,Bobbi Humphrey,Blacks And Blues,4:40,280,VVVfuSYnySc,INDIFFERENT,False
12,I Want To Lay With You,Shira Small,The Line Of Time And The Plane Of Now,2:14,134,WuZek1hlYq8,INDIFFERENT,False
13,Can You Lose By Following God,Whole Truth,Can You Lose By Following God b/w God Is Going To Raise A Nation,4:15,255,UiuB72na5mw,INDIFFERENT,False
14,Le Lis,Billy Cobham,Spectrum,3:21,201,Pjb_NV8fr5U,INDIFFERENT,False
15,Prison Song,Carlton Williams,"The ""Selma"" Album: A Musical Tribute To Dr. Martin Luther King, Jr.",2:47,167,s6F37L7vtyw,INDIFFERENT,False
16,The Final Comedown,Grant Green,The Final Comedown,3:29,209,UiudYDB2mSc,INDIFFERENT,False
17,Is That Jazz?,Gil Scott-Heron,Reflections,3:45,225,ns58WOeWg1U,INDIFFERENT,False
18,Neptune,The Olympians,The Olympians,3:54,234,F_6wEdg2-TM,INDIFFERENT,False
