position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,La Gloria Eres Tu,Los Tres Diamantes,Los Tres Diamantes,2:57,177,ekIBjKNQN5I,INDIFFERENT,False
2,Sabor a Mí,"Eydie Gorme, Los Panchos",Canta En Español Con Los Panchos,2:49,169,Gb1FrnjlXoo,INDIFFERENT,False
3,Ahora y siempre,Los Tecolines,Serenata con Los Tecolines,2:54,174,yv3Udz7dvMM,INDIFFERENT,False
4,Motivos,Trío Fantasía,Bolerísimo,3:02,182,jugum8h6kPg,INDIFFERENT,False
5,Ayer y Hoy,Julio Jaramillo,"Éxitos de Julio Jaramillo, Vol. 1",2:27,147,FMV5qeXwJFM,INDIFFERENT,False
6,"La Mentira ""Se Te Olvida""",Álvaro Carrillo,La Coleccion Del Siglo,2:52,172,GbBJxLfbaKU,INDIFFERENT,False
7,Mi Último Fracaso,Los Tres Ases,Los Tres Ases 50 Años,3:12,192,ZdoSq8ygmgg,INDIFFERENT,False
8,Perfume de Gardenias,Los Santaneros De Pepe Bustos,Grandes Éxitos,3:30,210,dnd7G1M-ecE,INDIFFERENT,False
9,Wendolyne,Unknown Artist,Rondallas Románticas,2:24,144,jVVWIln6ivE,INDIFFERENT,False
10,Cien Años,Pedro Infante,Palabritas de Amor,3:33,213,CspZbtnrf4c,INDIFFERENT,False
11,Alma Mía,Los Tres Caballeros,Lo Mejor De,3:08,188,ajVof2hQTEo,INDIFFERENT,False
12,Seguiré Mi Viaje,"Victor Yturbe ""El Piruli""",De Colección (Vol. 1),2:38,158,VSdniSRU8qs,INDIFFERENT,False
13,Empiezo a Extrañarte,Las Sombras,RCA 100 Anos De Musica - Segunda Parte (40 Diferentes Grandes Trios - Unica E Inigualable Coleccion),2:40,160,t2CRMIqueWU,INDIFFERENT,False
14,Mi Tesoro,Rondalla Alborada De Rioverde,40 Aniversario,3:02,182,cfM6-brH_Jc,INDIFFERENT,False
15,Cerca del Mar,Los Dandy's,Nuestros Primeros Exitos,2:56,176,g9pLIUkJ6qA,INDIFFERENT,False
16,Canción del Alma,Los Montejo,RCA 100 Anos De Musica - Segunda Parte (40 Diferentes Grandes Trios - Unica E Inigualable Coleccion),2:48,168,DB0X-XDDEHw,INDIFFERENT,False
17,Aunque Me Cueste La Vida (feat. La Sonora Matancera),Alberto Beltran,El Único!,3:01,181,mkPKDjzBRJ0,INDIFFERENT,False
18,Un Dia,Trío las Sombras,Personalidad - Los Grandes Trios - Las Sombras,2:31,151,nn4RNvAq4kc,INDIFFERENT,False
19,Sin Ti,Los Tres Reyes,La Coleccion Del Siglo,2:25,145,t03-QTy_MQU,INDIFFERENT,False
20,Si Dios Me Quita la Vida,Javier Solís,Sombras,3:02,182,xFwSvaIwV5U,INDIFFERENT,False
21,Aquellos Ojos Verdes,Agustín Lara,Presentando a Agustín Lara,2:21,141,FefeJ9FBqP0,INDIFFERENT,False
22,Esta Cobardia,RONDALLA CORAZONES ENAMORADOS DE SALTILLO,RECUERDOS DE UN CORAZON ENAMORADO,3:24,204,TXUnFpLzs4Y,INDIFFERENT,False
23,Amor Mío,Trio Madeiras & El Requinto de Pepe Molina,Joyas Oaxaqueñas,2:54,174,GJuJHeaF-Gw,INDIFFERENT,False
24,Besos de Fuego,Los Jaibos,Super Tríos,2:38,158,YiFobW03w8g,INDIFFERENT,False
25,¿Cómo?,La Rondalla De Saltillo,¿Cómo?,2:09,129,InDy7zjdUC8,INDIFFERENT,False
26,Dónde Encontrarás,Trío los Duendes,Cancionero,2:49,169,0dexEJOr6qg,INDIFFERENT,False
27,De Que Presumes,Ricardo Fuentes,Los Mejores Boleristas,2:46,166,59l1JXK5dHM,INDIFFERENT,False
28,Perfume de Gardenia,La Sonora Santanera,16 Exitos,3:31,211,BlLRb2TU9gI,INDIFFERENT,False
29,Contigo Aprendi,Guitarras De Luna,Guitarras Magicas Vol. III,3:24,204,8nmQDADI0z0,INDIFFERENT,False
30,Tres Regalos,Los Dandys,La Mejor Serenata para Este Día de las Madres,3:05,185,eEm_iC6umIk,INDIFFERENT,False
31,Pensando en Ti,Los Maraqueños,Penumbras,3:29,209,mnNM0ipwwKI,INDIFFERENT,False
32,Si Hoy Fuera Ayer,Alci Acosta,Si Hoy Fuera Ayer,2:44,164,kZKsJkS_f7g,INDIFFERENT,False
33,Contigo Aprendí,Trío Los Condes,Los Condes Y Manzanero,2:45,165,Wae4Ni3iLLo,INDIFFERENT,False
34,Caminemos,"Gualberto Castro, Myrza Maldonado",Herencia Romántica,3:02,182,KbepvkJPMeU,INDIFFERENT,False
35,Cosas Como Tu (Bolero),Johnny Albino,Epoca De Oro Johnny Albino Y Su Trío San Juan vol. 3,2:56,176,I5uijnq-OIY,INDIFFERENT,False
36,Perfume De Gardenias (Alternate Mix),Los Reyes,Siempre Boleros - Pasado Y Presente,3:00,180,W-izpQedLIk,INDIFFERENT,False
37,La Gloria Eres Tú,Los 3 Diamantes,La Gloria eres tú,2:55,175,w8q4Ge1AIy0,INDIFFERENT,False
38,Celos de Luna,Los Fantasmas,Antología...Trios,2:57,177,Y7WQz-1V7mM,INDIFFERENT,False
39,Javier Solís _se Te Olvida,Raíces del Sol,Caminos Del Viento,2:29,149,JIsQdSe4rDY,INDIFFERENT,False
40,Chavela Vargas - Si Supieras,bumblebee1914,,3:53,233,BBGwbo2BSuI,INDIFFERENT,False
41,Mi Hijo Querido,Lila Jaramillo,Despierta,2:16,136,rfIyn5D80FM,INDIFFERENT,False
42,Cenizas,Toña La Negra,20 Exitos,3:14,194,iwZgfX2y6qo,INDIFFERENT,False
43,Costumbres,Trio Los Pinguinos,Exitos De Trio Los Pinguinos,3:16,196,s8U3-6IMvC0,INDIFFERENT,False
