position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,Most Really Pretty Girls Have Pretty Ugly Feet,Hnny,If This Is House I Want My Money Back 3,4:46,286,5lpHaOX5lmw,LIKE,False
2,Sabato Italiano,"I Coccodrilli, Milord, Whodamanny",Sabato italiano,4:34,274,ThADW6FDnE4,INDIFFERENT,False
3,Marechià (feat. Célia Kameni),Nu Genea,Bar Mediterraneo,4:25,265,xC_Udv3TNVg,INDIFFERENT,False
4,Profite (Kazy Lambist Remix),Moi Je,Profite (Remixes),3:19,199,cK5UBNpZd6s,INDIFFERENT,False
5,Icare,"Bertrand Burgalat, Yuksek",Icare,3:43,223,xqjccxHFZBI,INDIFFERENT,False
6,Hématome,L'Impératrice,Tako Tsubo,3:39,219,XNO2v33K4ts,INDIFFERENT,False
7,Sunburn,ANNNA,Sunburn,3:14,194,mIj15E3Umcw,INDIFFERENT,False
8,Myenemy,Parcels,Hideout,3:34,214,o9XE151jDxg,INDIFFERENT,False
9,Inflation,The Whitest Boy Alive,Dreams,3:50,230,2skwmlzc1cY,INDIFFERENT,False
10,Last Night,Yung Bae,BA3,3:09,189,sTvtIHLnIak,INDIFFERENT,False
11,Filaou Bessame (Cerrone Remix),Amadou & Mariam,Filaou Bessame (Cerrone Remix),4:41,281,X9lLdphbw4Q,INDIFFERENT,False
12,too bad,Jean Tonique,too bad,3:08,188,7vtxBSPlp4Y,INDIFFERENT,False
13,Weekends,"Midnight Generation, Modesta",Weekends,4:12,252,GyW_W0yNxbU,INDIFFERENT,False
14,All Inclusive,Myd,All Inclusive,3:13,193,W7IViNo5U0o,INDIFFERENT,False
15,Shades Of Black,Breakbot,Let The Children Techno (Compiled and Mixed by Busy P & DJ Mehdi),2:43,163,8hvd0daXMPs,INDIFFERENT,False
16,Something New,Paco Versailles,Dancemenco,3:05,185,zj7CBEXgLR4,INDIFFERENT,False
17,Kryé Mwen,David Walters,Kryé Mwen,5:00,300,5G8FPHzjGFQ,INDIFFERENT,False
18,Laroque,Franc Moody,EP,4:07,247,oxcIElGrrDI,INDIFFERENT,False
19,Oasis,Polo & Pan,Cyclorama,6:12,372,hd19RJExVtE,INDIFFERENT,False
20,24h In A Disco (feat. Channel Tres & Kiki Gyan),Zerb,24h In A Disco,2:52,172,zmuUuqUdduM,INDIFFERENT,False
21,Relax le plexus,Miel De Montagne,Relax le plexus,3:14,194,rqA71ue37jA,INDIFFERENT,False
22,SAINT PEPSI: SKYLAR SPENCE,MrNONSENSE,,3:39,219,AJA77S11BmM,INDIFFERENT,False
23,Don't Leave,QB9,Don't Leave,3:30,210,XTQzEE5Udd0,INDIFFERENT,False
24,Omeo,Darius,Romance,3:30,210,C8AyWsBpvOw,INDIFFERENT,False
25,Candle Flame (Opolopo Remix Edit),Jungle,Candle Flame (Opolopo Remix),3:35,215,1x1iqqf9Lp8,INDIFFERENT,False
26,In Plain Sight (feat. IVAR),Kraak & Smaak,Pleasure Centre,3:49,229,1eDgLfUyZcM,INDIFFERENT,False
27,Funk Express (from Bomb Rush Cyberfunk) (Extended Version),Proux,Funk Express (from Bomb Rush Cyberfunk) (Extended Version),3:04,184,EshAHgKLY1o,INDIFFERENT,False
28,Do You Believe,Poolside,Do You Believe,4:34,274,MqET0q7jqnk,INDIFFERENT,False
29,disorder,Isaac Delusion,uplifters,3:40,220,9-dA5JDB8ks,INDIFFERENT,False
30,La vie est belle,La Belle Vie,La vie est belle,4:39,279,LpOWk4fbdQY,INDIFFERENT,False
31,Howlin' At The New Moon,"Alice Ivy, Mayer Hawthorne",Howlin' At The New Moon,3:25,205,mt1r4EXpk74,INDIFFERENT,False
32,Get Down Saturday Night (The Lost Remix),Oliver Cheatham,Get Down Saturday Night (The Lost Remix),3:18,198,V24IJfQB-OU,INDIFFERENT,False
33,Saturday Night,"Anthony Donje, Paul Elliott",Funk Disco,3:24,204,TZGtI0oP6Wk,INDIFFERENT,False
