position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,The Wave,Jungle,The Wave,3:23,203,IH7JpGt0Eyc,INDIFFERENT,False
2,Skin & Bones.,RAYE,THIS MUSIC MAY CONTAIN HOPE.,3:15,195,J7f7evuZJ8A,INDIFFERENT,False
3,Iron Ore Betty,John Prine,Bruised Orange,2:43,163,-L6ammWgL3Y,INDIFFERENT,False
4,Mascaram Setaba (Stereo Master),Mulatu Astatke,Mulatu Of Ethiopia,2:48,168,p4tvFwgsGWo,INDIFFERENT,False
5,Somebody New,The Amplifetes,The Amplifetes,3:37,217,Mu9FEcU3Iu0,INDIFFERENT,False
6,Power,Babes on the Run,Power,4:30,270,5MFceUlBg-8,INDIFFERENT,False
7,How Glad I Am,The Greyboy Allstars,What Happened to Television?,2:51,171,kKCImOgRUv8,INDIFFERENT,False
8,I Couldn't Love You More,"Charlie Hunter, Corey Fonville, Sam Fribush",I Couldn't Love You More,3:47,227,8PKRPytf62E,INDIFFERENT,False
9,Wet Leather,Polyrhythmics,Filter System,4:09,249,BXBSkmSq1MM,INDIFFERENT,False
10,Summer Lovin',"Cerrone, Purple Disco Machine",Summer Lovin',5:59,359,4qtZmw-ThPs,INDIFFERENT,False
11,50//50 (Edit),Vantage,50//50,2:10,130,XXK_upgRrYE,INDIFFERENT,False
12,Mojo,Phaxe & Gaudium & Emok & Martin Vice,Mojo,8:13,493,59_L9Qj5n0Y,INDIFFERENT,False
13,Le Knight Club - Coco Girlz,Crydajam,,5:45,345,RGhWyGmuq0s,INDIFFERENT,False
14,Seremei Buguya (Thanks to You),The Garifuna Collective,Ayó,4:20,260,1nfYRKA27Ig,INDIFFERENT,False
15,Strawberry Kiwi,The Olympians,In Search of a Revival Pt. 1 / Strawberry Kiwi,3:45,225,iOiyGuf2GPM,INDIFFERENT,False
16,Don't Leave,QB9,Don't Leave,3:30,210,XTQzEE5Udd0,INDIFFERENT,False
17,Tears In Brasil,Piero Piccioni,Camille 2000 (Original Motion Picture Soundtrack),2:48,168,vdMCmfYcWZY,INDIFFERENT,False
18,Cat Blues,Seatbelts,COWBOY BEBOP (Original Motion Picture Soundtrack),2:38,158,a8mC0Qsvt_U,INDIFFERENT,False
