position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,"High Tide, Storm Rising",Skinshape,"High Tide, Storm Rising",3:57,237,2t1EiWjHFt8,LIKE,False
2,Paraiso,Gizmo Varillas,El Dorado,1:44,104,Nv7vpffOqB0,INDIFFERENT,False
3,Late Lunch,"Ferdinand Moses, Furs",All There Really Is,3:17,197,o8GTPURwew4,INDIFFERENT,False
4,Got Caught in Amsterdam,Arc De Soleil,The Thief in Marrakesh Got Caught in Amsterdam Trying to Escape,2:51,171,SuvVK76HAPE,INDIFFERENT,False
5,Mahal,Glass Beams,Mahal,3:22,202,Byzhrg7oW58,INDIFFERENT,False
6,Sinseerly Yours,"Joey Quinones, Thee Sinseers",Sinseerly Yours,2:54,174,ywiTM8FVJMY,INDIFFERENT,False
7,Crimson & Clover,The Shacks,Big Crown Vaults Vol. 2,3:43,223,pV-nsFHYy5E,INDIFFERENT,False
8,Tremendous Fantastic,Karate Boogaloo,Access All Areas,3:06,186,gWAsymwWb-w,INDIFFERENT,False
9,Lou's Tune (feat. Moses Boyd),DARGZ,Lou's Tune,1:43,103,GRjDOqlzu4o,INDIFFERENT,False
10,l'histoire de ta vie,Céline Dessberg,Hödöö,3:23,203,uJtwEMlnl44,INDIFFERENT,False
11,Current Strum Joy,soma,The Cave,3:55,235,QpkDvLZfCdg,INDIFFERENT,False
12,Time To Rebuild,The Sure Fire Soul Ensemble,Step Down,3:03,183,1rTNWzuTeBQ,INDIFFERENT,False
13,Cita,Diabi,Cita,2:44,164,O4Uuaih7twQ,INDIFFERENT,False
14,Heart To Heart,Mac DeMarco,Here Comes The Cowboy,3:32,212,qBoQzo98EpQ,LIKE,False
15,Brother Mike,"Daniel Fridell, Sven Lindvall",I Wish I Was a Happy Fool,3:55,235,eAhxpaDeLAY,INDIFFERENT,False
16,Moewe,Löwenzahnhonig,Moewe,3:39,219,k8fv9ZIo3FA,INDIFFERENT,False
17,Bring Your Love,The Charities,Bring Your Love / Angel Eyes,2:29,149,YSXc4RNLllU,INDIFFERENT,False
18,El Desierto,Hermanos Gutiérrez,Hoy Como Ayer,2:51,171,nJjhRs4MX60,INDIFFERENT,False
19,Strange Seed,Emapea,"Seeds, Roots & Fruits",3:04,184,Z0TfdZBc7L8,LIKE,False
20,Cracked Pepper,Polyrhythmics,Fondue Party,4:35,275,NXA5whKj6go,INDIFFERENT,False
21,Wondrous Place,Drug Store Romeos,Wondrous Place,2:14,134,KnlHOSTezJM,INDIFFERENT,False
22,The Lone Pistolero,Tommy Guerrero,No Mans Land,3:21,201,bINJy0n0rx8,INDIFFERENT,False
23,Into the Night,Offthewally,Pollination,3:06,186,5F95d7Eu_ic,INDIFFERENT,False
24,Come Right Back (pt. 2),"Leroi Conroy, Wesley Bright",Come Right Back (pt 1 and pt 2),3:17,197,fi-DGhHGu1Y,INDIFFERENT,False
25,The Shame,"Holy Hive, El Michels Affair, & Fleet Foxes",Big Crown Vaults Vol. 3 - Holy Hive,2:56,176,3bSGH0xEJSQ,INDIFFERENT,False
26,Seabird,Babeheaven,Seabird,3:02,182,sytpVuSca1Q,INDIFFERENT,False
27,Apollo's Mood,The Olympians,The Olympians,4:32,272,WQfx5jmzAyU,INDIFFERENT,False
28,Daze of Flow,HATAMITSUNAMI,Leaves in the Wind,2:56,176,WXyO4-Jbntg,INDIFFERENT,False
29,Sunshine Kisses,Sabine McCalla,Sunshine Kisses,4:01,241,kZNlOZg3Eek,INDIFFERENT,False
30,Billie Toppy,Men I Trust,Billie Toppy,3:16,196,NII0HwWAAUA,INDIFFERENT,False
31,Pictures of You,"Drugdealer, Kate Bollinger",Pictures of You,3:10,190,OU3BMR15f8Y,INDIFFERENT,False
32,Tam Tam,YĪN YĪN,Mount Matsu,2:24,144,M3nsXzpuAAw,INDIFFERENT,False
33,Alakarra,"Khruangbin, Vieux Farka Touré",Ali,3:00,180,ruezN4AaWxg,INDIFFERENT,False
34,Got To Be Good,"Gotts Street Park, Pip Millett",Got To Be Good,2:40,160,WTHUtiSCZps,INDIFFERENT,False
35,Khayal,Kazdoura,Khayal,3:27,207,BdyGJ1-eun8,INDIFFERENT,False
36,Nothing but Everything,Jon and Roy,The Road Ahead Is Golden,3:35,215,ujF0O0lsi5E,INDIFFERENT,False
37,Beaming Above,richard houghten,Sun Lifter,2:05,125,wTj7UZq_hjg,INDIFFERENT,False
38,In The Stars,Melody's Echo Chamber,Unclouded,2:40,160,rUKWrVPcRBM,INDIFFERENT,False
39,Stay Soft,Melodiesinfonie,Stay Soft,3:20,200,rsgxEtvgZ-4,INDIFFERENT,False
40,Silver Dollar Jim,Will Van Horn,San Luis Pass,3:09,189,fBW0RBSZu24,INDIFFERENT,False
41,Fire,Thomas Naïm,Sounds of Jimi,3:37,217,e-qMhYPPDSw,INDIFFERENT,False
42,83,Rudy De Anda,Take Me For A Little While / 83,3:20,200,NeWDVyLelPk,INDIFFERENT,False
43,I Won't Go,54 Ultra,I Won't Go,2:58,178,7JKVTct9AH4,INDIFFERENT,False
44,Send It Back,DON WEST,Send It Back,2:54,174,Y7nDX15KJ5M,INDIFFERENT,False
45,Black and White,"Redinho, Σtella",Up and Away,2:19,139,SpeifxEyb7M,INDIFFERENT,False
46,There's a Place,Tokyo Tea Room,There's a Place,2:50,170,TX2Erxsw23I,INDIFFERENT,False
47,Opendoors,Jitwam,Honeycomb,2:43,163,39iCgeO3aYE,INDIFFERENT,False
48,La Parisienne,"Alexander IV, Feiertag",La Parisienne,3:33,213,ikAPCpbK8u0,INDIFFERENT,False
49,Si o No,L'Eclair,Polymood,4:32,272,ahG6dJEUN6A,INDIFFERENT,False
50,Firebird,Common Saints,Firebird,3:09,189,ziLQm-sIzYs,INDIFFERENT,False
51,Where Will We Be,Will Harrison,Epidemic Sound Presents: Keystones Vol. 5,3:11,191,Mt-06b3WS7w,INDIFFERENT,False
52,Satin Curtains,Molly Lewis,The Forgotten Edge,2:39,159,7KGGweahz3o,INDIFFERENT,False
53,Shelter,Alice Phoebe Lou,Shelter,3:18,198,DWfpR9dxzo0,INDIFFERENT,False
54,Mountain Top,Rio Kosta,Mountain Top,4:04,244,LwCVyfJgqOg,INDIFFERENT,False
55,Under The Magnolia Tree,Pale Jay,The Celestial Suite,3:08,188,SV57pEJlItY,INDIFFERENT,False
56,In the Morning (feat. Folly Tree),Tal Tamari,In the Morning,3:18,198,avCS9XUAJOE,INDIFFERENT,False
57,I Won't Let You Down,Curtis Harding,If Words Were Flowers,4:05,245,Cqta7PFcs58,INDIFFERENT,False
58,Dust Bunny,Crumb,AMAMA,3:05,185,I8mf0t0eXug,INDIFFERENT,False
59,Two Tears Tonight (feat. Café Canela & Burgundy Blues),Thee Hi Lifes,Two Tears Tonight,2:33,153,OFOkPxoprzY,INDIFFERENT,False
60,Moon in Reverse,La Luz,News of the Universe,2:01,121,mzVlT-qkblk,INDIFFERENT,False
61,Lunes 1 De Abril,The Holydrug Couple,Moonlust Demos,1:16,76,CHL_RIJsjYU,INDIFFERENT,False
62,Comatose,Low Hum,lowhum,6:17,377,YCiTqTBHR8w,INDIFFERENT,False
63,Blinding Sights (Left Me Cold in the Night),Yellow House,A Carnival of Fears,2:47,167,irksXZUwAb4,INDIFFERENT,False
64,Feels Good to Laugh,Honeywhip,Feels Good to Laugh,2:50,170,Sct8GpUXsSE,INDIFFERENT,False
65,Umbra,Opez,Social Limbo,3:43,223,GkW-WpU_35Q,INDIFFERENT,False
66,Summer Sun,Cari Cari,Summer Sun,3:25,205,8MTIX9g2A24,INDIFFERENT,False
67,Yo Todo Tu Yo,The Rugged Nuggets,Yo Todo Tu Yo,3:00,180,dhrXE9ALSv8,INDIFFERENT,False
68,Ghost Groove (Instrumental),Dojo Cuts,A World Away EP,3:10,190,BduOkcEPIfg,INDIFFERENT,False
69,She's Knocking,Ikebe Shakedown,The Way Home,3:15,195,5gXrbaDHMrM,INDIFFERENT,False
