position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,Stornoway,Skinshape,Stornoway,4:11,251,Up0wYsESdkc,INDIFFERENT,False
2,l'histoire de ta vie,Céline Dessberg,Hödöö,3:23,203,uJtwEMlnl44,INDIFFERENT,False
3,Strange Seed,Emapea,"Seeds, Roots & Fruits",3:04,184,Z0TfdZBc7L8,LIKE,False
4,Church Street Blues,Tony Rice,Church Street Blues,3:09,189,UHYkvDo2rXc,INDIFFERENT,False
5,Mumbo Sugar,Arc De Soleil,Libertalia,3:09,189,1FSPY3aYVEg,INDIFFERENT,False
6,Let No Man Steal Your Thyme,Sandy Denny,Early Home Recordings,2:25,145,VTV5YKAHQC4,INDIFFERENT,False
7,Heart To Heart,Mac DeMarco,Here Comes The Cowboy,3:32,212,qBoQzo98EpQ,LIKE,False
8,Orb,Glass Beams,Mahal,4:54,294,-476mGZVl8I,LIKE,False
9,With Kitty I'll Go,Jean Ritchie,Mountain Hearth & Home,2:13,133,Ch1EPCIKTuU,INDIFFERENT,False
10,Keep Coming Back To You,Vicky Sometani,Keep Coming Back To You,3:30,210,aPZkT2a_zn0,INDIFFERENT,False
11,Stay Soft,Melodiesinfonie,Stay Soft,3:20,200,rsgxEtvgZ-4,INDIFFERENT,False
12,Clementine,"Taylor Olin, The Something Specials",Clementine,1:45,105,yArxFez0Pf0,INDIFFERENT,False
13,Randall Collins,Norman Blake,Back Home In Sulphur Springs,1:55,115,MVB1kQHFqps,INDIFFERENT,False
14,Sittin On Top Of The World,Doc Watson,Doc Watson,2:39,159,gI27dp3sNYI,INDIFFERENT,False
15,The Shame,"Holy Hive, El Michels Affair, & Fleet Foxes",Big Crown Vaults Vol. 3 - Holy Hive,2:56,176,3bSGH0xEJSQ,INDIFFERENT,False
16,Lounge Lizard,Molly Lewis,On The Lips,3:50,230,-zGLd90ca2I,INDIFFERENT,False
17,Over Yonder In The Graveyard,Ola Belle Reed,Ola Belle Reed & Family,3:07,187,Lrklhjt4pv8,INDIFFERENT,False
18,Cultivation,Offthewally,Cultivation,3:23,203,bQGywibsQGU,INDIFFERENT,False
19,Crimson & Clover,The Shacks,Big Crown Vaults Vol. 2,3:43,223,pV-nsFHYy5E,INDIFFERENT,False
20,White Sands,Tommy Guerrero,Road to Knowhere,3:00,180,AAHjDgtYTiI,INDIFFERENT,False
21,83,Rudy De Anda,Take Me For A Little While / 83,3:20,200,NeWDVyLelPk,INDIFFERENT,False
22,Time To Rebuild,The Sure Fire Soul Ensemble,Step Down,3:03,183,1rTNWzuTeBQ,INDIFFERENT,False
23,In the Pines,The Kossoy Sisters,Bowling Green and Other Folk Songs from the Southern Mountains,3:19,199,WC3Yw59KMMw,INDIFFERENT,False
24,Hangman,Tia Blake,Folksongs & Ballads,3:22,202,BOgTF1QqbMw,INDIFFERENT,False
25,The Mercy of the Wind,Million Eyes,In the Wind,1:46,106,DX6QHjx_RYw,INDIFFERENT,False
26,Sound Vagabond,Eric Hilton,Sound Vagabond,3:05,185,1Gly6GjOMYo,INDIFFERENT,False
27,Low Sun,Hermanos Gutiérrez,Sonido Cósmico,3:09,189,lr19_EzZHEM,INDIFFERENT,False
28,Send It Back,DON WEST,Send It Back,2:54,174,Y7nDX15KJ5M,INDIFFERENT,False
29,Hard Luck & Circumstances,Charley Crockett,Hard Luck & Circumstances,3:05,185,cnjfEGezbxk,INDIFFERENT,False
30,Sheik,Super Guitar Bros,Ocarina of Time,1:23,83,6F7VMcPs6r4,INDIFFERENT,False
31,Wet Leather,Polyrhythmics,Filter System,4:09,249,BXBSkmSq1MM,INDIFFERENT,False
32,Wave Paths,Mike Sanders,Wave Paths,3:33,213,F7UoLpeYadU,INDIFFERENT,False
33,Closin' in,Dylan LeBlanc,Coyote,3:12,192,5Yf-gulLWOQ,INDIFFERENT,False
34,"Yet, Never Again",Atillion,"Yet, Never Again",2:33,153,V5ldsIX3UN8,INDIFFERENT,False
35,Leaves in the Wind,HATAMITSUNAMI,Leaves in the Wind,2:54,174,U0mENXVrQA8,INDIFFERENT,False
36,Sinseerly Yours,"Joey Quinones, Thee Sinseers",Sinseerly Yours,2:54,174,ywiTM8FVJMY,INDIFFERENT,False
37,A1 Bakery Pledge of Allegiance,Surprise Chef,Education & Recreation,3:20,200,RGqxSSgy4Pw,INDIFFERENT,False
38,El Camino de Mallorca,Luca Stavos,El Camino de Mallorca,2:20,140,Sz9d01L8X5U,INDIFFERENT,False
39,The Last Thing On My Mind,Doc & Merle Watson,Elementary Doctor Watson,3:23,203,BGnZ9ZhECvA,INDIFFERENT,False
40,Skylark,James Quinn,Skylark,1:26,86,8yNN4A_pyRA,INDIFFERENT,False
41,Wavy (feat. The Soul Surfers),Janko Nilovic,Maze Of Sounds,3:12,192,4c3WSCpwnog,INDIFFERENT,False
42,Seabird,Babeheaven,Seabird,3:02,182,sytpVuSca1Q,INDIFFERENT,False
43,Late Lunch,"Ferdinand Moses, Furs",All There Really Is,3:17,197,o8GTPURwew4,INDIFFERENT,False
44,Stockholmsvy,"Hannes, waterbaby",Stockholmsvy,2:42,162,RIXEZlL9R0k,INDIFFERENT,False
45,Kamouraska,Loscil,Umbel,6:35,395,mGvuBRAFKC8,INDIFFERENT,False
46,My October,The Folks,My October,2:05,125,h3lj2-J2Ze0,INDIFFERENT,False
47,"Don't Think Twice, It's All Right (Album Verison)",Ramblin' Jack Elliott,Young Brigham,3:52,232,OeucVztLMh0,INDIFFERENT,False
48,Pictures of You,"Drugdealer, Kate Bollinger",Pictures of You,3:10,190,OU3BMR15f8Y,INDIFFERENT,False
