position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,West Virginia Waltz,Sierra Ferrell,Long Time Coming,3:34,214,1bE7LApwxUk,INDIFFERENT,False
2,Angel Eyes,The Charities,Bring Your Love / Angel Eyes,2:31,151,aHIKQUEOOdc,INDIFFERENT,False
3,Don't Be Angry,Stonewall Jackson,American Originals,2:59,179,5YysB4lJvTA,INDIFFERENT,False
4,Hello Walls,Willie Nelson,And Then I Wrote,2:27,147,yGYozNjFlFQ,INDIFFERENT,False
5,Cowpoke,Eddy Arnold,Cattle Call,2:21,141,JGXNCtrKK-4,INDIFFERENT,False
6,Come Back (Buddha Remastered 2001),The Five Stairsteps,The First Family of Soul: The Best of The Five Stairsteps,2:55,175,5B1jEh8Kj4Y,INDIFFERENT,False
7,Psycho,Eddie Noack,Presenting Eddie Noack,3:37,217,D5fwtrD_uCM,INDIFFERENT,False
8,SHOULD'VE BEEN YOU (feat. Tallulah Rose),Bnnyhunna,SHOULD'VE BEEN YOU,3:15,195,8K-CXsQEY_c,INDIFFERENT,False
9,That's How I Got to Memphis,Bobby Bare,This Is Bare Country,2:32,152,mGcseAB-2VU,INDIFFERENT,False
10,I'm a Long Way from Home,Waylon Jennings,Nashville Rebel,3:34,214,gJv5rPylEkM,INDIFFERENT,False
11,Chorar Na Beira Do Mar,"Pedro Mizutani, Skinshape",Pensando Baixo,2:09,129,oshPEWc9uUc,INDIFFERENT,False
12,Send It Back,DON WEST,Send It Back,2:54,174,Y7nDX15KJ5M,INDIFFERENT,False
13,idea 1,Kelela,new avatar,3:26,206,PM5wY1hqnN8,INDIFFERENT,False
14,Upside Down,54 Ultra,Upside Down,3:17,197,QBi656z3mmo,INDIFFERENT,False
15,Seems Like,Thee Sinseers,Seems Like,3:15,195,UBEjQUPG680,INDIFFERENT,False
16,Carry On,Jungle,Carry On,2:49,169,HqMRbHy1q7w,INDIFFERENT,False
