position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,Reach For The Dead,Boards of Canada,Tomorrow's Harvest,4:48,288,f2ToXTd14dg,INDIFFERENT,False
2,Private Universe,Jon Hopkins,Opalescent,5:41,341,YQOCu-mnwpQ,INDIFFERENT,False
3,Red Elevation,Hello Meteor,An Unfamiliar Place,4:51,291,Sn6ERMVzMXY,INDIFFERENT,False
4,Airglow,Stellardrone,Light Years,5:17,317,k4jwwbgJFJU,INDIFFERENT,False
5,Alone in Kyoto,IOTO,Alone in Kyoto,3:12,192,bZj26AtpGaY,INDIFFERENT,False
6,Celestial Ghost,State Azure,Selected Modular Works II,6:21,381,vHGBnUnaN7E,INDIFFERENT,False
7,After Midnight,Skinshape,Filoxiny,4:44,284,uhZo2iYSV-w,INDIFFERENT,False
8,Petrichor,E-Mantra,Drifting,7:13,433,44CfnaBd5QU,INDIFFERENT,False
9,Amplitude,Jasper De Ceuster,Memory Bank,4:31,271,pjBXthCIS8c,INDIFFERENT,False
10,Dark Star,All India Radio,The Slow Light,4:59,299,dHnPx4bUADk,INDIFFERENT,False
11,Let Your Body Fly,MAISON ROYALE,Let Your Body Fly,3:25,205,dUbnvxB7WtA,INDIFFERENT,False
12,Next Waiting (Origin 2006) (2022 Remaster),Solar Fields,Origin # 01 (2022 Remaster),7:40,460,oVuOsMz8tz0,INDIFFERENT,False
13,Silent Echoes,Madis,Reflecte,3:50,230,ahOrot3IWt8,INDIFFERENT,False
14,Magnus,Plesiada,Joy World,6:36,396,kaP1OtPJXAs,INDIFFERENT,False
15,Pastoral,Northcape,Captured from Static,3:09,189,zUZqHX142WY,INDIFFERENT,False
16,Darkside Lovers,"Dense, Mystic Crock",Lost Particles,8:12,492,fDTbqW1F324,INDIFFERENT,False
17,Khepre,Islandman,Heimlich III,6:32,392,JyKcDPOovSo,INDIFFERENT,False
18,Babe,Evenings,North Dorm,2:53,173,L7h_w9wy5I4,INDIFFERENT,False
19,Phoenix,Tycho,Past Is Prologue,1:27,87,VzhD8SYMt8w,INDIFFERENT,False
20,Mosaic,Voyage,Mosaic,5:07,307,2ywVDl38kXU,INDIFFERENT,False
21,Nimbus,Oscuro Chill,Nimbus,3:13,193,cCe6vBiVtS0,INDIFFERENT,False
22,Third,Hiatus,Third EP,4:47,287,yygOWiW2f44,INDIFFERENT,False
23,Oleander (Phutureprimitive Symbiotic Remix),Bluetech,Digital Singles Vol.1,7:36,456,JnKhDj3r81A,INDIFFERENT,False
24,horizons,".diedlonely, théos",horizons,3:03,183,e5UkXm0_F00,INDIFFERENT,False
25,Vision (Revisited),Carbon Based Lifeforms,Alt:02,3:29,209,v-3pVOIVGeQ,INDIFFERENT,False
26,Deserve to be,Sunbyonic,Marionette Play Vol. 4,6:32,392,tPFb5rXQFDo,INDIFFERENT,False
27,Black Lights,Baba Gnohm,Black Lights,6:25,385,PuATU-wFvCY,INDIFFERENT,False
28,cavatappi,Casein,cavatappi,2:51,171,GHlgCjLU7n0,INDIFFERENT,False
29,Wide Spectrum,Dreaming Cooper,"Spacechillers, Vol. 2",9:05,545,9xcXCQX_PBc,INDIFFERENT,False
30,peace of mind,Vibrasphere,Namaskar,7:57,477,qRHOu2vTvpQ,INDIFFERENT,False
