position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,Rindo da Saudade,Ulisses Rocha,Air,3:07,187,Xhi9U2aKS4c,INDIFFERENT,False
2,seaside village,Kang Asol,Chungmu,1:42,102,lAkcP86yKOA,INDIFFERENT,False
3,Bleached,Video Days,sungazing,1:24,84,0pHR4_cyIuA,INDIFFERENT,False
4,My October,The Folks,My October,2:05,125,h3lj2-J2Ze0,INDIFFERENT,False
5,Karaindrou: Eternity and a Day: II. By The Sea,Eleni Karaindrou,Eternity and a Day,1:47,107,qbfFSXQB-gw,INDIFFERENT,False
6,Skylark,James Quinn,Skylark,1:26,86,8yNN4A_pyRA,INDIFFERENT,False
7,Temporal,Aukai,Temporal,3:05,185,dUzXCkhorog,INDIFFERENT,False
8,Kaepora Gaebora,Super Guitar Bros,Ocarina of Time,1:35,95,6KU9wxyWgfE,INDIFFERENT,False
9,Dub for Cascadia,loscil,Endless Falls,6:07,367,cjjEiKJjxGU,LIKE,False
10,Julia,Reeder,It Is the Nature of Dreams to End,2:11,131,x-3jIwI2IGY,INDIFFERENT,False
11,"Sibelius: 13 Pieces for Piano, Op. 76: No. 2, Etude (Arr. Sandquist for Cello & Piano)","Göran Söllscher, Jean Sibelius, Jian Wang",Reverie,2:49,169,n4rldQkOutY,INDIFFERENT,False
12,Start Line,Yuki Matsui,Passage of Time,1:31,91,cTFDk3j9r0I,INDIFFERENT,False
13,Truth,Dylan John Sparkes,Earth,4:19,259,wkdheX5CaDA,INDIFFERENT,False
14,Rêves Éveillés,Vivian Roost,From Home,2:29,149,0zhpMb7GTMQ,INDIFFERENT,False
15,Danze Veneziane: Pavana del Re,Jordi Savall,Musica Nova,1:57,117,rzsoLvHEbuI,INDIFFERENT,False
16,"Duo for Violin & Cello in B-Flat Major, BI. 244: II. Andantino",Dora Bratchkova & Alina Kudelevič,Rolla: 3 Duos for Violin & Cello,3:13,193,Xgc76VHhteo,INDIFFERENT,False
17,"Chopin: Waltz No. 19 in A Minor, KK IVb (Arr. for Cello and Piano by C. Thomas)","Camille Thomas, Frédéric Chopin, Julien Brocal",The Chopin Project : Trilogy,2:23,143,QWOvw77vPMk,INDIFFERENT,False
18,Calm Rivers,La Reve,Wings of Glass,3:04,184,pA4FiJU5weM,INDIFFERENT,False
19,Doxology,Elevation Worship,Promise & Presence,3:52,232,oolaAdElOBQ,INDIFFERENT,False
20,Close To Her,Benjamin Gustafsson,Close To Her,3:30,210,gEvnmYJLQmU,INDIFFERENT,False
21,"Orientale No. 9, Op. 50 from Kaleidoscope",Midori,Encore!,1:38,98,zarLra0HgcA,INDIFFERENT,False
22,Present,Lloyd Vaan,Lens Flare,2:26,146,rvjFKme0tt4,INDIFFERENT,False
23,Nocturno de Moriana,Lucas Brar,Nocturno de Moriana,3:21,201,SQQ5yo9NSus,INDIFFERENT,False
24,The Fog,Realizer,The Fog,1:30,90,XqOx9Lx6Wjg,INDIFFERENT,False
25,Now Still Waters,Christopher Elliott,Now Still Waters,3:28,208,P8ccwFAKyGA,INDIFFERENT,False
26,Massenet: Elégie,"Daria Hovora, Jules Massenet, Mischa Maisky",Mischa Maisky - Après un rêve,2:13,133,v8ia9WOxjkg,INDIFFERENT,False
27,Lily's Dance,Million Eyes,In the Wind,2:10,130,5dxUX-dxgyU,INDIFFERENT,False
28,In Time,Stellardrone,Light Years,3:47,227,GxeycfCIbgM,INDIFFERENT,False
29,Departure,Pierre Tardiveau,Departure,3:06,186,C9UN0Ak9Z0c,INDIFFERENT,False
30,Fly,Art Music,Fly,2:20,140,7N4_mlT5CtA,INDIFFERENT,False
31,L'autre Valse D'amélie,Frédéric Schubert,Pop Ballads on Piano,1:06,66,lV9DePcyEpU,INDIFFERENT,False
32,Late Road,muunroo,Late Road,3:00,180,iOAsKDOq-2s,INDIFFERENT,False
33,Noctilune No. 5,Claudio Constantini,Noctilune No. 5,2:27,147,h2gO1Uejbz0,INDIFFERENT,False
34,Jämnmod,Ström,Jämnmod,3:29,209,TqHAzvT9hH4,INDIFFERENT,False
35,Silence,Yannick Lowack,Silence,3:04,184,o-hvAl3RtYc,INDIFFERENT,False
36,Outside In,We Dream of Eden,Innerspace,3:09,189,NyguMxVh6z0,INDIFFERENT,False
37,Red Elevation,Hello Meteor,An Unfamiliar Place,4:51,291,Sn6ERMVzMXY,INDIFFERENT,False
38,Prelude to a Soul,Sebastian Plano,Save Me Not,2:47,167,yIR_rU1pbcU,INDIFFERENT,False
39,Homestead,The Bare Bones,Homestead,2:30,150,TSG7GKzS33Y,INDIFFERENT,False
40,Waterworks,Bernth,Waterworks,2:03,123,wcV_4lUx144,INDIFFERENT,False
41,Greensleeves [16th Century],"August Denhard, Munir Beken",A Meeting Place: Medieval & Renaissance Music for Lute & Ud,2:11,131,mhDAFRHFYS4,INDIFFERENT,False
42,An Italian Lovesong,Toto Espinoza,An Italian Lovesong,3:32,212,hx0MgdWaVFU,INDIFFERENT,False
43,Summertime,"David Grisman, Doc Watson",Doc & Dawg,4:20,260,IG859k9rBRg,INDIFFERENT,False
44,Serenidade,Vincenzo Crimaco,Serenidade,3:08,188,cqxLnjRYqXs,INDIFFERENT,False
