position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,Dun Dun,DEKEL & SHTUBY,Dun Dun,8:50,530,MzGIi1fNlFE,INDIFFERENT,False
2,Habanero Hero,Jumpstreet,Gourmet Noise,7:26,446,llSabs8aZxc,INDIFFERENT,False
3,Context High,Ajja,Oddular,7:24,444,ll7MMMvNDYA,INDIFFERENT,False
4,Wake Up To Reality,Tao Andra,Move / Wake Up To Reality,5:30,330,GUJ-PFnXZvI,INDIFFERENT,False
5,Invent the Future,Ingrained Instincts,Invent the Future,7:15,435,rkVk3PQUcZ8,INDIFFERENT,False
6,Immunity,Z-Cat & Jumpstreet,Immunity,7:16,436,jifwk_pn8a4,INDIFFERENT,False
7,Shining (feat. Ekko),Korolova,Shining,3:40,220,WZyiHdp1YBw,INDIFFERENT,False
8,To Byculla (Rising Dust Remix),Juno Reactor,Shofar,7:47,467,vfbGUnVvMA4,INDIFFERENT,False
9,Tridimensional Object,"Oxyflux, Render",Eagles Rising,7:02,422,zcfYN0dnHZY,INDIFFERENT,False
10,Inside,Gorovich,Creative Acts,7:03,423,4PkSruWFA2U,INDIFFERENT,False
11,A Bit More,"Fungus Funk, Drip Drop",Alien Forces,7:20,440,LG9QX5FrE4g,INDIFFERENT,False
12,It's Time,Avalon,Rise,6:38,398,ha68yWbzIFY,INDIFFERENT,False
13,Weirder,Burn in Noise,Trance for Nations 14 (Compiled by Astrix),7:51,471,km3lJVvMVpg,INDIFFERENT,False
14,No Light Theory (T4N Edit),Spectra Sonics,Trance for Nations 14 (Compiled by Astrix),7:08,428,tJGIFpEIVDs,INDIFFERENT,False
15,Source,Djantrix,Source,6:47,407,l-JUCqppU1I,INDIFFERENT,False
16,It's a Monster (Mystic Remix),Rising Dust,Reef,8:04,484,sYxRIbrtDPM,INDIFFERENT,False
17,Wanna be Famous?,"Render, Braingineers",Perpetual,6:50,410,a1uMwbY4mxE,INDIFFERENT,False
18,Dimensional Portals,Psydewise,Genetic Expression,6:01,361,jsJk__4XcVk,INDIFFERENT,False
19,Spirtual Journey,Pettra,Naked in the Desert,5:52,352,HccoSOy52Xo,INDIFFERENT,False
20,Ascension,Koktavy,Ascension,8:42,522,ZH2G1r5N_E8,INDIFFERENT,False
21,Liquid Hook (Gorovich Remix),"Captain Hook, Liquid Soul",Liquid Hook (Gorovich Remix),6:58,418,H8N_fixIoGY,INDIFFERENT,False
22,Energy,Raz,Energy,3:21,201,ZWmkxd4RKiY,INDIFFERENT,False
23,Master Blasters,"Jhesha, x-side","Ancient Masters, Vol. 2 Compiled by X-Side",6:59,419,GQK_1QEql0I,INDIFFERENT,False
24,Land of 2 Suns (Liquid Soul Remix),Aqualize,Land of 2 Suns (Liquid Soul Remix),8:16,496,VmVBxOeBTRU,INDIFFERENT,False
25,Peyotes - Hikuri,Sangoma Records,,7:36,456,30wid71tq8c,INDIFFERENT,False
26,Physical Substance,Amstex,Genesis,6:16,376,ekvneB4wyBg,INDIFFERENT,False
27,Breaking Bad,DJ YAGI,PSYCHEDELIC LABORATORY Vol.2,8:09,489,_00QeMBjCBY,INDIFFERENT,False
28,Awake the Snake (Volcano on Mars Remix),"Astrix, Tristan",Awake the Snake,8:20,500,RRg9aXhZawk,INDIFFERENT,False
29,Insane Creatures & Zenkai & ZZbing - Don't Take The Blue Pill,psychedelicious,,7:30,450,Js9yDio1pyQ,INDIFFERENT,False
30,Psy Spy,Empirikal,Psy Spy EP,9:37,577,Pfw4Qlz4UTA,INDIFFERENT,False
31,Om namaha,Gammaepsilon,Om namaha,6:42,402,bJV2ChvIm7g,INDIFFERENT,False
32,Thelios - Jungle Bells,psychedelicious,,7:55,475,FkFINiEeaBs,INDIFFERENT,False
33,Hippietalamus,Daksinamurti,"Manduka compiled by Daksinamurti, Emiel",6:50,410,nurjqy-vbYQ,INDIFFERENT,False
34,Aardvarkk - Powderpuff,psychedelicious,,7:30,450,wMBQywEvGb0,INDIFFERENT,False
35,Vimana (Acid Punks remix),Etnica,Vimana (Acid Punks Remix),8:53,533,_MEHydReZes,INDIFFERENT,False
36,Nova,2Minds,Acid Therapy,6:55,415,yKN3q4dk5tE,INDIFFERENT,False
37,Shadow Shaman - Shamanigans,psychedelicious,,7:10,430,KSUxurwgBDw,INDIFFERENT,False
38,Fungus Funk & Virtual Light - Glam Goblin,psychedelicious,,7:46,466,wvL7LRfUjUY,INDIFFERENT,False
39,Empathogen,E-Mov,Empathogen,7:14,434,SJotqR_m9as,INDIFFERENT,False
40,Groovy Baby,NoFace & Gigi,"Tales From The Shiny Woods, Vol. 1 : The Last Kung Fungus",8:17,497,9SqzS7V-ij0,INDIFFERENT,False
41,Glory Hope,"Render, Noface, Gigi",Perpetual,6:51,411,wgeOrR6kVco,INDIFFERENT,False
42,Soft & Crunchy,"No Spoon, Pixel",Soft & Crunchy,4:52,292,5ZR_e1qNEW0,INDIFFERENT,False
43,Don't Be Afraid,"Ferry Corsten, Joris Voorn, Moonman","A State of Trance Radio Top 50 - 2026, Vol. 1 (Selected by Armin van Buuren)",3:07,187,OSyv2UL7iq8,INDIFFERENT,False
44,Have Fun,SaheL,Have Fun,7:02,422,wUwEnkjVFn8,INDIFFERENT,False
45,Twisted Paradise,AliGroove,Nonplussed II (Compiled by Ana Valeriano),7:29,449,uDolHpskYDs,INDIFFERENT,False
46,Sexy Time,Hustle & Grow,Sexy Time,7:24,444,b1_GxKB0GWM,INDIFFERENT,False
47,Aura,Freedom Fighters & DEKEL,Aura,8:08,488,_5LIoZVEiRY,INDIFFERENT,False
48,Fractal,Crocoloko,Fractal,6:40,400,H6R489_htUU,INDIFFERENT,False
49,Hypnotize Pt. 2,DEKEL & Out Of Orbit,Ancient Future,7:36,456,niaFeC59UtE,INDIFFERENT,False
50,Lost Paradise (Tijah Remix),Groundbass,Lost Paradise (Tijah Remix),8:51,531,TOotlMMW7E0,INDIFFERENT,False
51,Glitch (Monococ Remix),JNTN,Glitch,6:21,381,RVH1d-eQtOk,INDIFFERENT,False
52,Tomorrow,"Gal Greenberg, Invasion",Tomorrow,5:51,351,ZSTpvLiaAfk,INDIFFERENT,False
53,Perpetual,"Render, Kabayun, Daksinamurti, Radikal Moodz",Perpetual,7:35,455,7n_v6DL1NRw,INDIFFERENT,False
54,Free Soul,"Avan7, Br1sa",Free Soul,8:33,513,v7YaObBp68M,INDIFFERENT,False
55,Stars (feat. Amy Moon),"Querox, Synesthetic",Stars,6:09,369,qjqXMIHgjio,INDIFFERENT,False
56,Space Tube 25 Indira Paganotto Remix,Captain Hook,Space Tube 25 Indira Paganotto Remix,6:30,390,d5aaisita1k,INDIFFERENT,False
57,Subterranean (ABGT549) (feat. LUNA),"AVIRA, Miss Monique",Group Therapy 549,4:35,275,T8b0Oap7snA,INDIFFERENT,False
58,Bipolar Bear,"Bigitam, Detune",Bipolar Bear,7:27,447,vE45HFvrNuY,INDIFFERENT,False
59,Organic Rhythm,Ritmo,Organic Rhythm,8:25,505,P9pipEPQ1p0,INDIFFERENT,False
60,Yello Ultrablast,Pantomiman,Oversize,7:02,422,_hhtEPeu-pY,INDIFFERENT,False
61,Infinity (Anna Remix),"Captain Hook, Ritmo",Infinity (Anna Remix),6:42,402,AD655XLjXXQ,INDIFFERENT,False
62,Water Flow,Fobi,Remove Yourself,5:21,321,PfXDJuYnJ4o,INDIFFERENT,False
63,All We Have Is Now,Nevo,Between Heaven and Hell,9:50,590,Dvxtn4LvGFw,INDIFFERENT,False
64,Horizons (Phaxe Remix),"Aura Vortex, Blazy",Horizons (Phaxe Remix),9:16,556,OQA2k0gPx00,INDIFFERENT,False
65,Eclipse Travel,Henix-R,Eclipse Travel,6:03,363,BcDwzONXU4I,INDIFFERENT,False
66,We Are Thoughts,"GroundBass, Perception, Tijah",We Are Thoughts,6:12,372,hGiVOboWZNM,INDIFFERENT,False
67,Microsphere & Radikal Moodz -  Master Of Time,psychedelicious,,7:31,451,VfBKMf9dE98,INDIFFERENT,False
68,The Medicine,Darwish & Adirøs,The Medicine,7:57,477,XpK0mjZBGJE,INDIFFERENT,False
69,Shamanic Tea (Ajja Remix),Tripswitch,Oddular,6:38,398,wOsgj4rG0d4,INDIFFERENT,False
70,Owl Coaster,Yahel,Owl Coaster,6:34,394,DDco2GSktho,INDIFFERENT,False
71,Planet X (GMS remix),Alien Art,Planet X Remixed,8:26,506,ibuA0HVMCE0,INDIFFERENT,False
72,Drop & Roll,Drip Drop,Drop & Roll,6:47,407,gPL9YNqTyKk,INDIFFERENT,False
73,Alien Tribes (PsyMagic Remix),Ara (DE),Alien Tribes,9:14,554,1mn-IhyFwLs,INDIFFERENT,False
74,Petran - Symbiosis,syggeryk,,7:36,456,8KC7kKABLnw,INDIFFERENT,False
75,Machines (Empirikal Remix),Loud,Brain Worms,8:44,524,N-4D1WuJ8AQ,INDIFFERENT,False
76,Control Substance,Gigi & NoFace,Cyber Hippies,7:38,458,B0oqg29gbdM,INDIFFERENT,False
77,Howling at the Moon,"Undefined Behavior, Burn in Noise, Ajja",Howling at the Moon,6:00,360,FYMuVnNFflE,INDIFFERENT,False
78,Papas on Acid,Lost Papas,Papas on Acid,7:07,427,eLYK77ySuhU,INDIFFERENT,False
79,Sons of Earth,DEKEL & Ilan Or,Ancient Future,7:47,467,GZQ_MRkNis8,INDIFFERENT,False
80,Acid Zoo,"Kabayun, Ninesense, Virtual Light",Noctis Labyrinthus,8:38,518,XoK1f1wFcI0,INDIFFERENT,False
81,Kupidox - hello zohar,Kupidox,,4:32,272,Ob3laqqWDLs,INDIFFERENT,False
