position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,Step-Grandma,Salvatore Ganacci,Step-Grandma,2:41,161,za0J4m9Hrn8,INDIFFERENT,False
2,Make Me Feel,oskar med k,Make Me Feel,3:07,187,y6UxHtHLZv0,INDIFFERENT,False
3,Where Are You,Abel York,Where Are You,3:19,199,CGiQYnIGaRQ,INDIFFERENT,False
4,Solstice (Early Mix),Hallucinogen,The Singles (Remastered 2024),5:54,354,sjv5knfjrHc,LIKE,False
5,Rainfall (Praise You),Tom Santa,Rainfall (Praise You),2:47,167,YQZuXCkBvuQ,INDIFFERENT,False
6,Source,Djantrix,Source,6:47,407,l-JUCqppU1I,INDIFFERENT,False
7,You & Me,Max Styler,You & Me,3:35,215,ecKnKOQS8Qk,INDIFFERENT,False
8,So Hï,KREAM,So Hï,3:33,213,9PK3T7Y_PE8,INDIFFERENT,False
9,Planisphere Part. II,Justice,Planisphere,2:18,138,m_5bDlvHj_Q,INDIFFERENT,False
10,Duties of the Hearts,Lifeforms,Trance for Nations 14 (Compiled by Astrix),6:53,413,hDZsAPst7oA,INDIFFERENT,False
11,DEFIANT ORDER,Birdy Nam Nam,Defiant Order,3:42,222,zqmbAN_q3x8,INDIFFERENT,False
12,Finale (feat. Nicholas Petricca),Madeon,Adventure (Deluxe),3:25,205,2sOlt8vddwo,INDIFFERENT,False
13,gravity,all things break,gravity,3:51,231,VrSFMyEso-M,INDIFFERENT,False
14,"Molecular Superstructure (Remastered, 2019)",Shpongle,"Nothing Lasts...but Nothing Is Lost (Remastered, 2019)",4:48,288,co55sXN2pZQ,INDIFFERENT,False
15,Agate,Astrix & Ritmo,Astrix - He.art,8:44,524,vjxU0mJplnI,INDIFFERENT,False
16,It Doesn't Matter,The Toxic Avenger,Yes Future (Extended),4:39,279,Nr7_6U6WBVA,INDIFFERENT,False
17,Let It Go,"MA:RK, NOTSOBAD",Let It Go,3:17,197,tJp1beSCmK0,INDIFFERENT,False
18,The Order,Kick Puncher,LiveDieRepeat,3:47,227,KtuGqCKM-BM,INDIFFERENT,False
19,Edge of Desire,"Jonas Blue, Malive",Edge of Desire,2:15,135,91ArCmT8cF0,INDIFFERENT,False
20,Calling for Peace,Electric Universe & Faders,Calling for Peace,9:00,540,3XhrtNTGwRk,INDIFFERENT,False
21,Balance,"NORTH, Wilkinson",Balance,3:14,194,TRkd3IkYt6c,INDIFFERENT,False
22,Micro Music,Sonic Species & Relativ,Micro Music,7:47,467,QSWzLGgRF8c,INDIFFERENT,False
23,Hard Dreams,"Gesaffelstein, Yan Wagner",Gamma,2:51,171,SLVQg8PkvKY,INDIFFERENT,False
24,Challengers [MIXED],"Boys Noize, Trent Reznor & Atticus Ross",Challengers [MIXED] by Boys Noize,3:01,181,ZcrJXJ0P8rY,INDIFFERENT,False
25,Consciousness (Sonic Species Remix),Liquid Soul,The Awakening,6:32,392,CTcoACMHvWc,INDIFFERENT,False
26,It's Time,Avalon,Rise,6:38,398,ha68yWbzIFY,INDIFFERENT,False
27,Time To Dance (SebastiAn Remix),"Anthonin Ternant, The Shoes",Crack My Bones,3:25,205,8S2LKUj759A,INDIFFERENT,False
28,Say Goodbye,Querox,How Life Goes On,8:44,524,SK7QPSHm0gI,INDIFFERENT,False
29,Miracle,"Blazy, Durs, Neelix",Miracle,6:38,398,-nk0BacuWDM,INDIFFERENT,False
30,Hanumam,Pandora,Essência,3:52,232,lWQPBaswYMw,INDIFFERENT,False
31,Falling,Tonic Walter,Falling,3:45,225,YvYXVbedfVU,INDIFFERENT,False
32,Dimension of Music,"Symphonix, Taylor Marie",Dimension of Music,7:39,459,IoeMVlD6ufs,INDIFFERENT,False
33,Salted Caramel Ice Cream,Metronomy,Metronomy Forever,3:31,211,fYpJOTXG7gA,INDIFFERENT,False
34,Flux Capacitor,"GMS, Shanti V Deedrah",Trance for Nations 14 (Compiled by Astrix),6:27,387,ee9_oMs2_5Y,INDIFFERENT,False
35,Shade,"Dekel, Shtuby",Shade,12:51,771,Uf4rmpa7IMA,INDIFFERENT,False
36,Magic Portal,"Alpha Portal, Magik",Full Throttle,6:47,407,Mv05ckyuFEk,INDIFFERENT,False
37,In Between Captain Hook Remix,"Ace Ventura, Gaudium",In Between,7:18,438,VRrxdYiRx8s,INDIFFERENT,False
38,Tell Me Why (MEDUZA Remix),Supermode & MEDUZA,Tell Me Why (MEDUZA Remix),2:52,172,VeGBIjyA40M,INDIFFERENT,False
