videoId,title,artists,album,duration,duration_seconds,first_seen,last_seen,times_recommended,latest_position,likeStatus,inLibrary
Rw6FChzdhOM,Crydajam - Playground,Crydamoure,,5:29,329,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,30,INDIFFERENT,False
p2yjrVV-76Y,Thomas Bangalter - Ventura,theaxelF1,,5:49,349,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,52,INDIFFERENT,False
PqpDnOYEGuw,Le patron est devenu fou (Radio Edit),Etienne de Crécy,Le patron est devenu fou,3:51,231,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,80,INDIFFERENT,False
4sjcSxX6WNI,De Semaine En Semaine,Paradis,Recto Verso,5:42,342,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,85,INDIFFERENT,False
XG5s_s8R1fo,Slow Love (Alan Braxe Remix),Gigamesh,Time Travel Remixes,4:39,279,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,88,INDIFFERENT,False
tle4ET-2O8A,Three Times Seven,Doc & Merle Watson,Elementary Doctor Watson,2:21,141,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,101,INDIFFERENT,False
6us9R7nebmI,All I Ever Need Is You,"Chet Atkins, Jerry Reed",Me And Chet,2:10,130,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,103,INDIFFERENT,False
kbU5Sp_aO68,Windy and Warm,Doc & Merle Watson,Sittin' Here Pickin' the Blues,2:12,132,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,105,INDIFFERENT,False
WTHZdsooluQ,I'll See You In My Dreams,Merle Travis,Strictly Guitar,1:58,118,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,106,INDIFFERENT,False
uxW67_Yia-U,Fast Bluegrass Banjo,Country As Folk,Bluegrass Essentials,1:09,69,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,111,INDIFFERENT,False
o1jflbFfLXI,Matchbox,Diego Czainik,Cherry red,2:47,167,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,123,INDIFFERENT,False
pgufTUefVB8,Done Got Old,Junior Kimbrough,First Recordings,2:41,161,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,129,INDIFFERENT,False
lrJ9rZGfQ-w,"Bonaparte Crossing The Rhine, Going Down The Valley",Norman And Nancy Blake,While Passing Along This Way,4:43,283,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,135,INDIFFERENT,False
p5nPXbPTEHM,Nut Sundae,"Chet Atkins, Jerry Reed",Me And Jerry,2:40,160,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,203,INDIFFERENT,False
yR5EEcanGfY,Guitar Rag,Merle Travis,Strictly Guitar,2:16,136,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,206,INDIFFERENT,False
27Qn1PQ7T0k,Carroll County Blues,Doc & Merle Watson,Sittin' Here Pickin' the Blues,2:55,175,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,207,INDIFFERENT,False
3U2ndKyjCLc,Bonaparte's Retreat,Doc & Merle Watson,Then and Now,2:03,123,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,306,INDIFFERENT,False
ST-R2rF9By8,Multiple Futures,"Flegma, Volcano",Multiple Futures,6:55,415,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,349,INDIFFERENT,False
NE7Li4dC9PQ,Untz Untz,"Dimitri Vegas & Like Mike, Liquid Soul, Vini Vici",Untz Untz,3:19,199,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,356,INDIFFERENT,False
-KAR2lgOZgQ,Cannonball Rag,"Chet Atkins, Jerry Reed",Me And Jerry,2:14,134,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,404,INDIFFERENT,False
JbmP3xA8O_U,Walkin' Blues,Blind Snooks Eaglin,That's All Right,3:14,194,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,407,INDIFFERENT,False
5ONeU_EYHZ8,Magic Mushrooms,1200 Micrograms,1200 Micrograms,7:45,465,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,416,INDIFFERENT,False
5VhokOvIUKQ,Bazinga,Ajja,Tulpa,8:17,497,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,421,INDIFFERENT,False
Mv05ckyuFEk,Magic Portal,"Alpha Portal, Magik",Full Throttle,6:47,407,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,449,INDIFFERENT,False
o2ugE70YJ_M,Scream,The Movement,Set Sail,3:58,238,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,480,INDIFFERENT,False
3TkQ4qtIzDs,Interplanetary Soul,Alienatic,Creative Soul,9:40,580,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,482,INDIFFERENT,False
_09hy0cg5VY,Legendary 3rd Power,The Enigma Tng,Z Themes,3:19,199,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,486,INDIFFERENT,False
rjHnu7mIsUo,I Saw The Light,"Chet Atkins, Jerry Reed",Me And Chet,3:23,203,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,494,INDIFFERENT,False
28v2PQpbMxc,Blue Bell (Instrumental),Merle Travis,The Merle Travis Guitar,2:21,141,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,495,INDIFFERENT,False
t6tKHM-tucg,Monday Morning Blues (Live),Mississippi John Hurt,The Best Of,4:00,240,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,497,INDIFFERENT,False
vd5_XUT5McU,Jody and the Kid,Kris Kristofferson,The Silver Tongued Devil and I,3:06,186,2026-09-12T11:05:11Z,2026-09-12T11:05:11Z,1,498,INDIFFERENT,False
lNvVwMgJCw8,"Trouble, I've Had It All My Days",Mississippi John Hurt,Last Sessions,3:05,185,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,10,INDIFFERENT,False
JcxpUXDJcaE,Koda,Emancipator,Koda,3:01,181,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,38,INDIFFERENT,False
gwJZcNNxdck,Rollin' Stone,Muddy Waters,The Best Of Muddy Waters,3:08,188,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,69,INDIFFERENT,False
bJ_7nYEpkBo,Cross Road Blues,Robert Johnson,King of the Delta Blues Singers (1961),2:29,149,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,23,INDIFFERENT,False
RHw1ugBLS5g,Canned Heat Blues,Tommy Johnson,Canned Heat Blues,3:40,220,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,142,INDIFFERENT,False
4Z6Lr9nCQMI,John the Revelator,Son House,Father Of The Delta Blues: The Complete 1965 Sessions,2:30,150,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,44,INDIFFERENT,False
wo3a7TCczWA,Cocaine Blues,Rev. Gary Davis,Pure Religion and Bad Company,2:43,163,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,121,INDIFFERENT,False
NBSvdXiv0lQ,Tennessee Stud,"Chet Atkins, Jerry Reed",Me And Jerry,3:10,190,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,47,INDIFFERENT,False
IVZXRTRKbrY,Shake 'Em On Down,Bukka White,The Sonet Blues Story,3:31,211,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,173,INDIFFERENT,False
sdytu2e3v6Y,Pony Blues (2010 Remastered),Charlie Patton,Founder of the Delta Blues (2010 Remastered),3:02,182,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,36,INDIFFERENT,False
54lCSinwoJY,Key to the Highway,Big Bill Broonzy,Vol. 1: The Pre-War Years,3:03,183,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,137,INDIFFERENT,False
6IjPmIEgeIU,Midnight Special (Remastered 2002),Leadbelly (Huddie Ledbetter),Take This Hammer - The Complete RCA Victor Recordings - When The Sun Goes Down Series,3:06,186,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,51,INDIFFERENT,False
o5S4RpdSIYs,Hangman's Blues,Blind Lemon Jefferson,Blind Lemon Jefferson,3:02,182,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,318,INDIFFERENT,False
am6DDZI3yQw,Leavin' Blues (2025 Remastered),Lightnin' Hopkins,A Man Like Me Is Hard To Find (Rarities And Gems) (2025 Remastered),2:30,150,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,163,INDIFFERENT,False
FOKI5hDtH90,Disco Valley (Outsiders & Volcano Remix),Astrix,Dimension 005 (Compiled by Alpha Portal),8:52,532,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,98,INDIFFERENT,False
M3WqOP9ltdU,Meadowlark,Headlund,That Old Place,2:01,121,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,101,INDIFFERENT,False
iJ1qgCC4h8Q,Five Tribes,Hunter Quinn,Rambles,2:23,143,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,102,INDIFFERENT,False
xnFCgrrCV8c,Desert Storm,Northside,Hideout,3:25,205,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,104,INDIFFERENT,False
F2wbmOJcQXQ,Sun Pillar,Andy Thorn,Songs of the Sunrise Fox,1:55,115,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,105,INDIFFERENT,False
_MZKbJIhPCk,Mountain Banjo,Rhiannon Giddens,The Music of Red Dead Redemption 2 (Original Soundtrack),2:42,162,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,106,INDIFFERENT,False
H9bbNJT_RsE,Spike Driver Blues,Mississippi John Hurt,Folk Songs and Blues,3:16,196,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,205,INDIFFERENT,False
52HxNaTBAjU,The Cuckoo,Doc & Merle Watson,Ballads From Deep Gap,2:51,171,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,202,INDIFFERENT,False
yOad7gNImac,Bowling Green,The Kossoy Sisters,Bowling Green and Other Folk Songs from the Southern Mountains,2:14,134,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,109,INDIFFERENT,False
HVHT1Ylw9dI,Come On In My Kitchen,Robert Johnson,King Of The Delta Blues Singers,2:53,173,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,211,INDIFFERENT,False
5zJgZn2E-UY,Cumberland Gap,Pharis & Jason Romero,A Passing Glimpse,3:27,207,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,112,INDIFFERENT,False
XuASgQABb5w,Johnny Laddie,Sam Shackleton,Johnny Laddie,2:40,160,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,113,INDIFFERENT,False
UjEYGsWv5AY,Haystack,Biddy Sullivan,Peaceful Escape,2:02,122,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,114,INDIFFERENT,False
J1OPWKEEpRU,Labour of Love (feat. Ben McCullough),Jono Grant,Hardspace: Shipbreaker (Original Soundtrack),2:43,163,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,115,INDIFFERENT,False
Wr9_SxBgMII,Undone in Sorrow,Ola Belle Reed,Rising Sun Melodies,3:21,201,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,116,INDIFFERENT,False
9uTDWA64GrQ,Cindy,Frank Proffitt,Frank Proffitt Sings Folk Songs,2:17,137,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,117,INDIFFERENT,False
V3KLYgbxkFM,The Coalminer,Faoileán,Far Hills,2:53,173,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,119,INDIFFERENT,False
3-As-ibh--4,A Better Son,Hatchet Field,Gather Them Home,3:45,225,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,120,INDIFFERENT,False
lP1VRvOPyqM,Susan's Gone,Dirk Powell,Appalachian Picking Society,3:45,225,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,123,INDIFFERENT,False
TktEm6wYWPA,Sittin' On Top Of The World,Water Tower,Sittin' On Top Of The World,2:38,158,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,124,INDIFFERENT,False
H92Hf961dzo,Scuzzlebutt - The Spriggan [Clawhammer Banjo / Dark Folk],Scuzzlebutt,,4:30,270,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,126,INDIFFERENT,False
UvB4CDyqQqI,Lonesome John,Murphy Campbell,Murphy Campbell,3:56,236,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,127,INDIFFERENT,False
9-_d5On4wS8,The Limerick Rake,The Wran,The Limerick Rake,3:57,237,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,128,INDIFFERENT,False
ZeY4MdalYyM,Bold Jack Donahue,Brodie Buttons,Sit Back and Endure,3:16,196,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,129,INDIFFERENT,False
th9dMAPKZDs,Dry and Dusty,Brittany Haas,Brittany Haas,3:53,233,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,130,INDIFFERENT,False
UoNoZcYPLNU,Rueben's Train,Meredith Moon,Forest Far Away,2:46,166,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,131,INDIFFERENT,False
0ZaaRu6alPg,Count the Wicked,Mama's Broke,Count the Wicked,3:07,187,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,133,INDIFFERENT,False
oTdj7bveZyg,Troubles,The Onlies,The Onlies,2:36,156,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,135,INDIFFERENT,False
kfY-Cu0DmiQ,Rocky Road to Dublin,Chance McCoy and The Appalachian String Band,Debut,1:36,96,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,136,INDIFFERENT,False
Ep3oLlP_PE0,Cold Frosty Morning,The Wayfarers,Fire on the Hillside,2:41,161,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,138,INDIFFERENT,False
NTZEruwvXLU,Kadisha,The Trials of Cato,Hide and Hair,5:06,306,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,139,INDIFFERENT,False
Z7MMz5hINBI,Appalachian Spirit,Roy Edwin Williams,Appalachian Spirit,2:56,176,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,140,INDIFFERENT,False
7m5FZjq9Kx8,Freight Train Blues,Mississippi Fred McDowell,Hillbilly Folk,3:08,188,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,136,INDIFFERENT,False
d0Fwturldjk,The Old Man,Dave Van Ronk,No Dirty Names,1:38,98,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,71,INDIFFERENT,False
nebHh05yAao,Kitten in the Corn,Lo & the High Road,Jackalope Tales,1:32,92,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,144,INDIFFERENT,False
wy3ugz4S2y0,Death Letter Blues,Son House,Father Of The Delta Blues: The Complete 1965 Sessions,4:20,260,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,222,INDIFFERENT,False
05ypnm_Wcls,Devil Got My Woman,Skip James,Presenting Skip James,3:00,180,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,131,INDIFFERENT,False
Fh7pR4nQxF8,Ballad of Lowis Lane,Dakota Ray Parker,Ballad of Lowis Lane,2:57,177,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,156,INDIFFERENT,False
RPW5gjUFMi0,Cosmic Wanderer,Space Banjo,Cosmic Wanderer,5:45,345,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,162,INDIFFERENT,False
eEoW1uLQvQA,Mississippi Blues,William Brown,Mississippi Blues & Gospel 1934 - 1942,6:11,371,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,164,INDIFFERENT,False
dnuGh7I-nXE,See That My Grave Is Kept Clean,Blind Lemon Jefferson,King Of The Country Blues,2:50,170,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,215,INDIFFERENT,False
KK6sZdGnRxI,Sandman,Common Saints,Cinema 3000,4:14,254,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,252,INDIFFERENT,False
5HZx9jvDF2A,Marching Jaybird,"Justin Robinson, Rhiannon Giddens",What Did the Blackbird Say to the Crow,2:18,138,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,202,INDIFFERENT,False
nEVYKfsQYDY,Goodnight Irene,Mississippi John Hurt,Last Sessions,2:26,146,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,406,INDIFFERENT,False
aMRdFkkTbNI,Frostbite,Atillion,Frostbite,2:18,138,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,204,INDIFFERENT,False
2bhZXJwc0kY,Fox's Lullaby,Andy Thorn,Fox's Lullaby,2:46,166,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,205,INDIFFERENT,False
hZ43_8g-y5w,Find a Jig,Hunter Quinn,Rambles,2:25,145,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,206,INDIFFERENT,False
P2JBP4hxAPs,Holding On (Tension Remix),Traz Damji & Ben McCullough,Hardspace: Shipbreaker (Original Soundtrack),2:56,176,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,208,INDIFFERENT,False
d1jDVdlhz0k,Terraplane Blues,Robert Johnson,King Of The Delta Blues Singers,3:02,182,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,109,INDIFFERENT,False
qdDVrAfEJGg,Flannery's Dream,Adam Hurt,Earth Tones,2:23,143,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,210,INDIFFERENT,False
dP68ZzP7zmc,Bash Bash Bash,Ispíní na hÉireann,The Hard Working Men,2:22,142,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,211,INDIFFERENT,False
CzHMoiWnd7w,MacPherson's Rant,Sam Shackleton,Scottish Folk Ballads of Freedom,3:11,191,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,215,INDIFFERENT,False
OFOotJ0emlw,I'm So Glad (1994 Remastered),Skip James,The Complete Early Recordings 1930 (1994 Remastered),2:50,170,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,213,INDIFFERENT,False
sLyI-LGJc1k,Leave The Bodies Where They Lay,Hatchet Field,Beneath The Black Mountain,6:12,372,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,218,INDIFFERENT,False
hdlmv_yU0-s,An Bradán Feasa / Gan Ainm / The Changeling,Faoileán,An Bradán Feasa / Gan Ainm / The Changeling,4:26,266,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,220,INDIFFERENT,False
Z33-O8IhjjQ,Special Rider Blues,Son House,Echoes from the Delta - Son House 1940-42 The Formative Years,3:08,188,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,157,INDIFFERENT,False
Xtcalc4PC7I,Back to Land,Wooden Shjips,Back to Land,5:18,318,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,271,INDIFFERENT,False
KOHJ1GEUGyc,Veridis Quo (Medieval Style Bardcore),Courseval,Veridis Quo (Medieval Style Bardcore),5:09,309,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,259,INDIFFERENT,False
3Zk1ghru0F0,Egyptic,Beats Antique,Blind Threshold,5:50,350,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,272,INDIFFERENT,False
niKlBPLht-4,Christopher Ladex - ELEPHANT,Christopher Ladex,,2:16,136,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,266,INDIFFERENT,False
t2RJdVomOj4,Future Blues,Willie Brown,American Epic: The Collection,2:58,178,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,190,INDIFFERENT,False
TnXMuBTTpmY,Earth Walkers (feat. Biko Casini),"Bloomurian, Liquid Bloom, Share The Light",Earth Walkers,5:41,341,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,364,INDIFFERENT,False
SVE98UUVU5g,Appalachian Smoke,Mountain Grass Unit,Mountain Grass Unit,3:25,205,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,258,INDIFFERENT,False
iaEvLKsybUE,Dimension,"Liquid Soul, Omiki, Vini Vici",Dimension,3:33,213,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,292,INDIFFERENT,False
-9z-LOJ4rm8,Seminole Land,Hunter Quinn,Rambles,2:19,139,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,303,INDIFFERENT,False
wczqIMdqWKc,Red Sun Salutation,Andy Thorn,Songs of the Sunrise Fox,2:44,164,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,304,INDIFFERENT,False
o4h064cn1WY,D&D Voltaag's Reckoning,Atillion,D&D Voltaag's Reckoning,3:07,187,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,305,INDIFFERENT,False
bTwwUnooRNw,One Day Longer (feat. Ben McCullough),Traz Damji,Hardspace: Shipbreaker (Original Soundtrack),3:07,187,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,310,INDIFFERENT,False
zmR7jjOoFOw,Preachin' Blues,Son House,The Original Delta Blues (Mojo Workin': Blues For The Next Generation),5:44,344,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,317,INDIFFERENT,False
EEpJ7Jqptms,Bayan,Vegas (Brazil) & Becker,Bayan,5:39,339,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,362,INDIFFERENT,False
74Pgax6kSLk,Hares on the Mountain,Faoileán,Hares on the Mountain,5:59,359,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,322,INDIFFERENT,False
1Tp9Q4tybP4,Still Night,Pretty Lights,Glowing in the Darkest Night,5:32,332,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,399,INDIFFERENT,False
tnfhaPPwOjg,Lost Paradise,GroundBass,Lost Paradise,9:17,557,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,350,INDIFFERENT,False
DJ5gFSJPLc8,Light it Up,ATYYA,Light it Up,3:16,196,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,369,INDIFFERENT,False
x0WFSPaTYUs,Mess in the Head,Symphonix,Mess in the Head,4:41,281,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,339,INDIFFERENT,False
YyZZx0KF01s,Psychic Experience,Ace Ventura,Rebirth,9:17,557,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,430,INDIFFERENT,False
jadghotitsU,Ozone,Paperdeer,Ozone,5:52,352,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,368,INDIFFERENT,False
QiCCniiZ77U,Free Mind,Tash Sultana,Flow State,3:26,206,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,329,INDIFFERENT,False
ZHI-_fMoMIM,Shoplifter,Ty Segall,Possession,3:33,213,2026-09-12T11:03:22Z,2026-09-12T11:05:11Z,2,249,INDIFFERENT,False
