position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,Chrome.exe,Digitalism,JPEG,2:47,167,Od9vIc_Qzgo,INDIFFERENT,False
2,Sh5b0mbe,Boys Noize,HYYTUP / Sh5b0mbe,3:06,186,92ytrKRNmOs,INDIFFERENT,False
3,Signatune,DJ Mehdi,Lucky Boy,1:05,65,C1h_SYc_OkA,INDIFFERENT,False
4,Intro,The Chemical Brothers,For That Beautiful Feeling,1:10,70,TiFB31rww08,INDIFFERENT,False
5,Somebody New,The Amplifetes,The Amplifetes,3:37,217,Mu9FEcU3Iu0,INDIFFERENT,False
6,Transistor,Kavinsky,Teddy Boy,1:26,86,0fcdmu-pg5k,INDIFFERENT,False
7,Planisphere Part. II,Justice,Planisphere,2:18,138,m_5bDlvHj_Q,INDIFFERENT,False
8,Freak,feeble little horse,Girl with Fish,1:48,108,0NeUO6nDtqU,INDIFFERENT,False
9,"Aerodynamic Beats / Gabrielle , Forget About the World",Daft Punk,Alive 2007,3:32,212,sP8pIospPig,INDIFFERENT,False
10,À cause des garçons (Tepr Remix Edit),Yelle,Pop-Up (Extended Version),2:55,175,f_TJvjc4e-I,INDIFFERENT,False
11,Synrise (Soulwax Remix),GOOSE,Synrise (10 Year Anniversary Edition),3:43,223,A0vVCpAp3ek,INDIFFERENT,False
12,Positif,Mr Oizo,Lambs Anger,2:52,172,zD8vk70Uj8c,INDIFFERENT,False
13,DEFIANT ORDER,Birdy Nam Nam,Defiant Order,3:42,222,zqmbAN_q3x8,INDIFFERENT,False
14,Fade Away (feat. Joe Reeves),Vitalic,Rave Age,4:29,269,6vPS1G3U37c,INDIFFERENT,False
15,Intro,"Alan Braxe, Fred Falke",Running,4:55,295,z3uLFiWLvHA,INDIFFERENT,False
16,Judgement,kensuke ushio,DEVILMAN crybaby (Original Soundtrack),1:46,106,8J6MwUpSU3M,INDIFFERENT,False
17,Time To Dance (SebastiAn Remix),"Anthonin Ternant, The Shoes",Crack My Bones,3:25,205,8S2LKUj759A,INDIFFERENT,False
18,Release Me,Vick Vapors,Release Me,4:00,240,cX0vASsCQc4,INDIFFERENT,False
19,Aside with You,The Toxic Avenger,Missions,3:42,222,nqI8hwmj1yw,INDIFFERENT,False
20,Triumph,LYNY & Cozy Kev,Noise To Dance To,2:22,142,RlTfa2mxLvM,INDIFFERENT,False
21,Vagabond (Liberty City Mix),Greenskeepers,Vagabond Remixes,3:01,181,SBXnK-AfdOM,INDIFFERENT,False
22,Mr. Croissant Taker,Transistorcake,Mr. Croissant Taker,4:29,269,pO6C3xTrZi8,LIKE,False
23,Overdrive,Lazerhawk,Redline,4:32,272,5dNP-a-XXx0,INDIFFERENT,False
24,Silver Screen (Shower Scene),Felix Da Housecat,Kittenz and Thee Glitz,4:41,281,aZ49Hoea9IU,INDIFFERENT,False
25,Pacific Coast Highway,Fukkk Offf,Pacific Coast Highway,3:25,205,d3buxWUSJZ4,INDIFFERENT,False
26,Up All Night,Beck,Colors,3:11,191,0ZJ9PNtmRCs,INDIFFERENT,False
27,Day Stalker,Carpenter Brut,Leather Terror,3:45,225,rDQGieROK_w,INDIFFERENT,False
28,Brain Leech (bugged mind remix),Alex Gopher,Brain Leech #2,5:54,354,DnjKCqBgX9c,INDIFFERENT,False
29,Cassius 1999 (Radio Edit),Cassius,1999 (Deluxe Edition),3:42,222,J8fMAXnDocs,INDIFFERENT,False
30,Freaks,Surf Curse,Freaks,2:28,148,cYT325Fe9zU,INDIFFERENT,False
31,The Hooper,netshrub,Midnight Hoops (Original Soundtrack),1:43,103,x0cPZB3-lKM,INDIFFERENT,False
32,Raining Steel,Perturbator,I Am the Night,4:10,250,50M6VHse5ik,INDIFFERENT,False
33,Lupine Dominus,Thee Oh Sees,Putrifiers II,3:29,209,rt5bybIbgjI,INDIFFERENT,False
34,Around the World (La La La La La),A Touch of Class,Planet Pop,3:35,215,pSVbF6DGH9U,INDIFFERENT,False
35,The Origin of Troubles,College,Old Tapes,4:39,279,OyE_HxhbJX4,INDIFFERENT,False
36,Pursuit,Gesaffelstein,Aleph,4:08,248,1ExdigjJmaA,INDIFFERENT,False
37,Love In Motion (feat. Mayer Hawthorne),SebastiAn,Total,3:06,186,cMMxXF33Wpw,INDIFFERENT,False
38,Miserable Girl,Soulwax,Nite Versions,4:44,284,b9oUWYSp4Qk,INDIFFERENT,False
39,Fly,Uppermost,Evolution,4:24,264,R8V5vhKLZ-4,INDIFFERENT,False
40,Heartbreaker (feat. John Legend),MSTRKRFT,Heartbreaker,3:13,193,UWQFVjQ0h7w,INDIFFERENT,False
41,Knock You Out (Andy George Remix),Black Noise,EP.01,4:23,263,XpBc9EFFSbU,INDIFFERENT,False
42,Emerge,Fischerspooner,Emerge 2020,4:47,287,qB8IUUePS3Y,INDIFFERENT,False
43,Gare Du Nord,Carte Blanche,Black Billionaires,4:00,240,Dm1V6_MqMJI,INDIFFERENT,False
44,Ghosts 'n' Stuff,deadmau5,For Lack of a Better Name,3:15,195,oz7-7ouXUJU,INDIFFERENT,False
45,Phat Planet,Leftfield,Rhythm and Stealth,5:24,324,yst_-HXWIm0,INDIFFERENT,False
46,Red Sun,Jason Miller,METAL GEAR RISING REVENGEANCE Vocal Tracks Selection,2:14,134,23oZbJNSd0s,INDIFFERENT,False
47,Gabriel (Soulwax Remix),"Joe Goddard, Valentina",Gabriel Remixes II,4:31,271,XEVBRIA-4tA,INDIFFERENT,False
48,Poison (95EQ),The Prodigy,Poison,4:02,242,bomiK_K7aIc,INDIFFERENT,False
49,INVISIBLE,Duran Duran,FUTURE PAST,3:12,192,NRtnUVaRwXM,INDIFFERENT,False
50,A Stranger I Remain,Free Dominguez,METAL GEAR RISING REVENGEANCE Vocal Tracks Selection,2:26,146,fY97V9NvSjA,INDIFFERENT,False
51,Rainbow Man,Busy P,ED REC Vol.2,3:33,213,iPpmig9WC-g,INDIFFERENT,False
52,Theia,King Gizzard & The Lizard Wizard,The Silver Cord,3:25,205,jWJuIsWnrZ0,INDIFFERENT,False
53,Music Sounds Better With You (Radio Edit),Stardust,Music Sounds Better With You,4:21,261,hRvrj_diWYQ,INDIFFERENT,False
54,Klapp Klapp,Little Dragon,Nabuma Rubberband,3:38,218,uLUNzp0k5S0,INDIFFERENT,False
55,Miami Showdown,Digitalism,"I Love You, Dude",3:27,207,m-wDiCRMl_c,INDIFFERENT,False
56,The Only Thing I Know For Real,Tyson Yen,METAL GEAR RISING REVENGEANCE Vocal Tracks Selection,2:27,147,CXRxRTW6nXg,INDIFFERENT,False
57,HYYTUP,Boys Noize,HYYTUP / Sh5b0mbe,3:18,198,QUeCbL-lBpY,INDIFFERENT,False
58,ProtoVision,Kavinsky,OutRun (US Version),3:26,206,4pjV8zZWzXg,INDIFFERENT,False
59,Poison Lips,Vitalic,Flashmob,3:55,235,-QHrsvl7T4s,INDIFFERENT,False
60,We Are Your Friends (Justice Vs Simian),"Justice, Simian",We Are Your Friends,4:23,263,yYkpN9Uoaiw,INDIFFERENT,False
61,Block Rockin' Beats (Don Diablo Remix),The Chemical Brothers,Block Rockin' Beats (Don Diablo Remix),3:08,188,vVugEKnr5-Y,INDIFFERENT,False
62,Raindrops,Basement Jaxx,Scars,4:10,250,bKZz_iFGVL4,INDIFFERENT,False
63,"4'18"" 'Till the End",The Toxic Avenger,"Globe, Vol. 1",4:18,258,8XzT1gp-rzU,INDIFFERENT,False
64,究極奥義 - Ultimate Secrets,MUSASHI PROJECT,NARUTO ORIGINAL SOUNDTRACK 3,2:07,127,A0BcVuVHRGw,INDIFFERENT,False
65,Phoenix,Daft Punk,Homework,4:58,298,ADdaooPZG50,INDIFFERENT,False
66,Le perv,Carpenter Brut,TRILOGY,4:17,257,1bmO_ZnTUrc,INDIFFERENT,False
67,Electric Feel (Justice Remix),MGMT,Electric Feel (Justice Remix),5:28,328,6QL_bUCuhvo,INDIFFERENT,False
68,Warp 1.9 (feat. Steve Aoki),The Bloody Beetroots,ROMBORAMA,3:24,204,X2bDlt9uSK0,INDIFFERENT,False
69,Colors,Beck,Colors,4:22,262,crI88tZxKO0,INDIFFERENT,False
70,Pogo,Digitalism,Idealism,3:47,227,JUUNHisjb0s,INDIFFERENT,False
71,Obsession,Gesaffelstein,Aleph,4:10,250,g-3D9LQu8BQ,INDIFFERENT,False
72,スターダストクルセイダース - Stardust Crusaders,Yugo Kanno,JOJO'S BIZARRE ADVENTURE -Stardust Crusaders O.S.T [Departure],5:08,308,wtrFQLivuCg,INDIFFERENT,False
73,I want to do nothing,Josay,I want to do nothing,1:31,91,EC8H2ikgKuw,INDIFFERENT,False
74,Wayfarer,Kavinsky,1986,4:30,270,TbV6kpl6yl0,INDIFFERENT,False
75,Over And Over,Hot Chip,The Warning,5:48,348,hl8JLyhgZRE,INDIFFERENT,False
76,Distort Me,Boys Noize,"Strictly Raw, Vol. 2",3:19,199,j93ex73HP-U,INDIFFERENT,False
77,Stamina,Vitalic,Rave Age,3:43,223,kMy0wBHNB14,INDIFFERENT,False
78,Canon x Love S.O.S. (WWW),Justice,Woman Worldwide,4:48,288,e757Pt-r8qQ,INDIFFERENT,False
79,Do It Again (Edit),The Chemical Brothers,Do It Again,3:43,223,WHCgYGFeYS4,INDIFFERENT,False
80,Da Funk / Daftendirekt,Daft Punk,Alive 2007,6:37,397,uaumM3VcjoA,INDIFFERENT,False
81,Turbo Killer,Carpenter Brut,TRILOGY,3:29,209,YWIviF4rYcc,INDIFFERENT,False
82,Getting Started,The Toxic Avenger,Yes Future (Extended),5:59,359,kv-2nb0Z0nI,INDIFFERENT,False
83,King of the Streets,Lazerhawk,Skull and Shark,4:58,298,JLgP1aHCBcM,INDIFFERENT,False
84,Walkman,SebastiAn,Ross Ross Ross,5:00,300,R5RlvkrBK6M,INDIFFERENT,False
85,Happy Up Here,Röyksopp,Junior,2:44,164,WiV50X8xjSM,INDIFFERENT,False
86,Orck,Gesaffelstein,Novo Sonic System,3:09,189,hrdw52m7kHw,INDIFFERENT,False
87,Fire Like This,Hardknox,Hardknox,4:39,279,o_oAh1n8Als,INDIFFERENT,False
88,The Bloody Beetroots - dimmakmmunication,jimichunga21,,3:32,212,ltxZWZzFKt0,INDIFFERENT,False
89,Flat Beat (Radio Edit),Mr. Oizo,Analog Worms Attack,5:17,317,aP1PrVeBiIA,INDIFFERENT,False
90,Devilman No Uta,kensuke ushio,DEVILMAN crybaby (Original Soundtrack),3:06,186,BLXq9D0RuGw,INDIFFERENT,False
91,Hollow Purple,Alisa Okehazama,Jujutsu Kaisen (Original Television Soundtrack),3:53,233,zcQvAy3oi0E,INDIFFERENT,False
92,Testarossa Nightdrive,Kavinsky,Teddy Boy,3:29,209,YCwGmDSwkq0,INDIFFERENT,False
93,Rock the Bells,Boys Noize,Mayday,2:52,172,i3sQCgtBEoc,INDIFFERENT,False
