position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,DEFIANT ORDER,Birdy Nam Nam,Defiant Order,3:42,222,zqmbAN_q3x8,INDIFFERENT,False
2,Astral Pancakes (Soundaholix Remix),Hallucinogen,Raw Material,7:39,459,9JVVLm0bYJo,INDIFFERENT,False
3,Aloo,Devochka,No Sense,3:48,228,Fpzgs-4JLb8,INDIFFERENT,False
4,Broken Boy,Cage The Elephant,Social Cues,2:44,164,JYRm1XW3LQY,INDIFFERENT,False
5,Intro,"Alan Braxe, Fred Falke",Running,4:55,295,z3uLFiWLvHA,INDIFFERENT,False
6,Somebody New,The Amplifetes,The Amplifetes,3:37,217,Mu9FEcU3Iu0,INDIFFERENT,False
7,how would you know,second thoughts,how would you know,2:58,178,foQkz4JjArA,INDIFFERENT,False
8,Finale (feat. Nicholas Petricca),Madeon,Adventure (Deluxe),3:25,205,2sOlt8vddwo,INDIFFERENT,False
9,Time To Dance,"Anthonin Ternant, The Shoes",Crack My Bones,3:17,197,Z26l5PmwQmI,INDIFFERENT,False
10,Stamina,Vitalic,Rave Age,3:43,223,kMy0wBHNB14,INDIFFERENT,False
11,Miami Showdown,Digitalism,"I Love You, Dude",3:27,207,m-wDiCRMl_c,INDIFFERENT,False
12,Miracle,"Blazy, Durs, Neelix",Miracle,6:38,398,-nk0BacuWDM,INDIFFERENT,False
13,Cyber Space,Symbolic,Psychedelic Awakening,8:07,487,Ca6xSPQ8VLQ,INDIFFERENT,False
14,Freak,feeble little horse,Girl with Fish,1:48,108,0NeUO6nDtqU,INDIFFERENT,False
15,I Know You,St. Julien,I Know You,2:28,148,zpopTIaVFQg,INDIFFERENT,False
16,Mr. Croissant Taker,Transistorcake,Mr. Croissant Taker,4:29,269,pO6C3xTrZi8,LIKE,False
17,À cause des garçons (Tepr Remix Edit),Yelle,Pop-Up (Extended Version),2:55,175,f_TJvjc4e-I,INDIFFERENT,False
18,Robot Tune,French Class,French Class,2:11,131,tUTXb5pevm8,INDIFFERENT,False
19,Eternal Valley,Asgard,Trance for Nations 14 (Compiled by Astrix),8:25,505,RT1zCzBO48I,INDIFFERENT,False
20,Sahardnieh,Angine de Poitrine,Vol.1,4:14,254,aZLo6DCLTj0,INDIFFERENT,False
21,Spiral of Change,IKØN & MoRsei,Spiral of Change,7:27,447,U5I6CNZI7mI,INDIFFERENT,False
22,"Turn Up the Silence (Remastered, 2019)",Shpongle,"Nothing Lasts...but Nothing Is Lost (Remastered, 2019)",3:23,203,uAVfLArZ2uA,INDIFFERENT,False
23,Garbage Truck (Bonus Track),Beck,Scott Pilgrim Vs. The World (Original Motion Picture Soundtrack Expanded Edition),1:50,110,mgaVa6J7Fag,INDIFFERENT,False
24,Resonance (Inner Sphere remix),Divination,Resonance (Inner Sphere Remix),7:31,451,P_jNZNplI7M,INDIFFERENT,False
25,Flux Capacitor,"GMS, Shanti V Deedrah",Trance for Nations 14 (Compiled by Astrix),6:27,387,ee9_oMs2_5Y,INDIFFERENT,False
26,Vagabond (Liberty City Mix),Greenskeepers,Vagabond Remixes,3:01,181,SBXnK-AfdOM,INDIFFERENT,False
27,Waters of Nazareth,Justice,Cross,4:26,266,xHcPUTfPuk0,INDIFFERENT,False
28,Reach Out,Marc Rebillet,Loop Daddy,2:57,177,2Z-lzB4A52w,INDIFFERENT,False
29,It's Time,Avalon,Rise,6:38,398,ha68yWbzIFY,INDIFFERENT,False
30,Neurochemistry (Indianix Remix),Liquid Ace,Neurochemistry (Indianix Remix),5:58,358,mSaEB9LSfg8,INDIFFERENT,False
31,"Around the World / Harder, Better, Faster, Stronger (Live)",Daft Punk,,5:43,343,0fllyJTBsRU,INDIFFERENT,False
32,The Deathlife,Fiddlehead,Death is Nothing to Us,1:08,68,yI7Xi-Ma96E,INDIFFERENT,False
33,Heavy Is the Crown,Linkin Park,Heavy Is the Crown,2:48,168,2OPwoN28s5c,INDIFFERENT,False
34,Zero,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),2:41,161,vDgUTnIyDtQ,INDIFFERENT,False
35,Cassius 1999 (Radio Edit),Cassius,1999 (Deluxe Edition),3:42,222,J8fMAXnDocs,INDIFFERENT,False
36,Bad Kids,Black Lips,Good Bad Not Evil,2:09,129,hG-_cZ2fN5o,INDIFFERENT,False
37,CRUISING TO SELF SOOTHE,Ecca Vandal,CRUISING TO SELF SOOTHE,2:33,153,fJXZkLZT5D0,INDIFFERENT,False
38,Shake Your Coconuts,Junior Senior,D-D-Don't Don't Stop The Beat,2:27,147,PnBa8pj4X1E,INDIFFERENT,False
39,Don't Speak (I Came To Make A Bang!),Eagles of Death Metal,Death By Sexy,2:48,168,fELlbbm3DbA,INDIFFERENT,False
40,Echoes,The Rapture,Echoes,3:07,187,EWQ1ENJzsMM,INDIFFERENT,False
41,Lady Sweet Dream (Megatone Remix),Talamasca,Lady Sweet Dream (Megatone Remix),7:18,438,i2MrAn5lYvs,INDIFFERENT,False
42,Wayfarer,Kavinsky,1986,4:30,270,TbV6kpl6yl0,INDIFFERENT,False
43,Blood On The Bluegrass,Legendary Shack Shakers,Cockadoodledon't,3:44,224,6h2ls6LkjYM,INDIFFERENT,False
44,Hydrogen,M|O|O|N,MOON E.P.,4:50,290,opn4DAbw_YQ,INDIFFERENT,False
45,Agate,Astrix & Ritmo,Astrix - He.art,8:44,524,vjxU0mJplnI,INDIFFERENT,False
46,Magic Portal,"Alpha Portal, Magik",Full Throttle,6:47,407,Mv05ckyuFEk,INDIFFERENT,False
47,Virginia,The Bends,Leeward Drive,3:02,182,L6RD7kAChx4,INDIFFERENT,False
48,Disco Valley (Outsiders & Volcano Remix),Astrix,Dimension 005 (Compiled by Alpha Portal),8:52,532,FOKI5hDtH90,INDIFFERENT,False
49,Lost Gravity (Silent Sphere Remix),Liquid Soul,Lost Gravity,9:14,554,_Uxs0-_9a1w,INDIFFERENT,False
50,Freaks,Surf Curse,Freaks,2:28,148,cYT325Fe9zU,INDIFFERENT,False
51,¼ Dead,Rudimentary Peni,Death Church,1:28,88,8Aoa8pOIpMY,INDIFFERENT,False
52,Cloud Passing,"Pettra, Ritmo",Goa Festival Sounds 2024,7:58,478,p0xBGLOVWhU,INDIFFERENT,False
53,BUBBAZ,"CloZee, LSDREAM",LSZEE: ENIGMA MIXTAPE,1:53,113,OvQoZ7cC3ZM,INDIFFERENT,False
54,Ceremony,Side Effects,Brain Signal,6:39,399,Stcw-pXUdBM,INDIFFERENT,False
55,Shamanic (Symphonix Remix),Ghost Rider,Psychedelic Energy,7:44,464,JfuzK6oSo_M,INDIFFERENT,False
56,Cool for You,Haiku Hands,Cool for You,3:19,199,f7-6rqZOf_s,INDIFFERENT,False
57,My Name Is Thunder,"Jet, The Bloody Beetroots",My Name Is Thunder,2:48,168,I85wLH35f2I,INDIFFERENT,False
