position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,Peacock Tail,Boards of Canada,The Campfire Headphase,5:25,325,m4M5OV9N3kM,INDIFFERENT,False
2,Aurora,Kupla,All Natural,2:28,148,sNfhhzvnR58,INDIFFERENT,False
3,Voices Fade (Remix),Vibfy,Voices Fade (Remix),3:10,190,0iFv5vTp8cs,INDIFFERENT,False
4,Boy,Instupendo,Boy,3:59,239,_hN8X3l59P4,INDIFFERENT,False
5,Haul (Radio Edit) (feat. Mohna),Christian Löffler,Haul,3:38,218,x8kMzAmfNEk,INDIFFERENT,False
6,Comet Halley,Stellardrone,Light Years,3:43,223,BiXp0nYY4LI,INDIFFERENT,False
7,Fauna,Carbon Based Lifeforms,Seeker,5:31,331,40mM-wgawJk,INDIFFERENT,False
8,Andriven,Mystic Crock,Clear Water,8:14,494,DB76DgbEH7c,INDIFFERENT,False
9,Ghost Voice (Origin 2011),Solar Fields,Origin # 04,5:59,359,g0WMddJVRD0,INDIFFERENT,False
10,Alone in Kyoto,IOTO,Alone in Kyoto,3:12,192,bZj26AtpGaY,INDIFFERENT,False
11,Dharma,StereOMantra,Projections,7:11,431,vnPKioVgvMg,INDIFFERENT,False
12,Imbre,Jordan Critz,Imbre,3:50,230,jbwFDchsvBY,INDIFFERENT,False
13,Passion,Nightmares On Wax,In A Space Outta Sound,7:01,421,RwB2-Trahd0,INDIFFERENT,False
14,Red Elevation,Hello Meteor,An Unfamiliar Place,4:51,291,Sn6ERMVzMXY,INDIFFERENT,False
15,Private Universe,Jon Hopkins,Opalescent,5:41,341,YQOCu-mnwpQ,INDIFFERENT,False
16,Babe,Evenings,North Dorm,2:53,173,L7h_w9wy5I4,INDIFFERENT,False
17,Afternoon Memories,Lavaros,Afternoon Memories,2:56,176,90lYz0hT7ss,INDIFFERENT,False
18,Oleander (Phutureprimitive Symbiotic Remix),Bluetech,Digital Singles Vol.1,7:36,456,JnKhDj3r81A,INDIFFERENT,False
19,Memory,R3DN1K,Memory,3:23,203,WZoxxOlQWOg,INDIFFERENT,False
20,Lost,vibessmusic,Lost,3:01,181,WVRCq7rP0XM,INDIFFERENT,False
21,Tangerine Sour,"9 Theory, Emancipator",Tangerine Sour,4:14,254,6W5Ik21dCUc,INDIFFERENT,False
22,Moving Forward (Alternative Version),"Reasonandu, Suduaya",Moving Forward,6:57,417,IY-8np8gqhs,INDIFFERENT,False
23,In Threes,Loscil,Sea Island,5:58,358,Px_DbjgHVX4,LIKE,False
24,Dance with Me My Shadow (Forgotten),Oleg Byonic,"Forsaken, Forbidden, Forgotten",6:03,363,u_OY4AiuXQ0,INDIFFERENT,False
25,Alone in Kyoto,Air,Talkie Walkie,4:51,291,I0SVd_Q5wIg,INDIFFERENT,False
26,Khepre,Islandman,Heimlich III,6:32,392,JyKcDPOovSo,INDIFFERENT,False
27,Miss You,Trentemøller,The Last Resort,4:08,248,PO9bcVTbRcg,INDIFFERENT,False
28,Engage,"Hypixi !!!, Jasper De Ceuster",Engage,3:52,232,NSZMfurDpno,INDIFFERENT,False
29,Petrichor,E-Mantra,Drifting,7:13,433,44CfnaBd5QU,INDIFFERENT,False
30,Love On A Real Train (From 'Risky Business' Original Motion Picture Soundtrack),Tangerine Dream,Hyperborea (Deluxe Version / Remastered 2020),4:00,240,sBhB9gAM1J4,INDIFFERENT,False
31,Archetype,State Azure,Stellar Descent,5:55,355,UYlW2wa0noU,INDIFFERENT,False
32,Welcome To My Fairy World,Neuroq,Spacephoria,7:51,471,f3t49exzb3U,INDIFFERENT,False
33,Balance,TWO LANES,Innervision,4:44,284,lrk-0KLtdvs,INDIFFERENT,False
34,Gentle Flow,Anders Isberg,A Tranquil Life,4:20,260,TTlgWXFFauQ,INDIFFERENT,False
35,Dreamer,Abakus,Departure,6:53,413,hfykt8p1QuA,INDIFFERENT,False
36,Crystal Cave,Dreaming Cooper,Mysterious Places,7:33,453,hK6mpUXTIGE,INDIFFERENT,False
37,Ever Present,Man of No Ego,"AUM, Vol. I",6:02,362,7uSiGmbTmhY,INDIFFERENT,False
38,Soul Wire,Vibrasphere,Lime Structure,3:07,187,Z31FVFDNxyQ,INDIFFERENT,False
39,Shinrin-Yoku,Sensitize,Shinrin-Yoku,4:55,295,DpeS6_yGvdM,INDIFFERENT,False
40,Raining Over the Sun,Lab's Cloud,Dj Zen: Earth,8:30,510,_Jfp-z_zTNI,INDIFFERENT,False
41,North Cormorant Obscurity,Rykard,Arrive The Radio Beacon,3:18,198,Mnf1yfYOwUE,INDIFFERENT,False
42,Silky Spring,Yuuf,Silky Spring,3:45,225,yXHOpDF_pj4,INDIFFERENT,False
43,Serenade of Water,Men I Trust,Untourable Album,3:06,186,zLdT_0YfPLk,INDIFFERENT,False
