position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,GAME OVER (you fools),Union Specific,GAME OVER (you fools),5:23,323,3wiyIbZtYGY,LIKE,True
2,Ilando Gima Onge,Extra Golden,Ok-Oyot System,11:07,667,xO7OQtz_hLU,INDIFFERENT,False
3,Stack O' Lee Blues,Mississippi John Hurt,"Before The Blues, Vol. 1",2:58,178,eixTjOz-0ik,LIKE,True
4,That's All Right,Blind Snooks Eaglin,That's All Right,2:09,129,1O2vGcl3M4g,LIKE,True
5,Demention,Hallucinogen,The Lone Deranger,7:18,438,XuyKFjg2bAY,INDIFFERENT,False
6,Captain Hook @ Boom Festival 2025 [Full Set Movie],Captain Hook Official,,2:58:02,10682,vMYgD8AVyTk,INDIFFERENT,False
7,Faraway Skies,Dean Johnson,"Nothing for Me, Please",3:35,215,GKG4MoIwuHc,INDIFFERENT,False
8,Blues Stay Away From Me,Delmore Brothers,The Greatest Country Music Recordings Of All Time Vol. 2,2:52,172,-Vu3ZIMcKnI,INDIFFERENT,False
9,Fleurs,Flore Laurentienne,Volume III,3:10,190,rJQQnC1ofEs,INDIFFERENT,False
10,Mysterium,Hammock,Mysterium,7:12,432,Pe5Q9xN63nk,INDIFFERENT,False
11,Let There Be Light,Captain Hook,Origin,13:03,783,kdZcdD8GcFw,INDIFFERENT,False
12,Peace of Mind / Follow Me Down to the Riverside / Peace of Mind (Live),Yonder Mountain String Band,"Mountain Tracks, Vol. 2 (Live)",26:21,1581,1bVueNiKmK0,LIKE,False
13,I Hate The Way I Look Today.,RAYE,THIS MUSIC MAY CONTAIN HOPE.,3:29,209,BjqAX_cCNwY,LIKE,False
14,Thomas Bangalter - Club Soda (A1),alexdaftpunk91,,4:02,242,ABx4oqeYiIw,LIKE,False
15,Short Circuit,Daft Punk,Discovery,3:27,207,Can7kOYrGpI,LIKE,False
16,Indifference,Cafe Accordion Orchestra,Le Disque Francais,5:17,317,QG6jpHSJkpc,LIKE,False
17,Nyajondere,Extra Golden,Ok-Oyot System,12:10,730,5wydbMzoj88,INDIFFERENT,False
18,Day 1,Joel Shearer,Morning Loops,11:53,713,RIK3lxlBkbc,INDIFFERENT,False
19,Avis,Andrea Rellini,Motus,3:45,225,JJDAd9OZufI,LIKE,False
20,Fairy Fountain,Super Guitar Bros,Ocarina of Time,1:04,64,4mNdQwtxKUs,LIKE,True
21,Le armi bianche,Andrea Rellini,Resistere,5:20,320,k_dW9ltD0sA,LIKE,True
22,Back in the Goodle Days,John Hartford,Aereo-Plain,3:40,220,UcF0SY0m3sU,INDIFFERENT,False
23,Amari Szi Amari,Aurelia Anne Cohen,The Magnolia Sessions,4:50,290,Oaxz99Bq_EE,INDIFFERENT,False
24,It's Not Easy,Extra Golden,Ok-Oyot System,7:12,432,0o6JgRNd_Lc,INDIFFERENT,False
25,Tussin and Fightin',Extra Golden,Ok-Oyot System,7:06,426,0frMTs2YqpI,INDIFFERENT,False
26,Time & Space,Captain Hook,Origin,12:47,767,IH-LFA2Lyfo,INDIFFERENT,False
27,Ok-Oyot System,Extra Golden,Ok-Oyot System,6:23,383,UldKkstNtT0,INDIFFERENT,False
28,Shakey Shaker,Hallucinogen,The Lone Deranger,6:23,383,k5Lv5tjyxzU,INDIFFERENT,False
29,Osama Rach,Extra Golden,Ok-Oyot System,6:15,375,PQmSL0aQNKs,INDIFFERENT,False
30,Nobody Knows You When You're Down And Out,Scrapper Blackwell,Mr. Scrapper's Blues,4:59,299,ZFUxrJ3urRs,INDIFFERENT,True
31,God I'm Just Grateful / Sure Been Good,Elevation Worship,Promise & Presence,7:45,465,59UWuebscbs,INDIFFERENT,False
32,Freeze I,Chihei Hatakeyama,Ghost Woods,7:37,457,-Gcv6lBx1hE,INDIFFERENT,False
33,Robot Rock / Oh Yeah,Daft Punk,Alive 2007,6:28,388,H1zdxloRUJw,INDIFFERENT,False
34,Navigation VII,Flore Laurentienne,Volume III,6:31,391,kC7RDTcjzek,INDIFFERENT,False
35,Black Tusk Descent,loscil,coast/range/arc//,7:15,435,ZheAgv6symk,INDIFFERENT,False
36,Midnight on the Stormy Deep,Bill Monroe and Doc Watson,Live Recordings 1963-1980: Off the Record Volume 2,4:34,274,s9CNlq-PSpg,INDIFFERENT,False
37,Fleuve VII,Flore Laurentienne,Volume III,5:49,349,ln8gMjuqvFs,INDIFFERENT,False
38,If We Never Meet Again,The Stanley Brothers,On Radio,4:27,267,nCjHK687roA,INDIFFERENT,False
39,Desperate Man Blues (Original Recording),John Fahey,The Legend Of Blind Joe Death,4:07,247,gkucmqYOopc,INDIFFERENT,False
40,Stress (Live / AAA),Justice,Access All Arenas,5:36,336,B2UGFHP1zj8,INDIFFERENT,False
41,Three Sparrows,Rest You Sleeping Giant,Celestial Orchestra,6:13,373,CWpy915ir1k,INDIFFERENT,False
42,Tezeta,"Hailu Mergia, The Walias",Tezeta,4:31,271,rfojy3Xm9aI,INDIFFERENT,False
43,Régate,Flore Laurentienne,Volume III,4:45,285,aymaN-1ekx4,INDIFFERENT,False
44,Infinity,Captain Hook & Ritmo,Origin,9:07,547,l22TTIAWyWE,INDIFFERENT,False
45,The River of Snow,Gallery Six,The Inner World,5:49,349,VIcZWkWTnYk,INDIFFERENT,False
46,Caravan,Chet Atkins,Eclectic Guitar,3:31,211,_ZXk_2NbKas,INDIFFERENT,False
47,Sadagora Hot Dub - Remixed by Shantel,Amsterdam Klezmer Band,Remixed,5:12,312,AZZoa8YC19w,LIKE,False
48,Whitehouse Blues (feat. The North Carolina Ramblers),Charlie Poole,Roots 'N' Blues/The Retrospective 1925-1950,3:27,207,lxg1i0VmJBg,INDIFFERENT,False
49,Cowpoke,Elton Britt,Presenting Elton Britt,3:25,205,3YgNFKx13fk,INDIFFERENT,False
50,Don't Call My Name,Skinshape,Life & Love,4:10,250,T3f8UJlwf2o,INDIFFERENT,False
51,Walk On Boy,Doc Watson,Southbound,3:24,204,I9A8hgWuDnw,INDIFFERENT,False
52,Bill,Isaac Birituro & The Rail Abandon,Bill,4:04,244,E5Vjf4HbOZA,INDIFFERENT,False
53,Mermaid,"Alan Hawkshaw, Brian Bennett",Kpm 1000 Series: Synthesis,3:57,237,CTEY3LVrKh0,INDIFFERENT,False
54,Lindbergh,Woody Guthrie,"This Land is Your Land: The Asch Recordings, Vol. 1",3:13,193,BzLOTHciIKI,INDIFFERENT,False
55,Don’t You See That Train,The Delmore Brothers,Alton & Rabon,3:13,193,Xnx-hxowDJk,INDIFFERENT,False
56,That's How the Yodel Was Born,Elton Britt,Presenting Elton Britt,3:14,194,jVzNBiF8bbM,INDIFFERENT,False
57,Old Yazoo,The Boswell Sisters,The Boswell Sisters Collection Pt. 3,3:09,189,IJ8olffRTxk,INDIFFERENT,False
58,Waits Dreaming,Innesti,Filament and Place,5:19,319,jSyGNZcyGSQ,INDIFFERENT,False
59,Dusty Old Dust (So Long It's Been Good to Know Yuh),Woody Guthrie,Dust Bowl Ballads,3:06,186,QhAt4RdROok,INDIFFERENT,False
60,Early Blue,F.J. McMahon,Spirit of the Golden Juice,3:05,185,XmnhM6Sg7Sw,LIKE,True
61,Talking Sailor,Woody Guthrie,That's Why We're Marching: World War II and the American Folksong Movement,3:04,184,xicv1PyO-Vw,INDIFFERENT,False
62,Petit matin,Flore Laurentienne,Volume III,4:10,250,bOhe37zN7tM,INDIFFERENT,False
63,Borino Oro,"Aleksandar Kashtanov, Bubamara Brass Band",Zivot U Ime Ljubavi,2:43,163,1gusasPsxYU,INDIFFERENT,False
64,Where Did You Sleep Last Night?,Leadbelly,Where Did You Sleep Last Night?,3:03,183,VdYVANxDNkg,INDIFFERENT,False
65,Sally in the Garden,Critton Hollow String Band,Cowboys and Indians,3:05,185,UmgnKTa6w1o,INDIFFERENT,False
66,Brown Eyes,Woody Guthrie and Cisco Houston,Woody Guthrie Sings Folk Songs,3:02,182,3xT9-Src6Ng,INDIFFERENT,False
67,Long Black Veil,Lefty Frizzell,Columbia Country Classics Volume 3:  Americana,3:02,182,qqzfQ5Gzew8,INDIFFERENT,False
68,Back To The Hills Of Home,Carson Peters and Iron Mountain,Gotta Lotta Lonesome,3:01,181,MsgDog5caSY,INDIFFERENT,False
69,Heartaches By The Number,Ray Price,"Grand Old Country, Vol. 6",2:59,179,CB-9FchV7mA,INDIFFERENT,False
