position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,La Gloria Eres Tu,Los Tres Diamantes,Los Tres Diamantes,2:57,177,ekIBjKNQN5I,INDIFFERENT,False
2,Sabor a Mí,"Eydie Gorme, Los Panchos",Canta En Español Con Los Panchos,2:49,169,Gb1FrnjlXoo,INDIFFERENT,False
3,Aunque Me Duela El Alma,Julio Jaramillo,El Mítico Julio Jaramillo,2:23,143,uqGRGUE5YOo,INDIFFERENT,False
4,Motivos,Trío Fantasía,Bolerísimo,3:02,182,jugum8h6kPg,INDIFFERENT,False
5,Perfume de Gardenia (Bolero),José Luis Moneró,José Luis Moneró,2:58,178,pQNynuFP4bc,INDIFFERENT,False
6,Canción del Alma,Los Montejo,RCA 100 Anos De Musica - Segunda Parte (40 Diferentes Grandes Trios - Unica E Inigualable Coleccion),2:48,168,DB0X-XDDEHw,INDIFFERENT,False
7,Volvi la Espalda,Johnny Albino,Celoso y Solitario,2:53,173,pgeu0hlYWe8,INDIFFERENT,False
8,"La Mentira ""Se Te Olvida""",Álvaro Carrillo,La Coleccion Del Siglo,2:52,172,GbBJxLfbaKU,INDIFFERENT,False
9,Noche No Te Vayas,Los Tres Caballeros,Lo Mejor De,3:22,202,RN5ZSIuQsek,INDIFFERENT,False
10,Empiezo a Extrañarte,Las Sombras,RCA 100 Anos De Musica - Segunda Parte (40 Diferentes Grandes Trios - Unica E Inigualable Coleccion),2:40,160,t2CRMIqueWU,INDIFFERENT,False
11,La Gloria Eres Tú,Los 3 Diamantes,La Gloria eres tú,2:55,175,w8q4Ge1AIy0,INDIFFERENT,False
12,Como un Duende,Los Dandy's,Nuestros Primeros Exitos,2:59,179,2j8Qw0t_OfY,INDIFFERENT,False
13,Sin Ti,Los Tres Reyes,Los Tres Reyes,2:39,159,85M3fZMRkUw,INDIFFERENT,False
14,Besos de Fuego,Los Jaibos,Super Tríos,2:38,158,YiFobW03w8g,INDIFFERENT,False
15,¿Cómo?,La Rondalla De Saltillo,¿Cómo?,2:09,129,InDy7zjdUC8,INDIFFERENT,False
16,Caminemos,"Gualberto Castro, Myrza Maldonado",Herencia Romántica,3:02,182,KbepvkJPMeU,INDIFFERENT,False
17,Si Nos Dejan,Los Tres Ases,Grabaciones Completas,3:03,183,PFyHNfuuts8,INDIFFERENT,False
18,La Ultima Noche,Moncho,Te Amo Bolero,2:54,174,dlpzs4HMSzw,INDIFFERENT,False
19,Sin Tí (Bolero),Los 3 Reyes,Los 3 Diamantes vs. Los 3 Reyes,2:37,157,BxiOmPuhpPE,INDIFFERENT,False
20,No me platiques,Pedro Infante,Serenata con Pedro Infante,3:19,199,afImH2U9wtk,INDIFFERENT,False
21,La Enramada,Javier Solís,24 Grandes Éxitos,1:55,115,aSnjLALhvtM,INDIFFERENT,False
22,La Revancha,Almas Gemelas,"Nuestros Boleros, Vol. 4",3:21,201,L1WESSBgS2U,INDIFFERENT,False
23,Reloj,Bolero Soul,Homenaje a los Trios,3:10,190,I6XJ2kbQloo,INDIFFERENT,False
24,Costumbres,Trio Los Pinguinos,Exitos De Trio Los Pinguinos,3:16,196,s8U3-6IMvC0,INDIFFERENT,False
25,Un Dia,Trío las Sombras,Personalidad - Los Grandes Trios - Las Sombras,2:31,151,nn4RNvAq4kc,INDIFFERENT,False
26,Ahora y siempre,Los Tecolines,Serenata con Los Tecolines,2:54,174,yv3Udz7dvMM,INDIFFERENT,False
27,De Que Presumes,Ricardo Fuentes,Los Mejores Boleristas,2:46,166,59l1JXK5dHM,INDIFFERENT,False
28,Seguiré Mi Viaje,"Victor Yturbe ""El Piruli""",De Colección (Vol. 1),2:38,158,VSdniSRU8qs,INDIFFERENT,False
29,La Gloria Eres Tú,"Germán Valdés ""Tin Tan""",Canciones de Sus Películas,2:52,172,2Hdhf1CISUc,INDIFFERENT,False
30,Página Blanca,Los Fantasmas,Antología...Trios,3:11,191,ciQ2sLCKqKI,INDIFFERENT,False
31,Amor Mío,Trio Madeiras & El Requinto de Pepe Molina,Joyas Oaxaqueñas,2:54,174,GJuJHeaF-Gw,INDIFFERENT,False
32,Mi Tesoro,Rondalla Alborada De Rioverde,40 Aniversario,3:02,182,cfM6-brH_Jc,INDIFFERENT,False
33,Aquellos Ojos Verdes,Agustín Lara,Presentando a Agustín Lara,2:21,141,FefeJ9FBqP0,INDIFFERENT,False
34,Dónde Encontrarás,Trío los Duendes,Cancionero,2:49,169,0dexEJOr6qg,INDIFFERENT,False
35,Me Sobra Corazón,Trío Delfines,Trio Delfines,2:51,171,I2mVwXRquHo,INDIFFERENT,False
36,La Copa Rota,Alci Acosta,"Su Voz, Su Piano Y Más Éxitos",2:57,177,enmN2SkFFOk,INDIFFERENT,False
37,Como Tu,Rondalla Universo Romantico,Nuestro Mundo,3:07,187,KF58gdkRe-c,INDIFFERENT,False
38,Paloma Negra,Chavela Vargas,Chavela Vargas Con el Cuarteto Lara Foster,3:16,196,bUqzNlbuyD0,INDIFFERENT,False
39,Vidita Mía,Los Galantes,Sabor A Mí,2:48,168,zktiLLHw46s,INDIFFERENT,False
40,Aunque Me Cueste La Vida (feat. La Sonora Matancera),Alberto Beltran,El Único!,3:01,181,mkPKDjzBRJ0,INDIFFERENT,False
41,Ódiame,Rafael Otero,Grandes Tríos del Bolero,3:12,192,aY57yFNEGzY,INDIFFERENT,False
42,Óyelo Bien,Los Astros,RCA 100 Anos De Musica - Segunda Parte (40 Diferentes Grandes Trios - Unica E Inigualable Coleccion),3:02,182,9tVg0hXgQsA,INDIFFERENT,False
43,Perfume de Gardenia,La Sonora Santanera,16 Exitos,3:31,211,BlLRb2TU9gI,INDIFFERENT,False
