position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,i can't get my shit together,Baby Queen,Quarter Life Crisis (Deluxe),2:54,174,OVWlnKcWVKc,INDIFFERENT,False
2,Skin & Bones.,RAYE,THIS MUSIC MAY CONTAIN HOPE.,3:15,195,J7f7evuZJ8A,INDIFFERENT,False
3,Saturday Night,Ravyn Lenae,Saturday Night,3:38,218,iex9D7pxYbc,INDIFFERENT,False
4,Burning Up,Leigh-Anne,My Ego Told Me To,2:07,127,JcxXiscSkMI,INDIFFERENT,False
5,MY TYPE,Sudan Archives,THE BPM,3:09,189,NZhs0EM5zmk,INDIFFERENT,False
6,MANNERS,Zorro,MANNERS,2:51,171,YJyV9Ua34Ec,INDIFFERENT,False
7,State Your Name,Starjunk 95,State Your Name,2:43,163,DXDp88iO6D4,INDIFFERENT,False
8,All the time / Tout le temps (feat. Yelle),The Knocks,All the time / Tout le temps,2:47,167,_qn-2JX6CsI,INDIFFERENT,False
9,Get Back,Cinnamon Gum,Get Back,4:06,246,_4Zl8WHeEi0,INDIFFERENT,False
10,Cherry,Naomi Scott,F.I.G,2:51,171,Rgbmw3c1Ixs,INDIFFERENT,False
11,Please,Jessie Ware,What's Your Pleasure? (The Platinum Pleasure Edition),4:33,273,5c3v4cR-vD0,INDIFFERENT,False
12,Hurricane,Infinity Song,Hurricane,3:41,221,mxG75duJRUc,INDIFFERENT,False
13,Fantasy,JADE,THAT'S SHOWBIZ BABY!,3:37,217,2QPx3sjGfdw,INDIFFERENT,False
14,black0ut,REYSHA RAMI,black0ut,1:57,117,17u3moQScxU,INDIFFERENT,False
15,Apple (feat. The Japanese House),Charli xcx,Brat and it’s completely different but also still brat,2:38,158,v9Fosi84K9k,INDIFFERENT,False
16,Catch & Release,Netbeat,PERFECT.,2:41,161,YLR-mll0HdI,INDIFFERENT,False
17,Sucks To Be My Ex,Ava Max,Don't Click Play,3:24,204,UadVNOEQ_SY,INDIFFERENT,False
18,You Know How We Do It,Ice Cube,Lethal Injection,3:53,233,_HGZBLdn9_c,INDIFFERENT,False
19,Club To Your Arms,Rose Gray,Club To Your Arms,3:12,192,_BYrwBe-Z7M,INDIFFERENT,False
20,At Least I’m Hot,Reneé Rapp,BITE ME,2:35,155,50-GTwbmyaQ,INDIFFERENT,False
21,Dancefloor Erotica,Dagny,Dancefloor Erotica,2:52,172,H6aRZDBnf4A,INDIFFERENT,False
22,Wifey Riddim,"Club Shy, Jorja Smith, SadBoi, Shygirl",Club Shy Room 2,2:29,149,7QOYV78_Jio,INDIFFERENT,False
23,Too Easy,Tinashe,Too Easy,1:55,115,GoH0aGPKMwI,INDIFFERENT,False
24,Woman In Love,Perrie,Perrie (Fan Edition),2:44,164,WXuB2Y9wWS4,INDIFFERENT,False
25,"Morals (feat. Mr Jukes, Muzi, Mahotella Queens & Moonchild Sanelly)",Africa Express,EGOLI,3:14,194,TF31vg_a1MU,INDIFFERENT,False
26,Love Bites,"Nelly Furtado, SG Lewis, Tove Lo",7,2:48,168,SEeJ_2ZYl7A,INDIFFERENT,False
27,CRAZY,LE SSERAFIM,CRAZY,2:45,165,kA_1chVgPVA,INDIFFERENT,False
28,Push To Start,"No/Me, Noizu, Westend",Push To Start,3:02,182,j6wlCvkx3CI,INDIFFERENT,False
29,LoveDrug,Lady Gaga,MAYHEM,3:14,194,z7BICzosx2w,INDIFFERENT,False
30,$.H.I.T,Bebe Rexha,DIRTY BLONDE,2:07,127,Ui3ugGX1kXU,INDIFFERENT,False
31,Celebrate Together Now (feat. Daphne Willis),LÒNIS,Celebrate Together Now,2:10,130,W_wqE1X87R8,INDIFFERENT,False
32,THREW IT AWAY,Jessie J,Don't Tease Me With A Good Time,2:32,152,WzPaAba8kW8,INDIFFERENT,False
33,Fly Girl (feat. Missy Elliott),FLO,Fly Girl,3:26,206,3s8ui_iNYOU,INDIFFERENT,False
34,Silly! Fun!,Doja Cat,Vie,2:33,153,foRB3GYJlJA,INDIFFERENT,False
35,Never Be Me (M★therf★cker),Cherry Bomb,Never Be Me (M★therf★cker),3:38,218,PBHmmpFk1pU,INDIFFERENT,False
36,Crush,Zara Larsson,Midnight Sun,2:58,178,3S0QT5YjAy0,INDIFFERENT,False
37,Guardian Angel,Carly Rae Jepsen,Emotion (10th Anniversary Edition),2:08,128,gM6vpJ2bHgo,INDIFFERENT,False
38,Bring Your Love,"Madonna, Sabrina Carpenter",CONFESSIONS II,3:43,223,SF-n4yjpZWQ,INDIFFERENT,False
39,Dancing Queen,ABBA,Arrival,3:51,231,YkLLcIKhJ64,INDIFFERENT,False
40,DADDY,"Ashnikko, Victoria",DADDY,2:03,123,7z6QJpBhEHw,INDIFFERENT,False
41,HOT LIKE!,Bree Runway,HOT LIKE!,2:26,146,u4kgCLbcdUE,INDIFFERENT,False
42,High Maintenance,Paul Russell,High Maintenance,2:25,145,53Wpvjo3rlg,INDIFFERENT,False
43,Hot Wet Delirious,Rebecca Black,Hot Wet Delirious,3:09,189,jT2GwoGj8i8,INDIFFERENT,False
44,Nossa Chance,"DUDA BEAT, Tz da Coronel",Nossa Chance,3:45,225,1L-QbZ44sIs,INDIFFERENT,False
45,Kiss The Sky,Sigrid,There’s Always More That I Could Say,2:39,159,tiCzK--cJig,INDIFFERENT,False
46,IS IT,Tyla,A*POP,2:45,165,0YxWUY92ZyQ,INDIFFERENT,False
47,Polo,Kim Petras,Polo,2:32,152,lZPVImH4rd0,INDIFFERENT,False
48,Telephone,ena mori,Telephone,3:21,201,Aado0OLxm08,INDIFFERENT,False
49,Satis-Fakshun,Zackey Force Funk,Bodyrock Shotgun,2:36,156,ve7UOCtWVi8,INDIFFERENT,False
