position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,Ok Boomer,"Calvin Napper, Charlie Hunter, Sam Fribush",People Please,4:20,260,VM3x0yH71FA,INDIFFERENT,False
2,Wait A Minute / Praying For A Jeepbeat (Smokers Delight Original Version),Nightmares On Wax,Smokers Delight,2:45,165,fL9s3jgo7Pg,INDIFFERENT,False
3,"Someday, Somewhere",Jungle,"Someday, Somewhere",2:32,152,sAUeKteIEsM,INDIFFERENT,False
4,Power,Babes on the Run,Power,4:30,270,5MFceUlBg-8,INDIFFERENT,False
5,Worth It.,RAYE,My 21st Century Blues,4:07,247,Y4_l-9Uxvhg,INDIFFERENT,False
6,Shades Of Black,Breakbot,Let The Children Techno (Compiled and Mixed by Busy P & DJ Mehdi),2:43,163,8hvd0daXMPs,INDIFFERENT,False
7,Iron Ore Betty,John Prine,Bruised Orange,2:43,163,-L6ammWgL3Y,INDIFFERENT,False
8,Am I Wrong,Keb' Mo',Keb' Mo',2:19,139,hkixfzbewDg,INDIFFERENT,False
9,Don't Wait Up,Midnight Generation,Don't Wait Up,3:48,228,yP8DtnwoTww,INDIFFERENT,False
10,Back to Basics,Alex Gopher,Back to Basics - EP,4:21,261,5o1DvYyLAmg,INDIFFERENT,False
11,CHASING LIGHT,"Moses Yoofee Trio, Noah Fürbringer, Moses Yoofee, cowboyklobe",CHASING LIGHT / ZERO,3:01,181,OqI6s4mTdLU,INDIFFERENT,False
12,Alamosa,Charley Crockett,Dollar A Day,3:49,229,GSuz392pye4,INDIFFERENT,False
13,Da Legacy,"L'Entourloop, Skarra Mucci",Golden Nuggets,3:56,236,njB2voxBroM,INDIFFERENT,False
14,Bettina,"Skinshape, The Horus All Stars",Skinshape X Horus,3:44,224,z-7YjIkEKKg,LIKE,False
15,Green Light (Tiny Room Sessions) (feat. Ruslan Sirota),"Greg Spero, MonoNeon, Robert Sput Searight",Green Light (Tiny Room Sessions),2:38,158,-fjcDlcV7xg,INDIFFERENT,False
16,Eternal Flow,BALTHVS,Liminal Stages,3:17,197,54ciKAc3UK4,INDIFFERENT,False
17,Turnip's Big Move,The Greyboy Allstars,A Town Called Earth,4:24,264,_HEu-GuiFfw,INDIFFERENT,False
18,Odessa Bulgarish,Amsterdam Klezmer Band,LIMONCHIKI,3:06,186,vT3Ch6nt2mA,INDIFFERENT,False
19,SAINT PEPSI: SKYLAR SPENCE,MrNONSENSE,,3:39,219,AJA77S11BmM,INDIFFERENT,False
20,Grumpy Joa,Minami Deutsch,Fortune Goodies,5:33,333,v9i3S8vfF4E,INDIFFERENT,False
21,'99 Style,Poka,"Best of French Blog, Vol. 1",4:11,251,54QJgD5vroQ,INDIFFERENT,False
22,Kasalefkut-hulu (Stereo Master),Mulatu Astatke,Mulatu Of Ethiopia,2:27,147,a3A7IeItt-o,INDIFFERENT,False
23,Jumpstart,Duke Boara,Jumpstart,3:22,202,i5lM491mrLg,INDIFFERENT,False
24,Rocambole,Gaspard Augé,Escapades,3:26,206,et-W09S2fJ4,INDIFFERENT,False
25,Strawberry Kiwi,The Olympians,In Search of a Revival Pt. 1 / Strawberry Kiwi,3:45,225,iOiyGuf2GPM,INDIFFERENT,False
