position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,Cowpoke,Hank Williams Jr.,Ballads Of The Hills & Plains,2:08,128,3oLPB4J3rM4,INDIFFERENT,False
2,Nashville Blues,Doc Watson,Doc Watson,1:58,118,gZxBiMECG38,INDIFFERENT,False
3,The Lost Mine of the Chisos,Bill Staines,Just Play One Tune More,3:44,224,AdhE7UmXl7A,INDIFFERENT,False
4,Saskatchewan in 1881,Colter Wall,Songs of the Plains,2:52,172,u8EGcDJex4w,INDIFFERENT,False
5,Randall Collins,Norman Blake,Back Home In Sulphur Springs,1:55,115,MVB1kQHFqps,INDIFFERENT,False
6,Rosalee Mcfall,"David Grisman, Jerry Garcia, Tony Rice",The Pizza Tapes,3:13,193,ydhK503JHg0,INDIFFERENT,False
7,Over Yonder In The Graveyard,Ola Belle Reed,Ola Belle Reed & Family,3:07,187,Lrklhjt4pv8,INDIFFERENT,False
8,Angel Band,"The Clinch Mountain Boys, The Stanley Brothers",Angel Band: The Classic Mercury Recordings,2:16,136,YbWNbnopZoo,INDIFFERENT,False
9,Rope Stretchin' Blues,Blind Blake,Presenting Blind Blake,3:02,182,SxizZtqZFak,INDIFFERENT,False
10,I Never Will Marry,The Kossoy Sisters,Bowling Green and Other Folk Songs from the Southern Mountains,2:49,169,C-6AxnP0ku8,INDIFFERENT,False
11,Keep 'Em on They Toes,Brent Cobb,Keep 'Em on They Toes,2:44,164,5oCiPOKOwI4,INDIFFERENT,False
12,Reefer Head Woman,Jazz Gillum,Jazz Gillum Vol. 1 1936-1938,3:04,184,Rdkc4G8KbAc,INDIFFERENT,False
13,Ramblin' on My Mind,Robert Johnson,The Complete Recordings (41 Tracks),2:54,174,C6kp1yjpTO4,INDIFFERENT,False
14,Untrue Blues,Blind Boy Fuller,East Coast Piedmont Style,2:50,170,HEdJJs9d054,INDIFFERENT,False
15,Welcome to Hard Times,Charley Crockett,Welcome to Hard Times,3:06,186,fmXttX6UPTM,INDIFFERENT,False
16,Crying Shame,Clifton Hicks,Old Leatherstocking,3:04,184,uMwh7xJaQLw,INDIFFERENT,False
17,Yellow and Grey,The Brudi Brothers,,2:19,139,3i1ZRb5Ww08,INDIFFERENT,False
18,Lovesick Blues,Hank Williams,Long Gone and Lonesome,3:26,206,LwWjpCAd078,INDIFFERENT,False
19,Devil Blues,Sylvester Weaver,Sylvester Weaver Vol. 2 (1927),3:05,185,UDsWPM0g_0M,INDIFFERENT,False
20,Meet Me In The Bottom,Pink Anderson,"Carolina Blues Man, Vol.1",3:29,209,iQbIu2hl1n4,INDIFFERENT,False
21,Good Luck Kid,Scott Ballew,Talking to Mountains,2:46,166,YoKGMx56Ctc,INDIFFERENT,False
22,Whistle Stop,Roger Miller,"Dear Folks, Sorry I Haven't Written Lately",2:07,127,Wry_ABzCCa4,INDIFFERENT,False
23,Let's Go Fishin',Sad Daddy,Let's Go Fishin',3:10,190,6e6m2GZUVwg,INDIFFERENT,False
24,"Yet, Never Again",Atillion,"Yet, Never Again",2:33,153,V5ldsIX3UN8,INDIFFERENT,False
25,Last Night I Had the Strangest Dream,Pete Seeger,If I Had a Hammer: Songs of Hope and Struggle,2:31,151,iXPn3kmmKFo,INDIFFERENT,False
26,You Were Born to Die,"Cat Clyde, Jeremie Albino",Blue Blue Blue,2:21,141,306LxaQgrZU,INDIFFERENT,False
27,Red Rocking Chair,The Coon Creek Girls,"Lily, Mae, Rosie & Susie",1:59,119,U4X6E6pWlSk,INDIFFERENT,False
28,Waterbound,Dirk Powell,Time Again,2:54,174,LgagVOgJjQc,INDIFFERENT,False
29,"Don't Think Twice, It's Alright (Live At The American Legion Post 82)","Billy Strings, Bryan Sutton",Live At The Legion,3:47,227,fpNzgrBr9YY,INDIFFERENT,False
30,I'm Gonna Join That One Big Union (You Gotta Go Down And Join The Union),Woody Guthrie,My Dusty Road,2:33,153,tEf_kbAHT40,INDIFFERENT,False
31,Fer Elise,Atillion,Fer Elise,2:25,145,805Obq_2xRo,INDIFFERENT,False
32,Steady,Jerry McCain,"Ace Records Story, Vol. 3",2:09,129,6fv5NkM36Ug,INDIFFERENT,False
33,Richland Woman Blues,Mississippi John Hurt,Rediscovered,4:04,244,dHA36xVAYNE,INDIFFERENT,False
34,Hills of Mexico,Meredith Moon,Forest Far Away,4:30,270,kcVDdT2Vom0,INDIFFERENT,False
35,Little Boy Blue,Scrapper Blackwell,Mr. Scrapper's Blues,3:08,188,DAlHrUxhIk8,INDIFFERENT,False
36,Going Down The Road Feeling Bad,Doc & Merle Watson,Elementary Doctor Watson,2:47,167,AXBSDR4KA2A,INDIFFERENT,False
37,I'll Be Here in the Morning,Townes Van Zandt,Townes Van Zandt,3:01,181,5irlcdLkmiI,INDIFFERENT,False
38,Let No Man Steal Your Thyme,Sandy Denny,Early Home Recordings,2:25,145,VTV5YKAHQC4,INDIFFERENT,False
39,Cumberland Gap,Pharis & Jason Romero,A Passing Glimpse,3:27,207,5zJgZn2E-UY,INDIFFERENT,False
