position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,Church Street Blues,Tony Rice,Church Street Blues,3:09,189,UHYkvDo2rXc,INDIFFERENT,False
2,Let No Man Steal Your Thyme,Sandy Denny,Early Home Recordings,2:25,145,VTV5YKAHQC4,INDIFFERENT,False
3,Over Yonder In The Graveyard,Ola Belle Reed,Ola Belle Reed & Family,3:07,187,Lrklhjt4pv8,INDIFFERENT,False
4,l'histoire de ta vie,Céline Dessberg,Hödöö,3:23,203,uJtwEMlnl44,INDIFFERENT,False
5,Totem Transport,Arc De Soleil,No Cardigan in Michigan Please (Prologue),3:22,202,GsanQTBD4lQ,INDIFFERENT,False
6,Heart To Heart,Mac DeMarco,Here Comes The Cowboy,3:32,212,qBoQzo98EpQ,LIKE,False
7,The Shame,"Holy Hive, El Michels Affair, & Fleet Foxes",Big Crown Vaults Vol. 3 - Holy Hive,2:56,176,3bSGH0xEJSQ,INDIFFERENT,False
8,Seabird,Babeheaven,Seabird,3:02,182,sytpVuSca1Q,INDIFFERENT,False
9,Keep Coming Back To You,Vicky Sometani,Keep Coming Back To You,3:30,210,aPZkT2a_zn0,INDIFFERENT,False
10,Chorar Na Beira Do Mar,"Pedro Mizutani, Skinshape",Pensando Baixo,2:09,129,oshPEWc9uUc,INDIFFERENT,False
11,Fire,Thomas Naïm,Sounds of Jimi,3:37,217,e-qMhYPPDSw,INDIFFERENT,False
12,Skylark,James Quinn,Skylark,1:26,86,8yNN4A_pyRA,INDIFFERENT,False
13,With Kitty I'll Go,Jean Ritchie,Mountain Hearth & Home,2:13,133,Ch1EPCIKTuU,INDIFFERENT,False
14,Time To Rebuild,The Sure Fire Soul Ensemble,Step Down,3:03,183,1rTNWzuTeBQ,INDIFFERENT,False
15,In the Pines,The Kossoy Sisters,Bowling Green and Other Folk Songs from the Southern Mountains,3:19,199,WC3Yw59KMMw,INDIFFERENT,False
16,Daze of Flow,HATAMITSUNAMI,Leaves in the Wind,2:56,176,WXyO4-Jbntg,INDIFFERENT,False
17,Bleached,Video Days,sungazing,1:24,84,0pHR4_cyIuA,INDIFFERENT,False
18,Devil Blues,Sylvester Weaver,Sylvester Weaver Vol. 2 (1927),3:05,185,UDsWPM0g_0M,INDIFFERENT,False
19,Columbus Stockade Blues,"Doc Watson, Richard Watson",Third Generation Blues,3:32,212,rVAXyZCbFdI,INDIFFERENT,False
20,Cowpoke,Colter Wall,Western Swing & Waltzes and Other Punchy Songs,3:13,193,79SV4479MMc,INDIFFERENT,False
21,Current Strum Joy,soma,The Cave,3:55,235,QpkDvLZfCdg,INDIFFERENT,False
22,Sunflower River Blues,John Fahey,"Death Chants, Breakdowns And Military Waltzes",2:36,156,nLsh_4D_rMs,INDIFFERENT,False
23,Hangman,Tia Blake,Folksongs & Ballads,3:22,202,BOgTF1QqbMw,INDIFFERENT,False
24,My October,The Folks,My October,2:05,125,h3lj2-J2Ze0,INDIFFERENT,False
25,83,Rudy De Anda,Take Me For A Little While / 83,3:20,200,NeWDVyLelPk,INDIFFERENT,False
26,Strange Seed,Emapea,"Seeds, Roots & Fruits",3:04,184,Z0TfdZBc7L8,LIKE,False
27,"Yet, Never Again",Atillion,"Yet, Never Again",2:33,153,V5ldsIX3UN8,INDIFFERENT,False
28,Plastic Jesus,"Allison Young, Joshua Lee Turner, The Bygones",May 9-12,2:02,122,A9QWOH9sxfY,INDIFFERENT,False
29,Yo Todo Tu Yo,The Rugged Nuggets,Yo Todo Tu Yo,3:00,180,dhrXE9ALSv8,INDIFFERENT,False
30,Sunshine Kisses,Sabine McCalla,Sunshine Kisses,4:01,241,kZNlOZg3Eek,INDIFFERENT,False
31,Gospel Plow,Chance McCoy and The Appalachian String Band,Debut,4:38,278,KLPuLU2bH3s,LIKE,False
32,Tam Tam,YĪN YĪN,Mount Matsu,2:24,144,M3nsXzpuAAw,INDIFFERENT,False
33,Randall Collins,Norman Blake,Back Home In Sulphur Springs,1:55,115,MVB1kQHFqps,INDIFFERENT,False
34,The Last Thing On My Mind,Doc & Merle Watson,Elementary Doctor Watson,3:23,203,BGnZ9ZhECvA,INDIFFERENT,False
35,Cultivation,Offthewally,Cultivation,3:23,203,bQGywibsQGU,INDIFFERENT,False
36,Clementine,"Taylor Olin, The Something Specials",Clementine,1:45,105,yArxFez0Pf0,INDIFFERENT,False
37,High on a Mountain,The Local Honeys,The Gospel,3:25,205,z0I1GnoUgYc,INDIFFERENT,False
38,Fine Anyway,Rogér Fakhr,Fine Anyway (Habibi Funk 016),2:44,164,UKhL5cO8Ssk,INDIFFERENT,False
39,Lunes 1 De Abril,The Holydrug Couple,Moonlust Demos,1:16,76,CHL_RIJsjYU,INDIFFERENT,False
40,A1 Bakery Pledge of Allegiance,Surprise Chef,Education & Recreation,3:20,200,RGqxSSgy4Pw,INDIFFERENT,False
41,Kaepora Gaebora,Super Guitar Bros,Ocarina of Time,1:35,95,6KU9wxyWgfE,INDIFFERENT,False
42,Low Sun,Hermanos Gutiérrez,Sonido Cósmico,3:09,189,lr19_EzZHEM,INDIFFERENT,False
43,Upside Down,54 Ultra,Upside Down,3:17,197,QBi656z3mmo,INDIFFERENT,False
44,Lounge Lizard,Molly Lewis,On The Lips,3:50,230,-zGLd90ca2I,INDIFFERENT,False
45,Inner Dance,Dylan John Sparkes,Noon Dance,3:04,184,mdUG4JgPflw,INDIFFERENT,False
46,Silver Dollar Jim,Will Van Horn,San Luis Pass,3:09,189,fBW0RBSZu24,INDIFFERENT,False
47,Honey Babe Blues,Doc & Merle Watson,Sittin' Here Pickin' the Blues,3:27,207,JP-U8hrQTwc,INDIFFERENT,False
48,Late Lunch,"Ferdinand Moses, Furs",All There Really Is,3:17,197,o8GTPURwew4,INDIFFERENT,False
49,Orb,Glass Beams,Mahal,4:54,294,-476mGZVl8I,LIKE,False
50,El Camino de Mallorca,Luca Stavos,El Camino de Mallorca,2:20,140,Sz9d01L8X5U,INDIFFERENT,False
51,Close but No Cigar,Delvon Lamarr Organ Trio,Close but No Cigar,3:31,211,2AeejiyGum8,INDIFFERENT,False
52,Sendero del Viento,David Albornoz,Sendero del Viento,1:34,94,Jarhu94B-yM,INDIFFERENT,False
53,Black and White,"Redinho, Σtella",Up and Away,2:19,139,SpeifxEyb7M,INDIFFERENT,False
54,Umbra,Opez,Social Limbo,3:43,223,GkW-WpU_35Q,INDIFFERENT,False
55,First Shot Missed Him,Mississippi John Hurt,Last Sessions,1:45,105,_0lWOwH_VgE,INDIFFERENT,False
56,There Will Be Rain,Million Eyes,In the Wind,2:03,123,OVxKvxUwcVY,INDIFFERENT,False
57,Waterbound,Dirk Powell,Time Again,2:54,174,LgagVOgJjQc,INDIFFERENT,False
58,Stay Soft,Melodiesinfonie,Stay Soft,3:20,200,rsgxEtvgZ-4,INDIFFERENT,False
59,Wet Leather,Polyrhythmics,Filter System,4:09,249,BXBSkmSq1MM,INDIFFERENT,False
60,The Thrill Is Gone,"David Grisman, Jerry Garcia",Jerry Garcia & David Grisman,4:45,285,gopv0c-xNEc,INDIFFERENT,False
61,Wavy (feat. The Soul Surfers),Janko Nilovic,Maze Of Sounds,3:12,192,4c3WSCpwnog,INDIFFERENT,False
62,Send It Back,DON WEST,Send It Back,2:54,174,Y7nDX15KJ5M,INDIFFERENT,False
63,Let Love Walk Out Again,The Emkays,Let Love Walk Out Again,2:35,155,xQlNf2fmdvY,INDIFFERENT,False
64,Are You Lonesome Like Me?,The Feminine Complex,Livin' Love,2:53,173,PjYlvAxbt8w,INDIFFERENT,False
65,Apollo's Mood,The Olympians,The Olympians,4:32,272,WQfx5jmzAyU,INDIFFERENT,False
66,Sound Vagabond,Eric Hilton,Sound Vagabond,3:05,185,1Gly6GjOMYo,INDIFFERENT,False
67,Over My Head,Ikebe Shakedown,Kings Left Behind,3:27,207,v4gFyAF_0-8,INDIFFERENT,False
68,Make Way For The Sun,O & The Mo,Make Way For The Sun,3:13,193,DXUI71uXscY,INDIFFERENT,False
69,Closin' in,Dylan LeBlanc,Coyote,3:12,192,5Yf-gulLWOQ,INDIFFERENT,False
70,Untrue Blues,Blind Boy Fuller,East Coast Piedmont Style,2:50,170,HEdJJs9d054,INDIFFERENT,False
71,Wave Paths,Mike Sanders,Wave Paths,3:33,213,F7UoLpeYadU,INDIFFERENT,False
72,Huatulco,Goth Babe,Tongass National Forest,2:55,175,9QhkjGHAHQ4,LIKE,False
73,Tremendous Fantastic,Karate Boogaloo,Access All Areas,3:06,186,gWAsymwWb-w,INDIFFERENT,False
74,Pictures of You,"Drugdealer, Kate Bollinger",Pictures of You,3:10,190,OU3BMR15f8Y,INDIFFERENT,False
75,Come Right Back (pt. 2),"Leroi Conroy, Wesley Bright",Come Right Back (pt 1 and pt 2),3:17,197,fi-DGhHGu1Y,INDIFFERENT,False
76,Dusk Gale,Loscil,Umbel,7:36,456,W76Tf2OJrWE,INDIFFERENT,False
77,Peace Blossom Boogy,Babe Rainbow,Peace Blossom Boogy,3:15,195,H7sqGld0yBA,INDIFFERENT,False
78,Hong Sau,In Motion Collective,Hong Sau / Elephant Walk,3:24,204,a0IsicIJOn8,INDIFFERENT,False
79,Perfect Dark (New York Version),Flyte,Perfect Dark (New York Version),3:33,213,fJskjErEe0s,INDIFFERENT,False
80,A Message to Pretty,The Rising Storm,Calm Before...,3:29,209,EwsVRrIUpyA,INDIFFERENT,False
81,Walkin',Patti Whipp,Walkin' b/w It's Gone,2:35,155,DpuVrjxxv8Q,INDIFFERENT,False
82,Wondrous Place,Drug Store Romeos,Wondrous Place,2:14,134,KnlHOSTezJM,INDIFFERENT,False
83,Wait A Minute / Praying For A Jeepbeat (Smokers Delight Original Version),Nightmares On Wax,Smokers Delight,2:45,165,fL9s3jgo7Pg,INDIFFERENT,False
84,I Root,Michael Nau,I Root,2:19,139,8c5kd_pNPbM,INDIFFERENT,False
85,Crying Shame,Clifton Hicks,Old Leatherstocking,3:04,184,uMwh7xJaQLw,INDIFFERENT,False
86,Jeux de regards,Isabelle Mayereau,Parcours,3:26,206,COariiZGpTY,INDIFFERENT,False
87,Brand New Key,Melanie,Gather Me,2:28,148,-mXlW9LytYo,LIKE,False
88,"Don't Think Twice, It's All Right (Album Verison)",Ramblin' Jack Elliott,Young Brigham,3:52,232,OeucVztLMh0,INDIFFERENT,False
89,Color Me Blue,Akane,Color Me Blue,3:11,191,YguvZnzjrsU,INDIFFERENT,False
90,Elk River Blues,Erynn Marshall,Calico,3:09,189,AzrfJws6l_o,INDIFFERENT,False
91,Windows,Sugar Candy Mountain,Windows,3:13,193,0Mel8jtB1Ck,INDIFFERENT,False
92,Actress,HoneyWire,HoneyWire,2:13,133,_eAV67aWXzA,INDIFFERENT,False
93,April Suzanne,Robert Lester Folsom,Music and Dreams,4:04,244,aDP5HwEf83M,INDIFFERENT,False
