position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,Cowpoke,Hank Williams Jr.,Ballads Of The Hills & Plains,2:08,128,3oLPB4J3rM4,INDIFFERENT,False
2,Cowpoke,Eddy Arnold,Cattle Call,2:21,141,JGXNCtrKK-4,INDIFFERENT,False
3,Gentle On My Mind,Roger Miller,A Tender Look At Love,3:02,182,V8xqI2mvLOI,INDIFFERENT,False
4,Seems Like,Thee Sinseers,Seems Like,3:15,195,UBEjQUPG680,INDIFFERENT,False
5,Chorar Na Beira Do Mar,"Pedro Mizutani, Skinshape",Pensando Baixo,2:09,129,oshPEWc9uUc,INDIFFERENT,False
6,Come Back (Buddha Remastered 2001),The Five Stairsteps,The First Family of Soul: The Best of The Five Stairsteps,2:55,175,5B1jEh8Kj4Y,INDIFFERENT,False
7,Love In The Hot Afternoon,Gene Watson,Love In The Hot Afternoon,3:20,200,5JsQNPJ8yNs,INDIFFERENT,False
8,Sweet Serotonin,Amber Mark,Pretty Idea,3:02,182,Vk9zGS8irM0,INDIFFERENT,False
9,(Margie's At) The Lincoln Park Inn,Bobby Bare,(Margie's At) The Lincoln Park Inn,3:19,199,m2am6GLPlRU,INDIFFERENT,False
10,Jamestown Ferry,Charley Crockett,Lonesome Drifter,3:27,207,m53PDUzEBsw,INDIFFERENT,False
11,Hello Walls,Willie Nelson,And Then I Wrote,2:27,147,yGYozNjFlFQ,INDIFFERENT,False
12,West Virginia Waltz,Sierra Ferrell,Long Time Coming,3:34,214,1bE7LApwxUk,INDIFFERENT,False
13,Blue Field,Stonewall Jackson,The Real Thing,2:51,171,EkeuSe_Y6f4,INDIFFERENT,False
14,Suzanne,"Mark Ronson, RAYE",Suzanne,3:56,236,3NP4Y3QKNCk,INDIFFERENT,False
15,Upside Down,54 Ultra,Upside Down,3:17,197,QBi656z3mmo,INDIFFERENT,False
16,Good To Be Alone (feat. Cory Henry),Stacey Ryan,Good To Be Alone,2:26,146,TAQb3mib_KU,INDIFFERENT,False
17,"When I Die, Just Let Me Go To Texas",Ed Bruce,The Tennessean,3:12,192,vPNQelV9ALc,INDIFFERENT,False
18,(Pardon Me) I've Got Someone To Kill,Johnny Paycheck,The Outlaw (Original Little Darlin' Recordings),2:56,176,GmNSxB4uz5U,INDIFFERENT,False
19,Catfish John (Rerecorded),Johnny Russell,Johnny Russell: All-Time Greatest Hits,2:59,179,zmXDzeyAOPw,INDIFFERENT,False
20,Give Me a Pinto Pal,Elton Britt,Presenting Elton Britt,2:25,145,3uNMeFkXEQ0,INDIFFERENT,False
21,Statue of a Fool,Jack Greene,The Best Of,2:56,176,_ASLHI1gwds,INDIFFERENT,False
22,"Little Joe, the Wrangler",Sons Of The Pioneers,Sing Legends of the West,3:51,231,8gfJOmUyg2s,INDIFFERENT,False
23,Cross The Brazos At Waco (Single Version),Billy Walker,Billy Walker: Columbia Hits,2:53,173,z-wGSp8TwFE,INDIFFERENT,False
24,Long Game,Emily Nenni,Long Game,3:01,181,qtdiYiGE_Mk,INDIFFERENT,False
25,I Can't Help It (If I'm Still In Love With You) (The Kate Smith Evening Hour) (feat. Anita Carter),Hank Williams,The Complete Hank Williams,1:58,118,YVyXtMCPB2k,INDIFFERENT,False
26,Let Her Go,Mac DeMarco,Salad Days,3:03,183,BTNiuMDX5YA,INDIFFERENT,False
27,My Dream Come True,Jack Scott,Sad Story,2:56,176,OO6uDdRsckM,INDIFFERENT,False
28,Psycho,Eddie Noack,Presenting Eddie Noack,3:37,217,D5fwtrD_uCM,INDIFFERENT,False
29,Cross My Mind,Olivia Dean,Growth,2:51,171,ec_tA4Lvn_o,INDIFFERENT,False
30,linknb,Kelela,new avatar,1:56,116,ljrpbRQ3CsE,INDIFFERENT,False
31,the man with money in his hands,Jessie Mazin,the man with money in his hands,2:58,178,_z7-kd48ANU,INDIFFERENT,False
32,I'm a Long Way from Home,Waylon Jennings,Nashville Rebel,3:34,214,gJv5rPylEkM,INDIFFERENT,False
33,The Wild Side Of Life,Hank Thompson,A Six Pack To Go,2:43,163,YUYnmOuEZEY,INDIFFERENT,False
34,Paradise,Sade,Stronger Than Pride,4:03,243,SLbvyz_Hk9E,INDIFFERENT,False
35,I Want You,Debbii Dawson,I Want You,2:19,139,UCSqd1ZHU6I,INDIFFERENT,False
36,Don't Let Me Cross Over,Carl Butler,Don't Let Me Cross Over,2:58,178,ObPKgbrpv0w,INDIFFERENT,False
37,Whispering Pines,Johnny Horton,The Spectacular Johnny Horton,2:56,176,6bS1XBw-U50,INDIFFERENT,False
38,After The Fool You’ve Made Of Me,Jerry Lee Lewis,Country Class,2:14,134,2xT3bm7ZXWA,INDIFFERENT,False
39,Until You Came Along,The Visitors,Until You Came Along,2:18,138,ZlzdWyUFqfQ,INDIFFERENT,False
40,In the Shadow of the Valley,"Don Burnham, Jerry Burnham",Swingin' out West,3:07,187,hrUXAC_wqrY,INDIFFERENT,False
41,Angel Eyes,The Charities,Bring Your Love / Angel Eyes,2:31,151,aHIKQUEOOdc,INDIFFERENT,False
42,Pop a Top,Jim Edward Brown,Just Jim,2:20,140,bQ5WTGGKAAM,INDIFFERENT,False
43,Love's Gonna Live Here,Buck Owens,"All-Time Greatest Hits, Vol. 2",2:02,122,LUrgEu-W9oQ,INDIFFERENT,False
44,Good At Breaking Hearts (feat. Jnr Williams & Loaded Honey),Jungle,Volcano,3:34,214,njcYqZerCeY,INDIFFERENT,False
45,Too Many Tears,"Aaron Frazer, Durand Jones & The Indications",American Love Call,2:12,132,YVgvEiE7Lwo,INDIFFERENT,False
46,Amigo's Guitar,Kitty Wells,The Country Music Hall Of Fame,2:42,162,5dPNA9Wtd90,INDIFFERENT,False
47,Like a Wave,Cat Clyde,Ivory Castanets,3:11,191,as1EzpWyP7U,INDIFFERENT,False
48,Two Tears Tonight (feat. Café Canela & Burgundy Blues),Thee Hi Lifes,Two Tears Tonight,2:33,153,OFOkPxoprzY,INDIFFERENT,False
49,I Don't Mind,Sturgill Simpson,Cuttin' Grass - Vol. 1 (Butcher Shoppe Sessions),4:30,270,xfOyY4fFBHo,INDIFFERENT,False
50,Saturday Night,Ravyn Lenae,Saturday Night,3:38,218,iex9D7pxYbc,INDIFFERENT,False
51,One Thing,Lola Young,One Thing EP,3:29,209,QLXeTU2hTT0,INDIFFERENT,False
52,Losing You,Naomi Scott,F.I.G,2:23,143,4TLPBj4TIJU,INDIFFERENT,False
53,Nobody Gets My Love,Junior Scaife,Nobody Gets My Love,2:54,174,BLHghVWJPPQ,INDIFFERENT,False
54,The Master's Call,Martin Robbins,Gunfighter Ballads and Trail Songs,3:06,186,bSb6rMvdrCQ,INDIFFERENT,False
55,Sea of Heartbreak,Don Gibson,The Complete Singles As & BS 1952-62,2:34,154,GPtTOZ5fu4Y,INDIFFERENT,False
56,Sunrise,Leigh-Anne,My Ego Told Me To,2:46,166,DRynW3diHxo,INDIFFERENT,False
57,How Glad I Am,The Greyboy Allstars,What Happened to Television?,2:51,171,kKCImOgRUv8,INDIFFERENT,False
58,Tú,maye,Tú,3:27,207,g-mh4JTOhVw,INDIFFERENT,False
59,The Way It Was in '51 (Tribute To Merle Haggard),David Frizzel,The Way It Was in '51 (Tribute To Merle Haggard),3:35,215,8uFoFWLet-4,INDIFFERENT,False
60,Erreur 404,L'Impératrice,Matahari (French Version),3:41,221,jazeXHnL8Xk,INDIFFERENT,False
61,Yellow Eyes,Yebba,Yellow Eyes,2:43,163,KGPaZ248B-k,INDIFFERENT,False
62,Funny How Time Slips Away,Ray Price,The Other Woman,3:38,218,OxTZXHYdk9k,INDIFFERENT,False
63,What Am I Doing It For?,Amma,Middle Child,1:38,98,cGDnmI8wTnU,INDIFFERENT,False
64,The Wild Side Of Life,Moe Bandy,Volume 10 - Barstool Mountain,3:04,184,DzcX71p1Plo,INDIFFERENT,False
65,Don’t Smile,Sabrina Carpenter,Short n' Sweet,3:27,207,zDHJ6nMG2BA,INDIFFERENT,False
66,I Could Get Used To This,Jessie Ware,Superbloom,3:42,222,baLj2gC3rf4,INDIFFERENT,False
67,Walk Out Backwards,Bill Anderson,Bill Anderson Sings Country Heart Songs,2:30,150,Niaru94vyKU,INDIFFERENT,False
68,Talk of the Town,The Love Rights,Talk of the Town,4:32,272,hMp_pMnTp3U,INDIFFERENT,False
69,"Bed of Roses (Live at Channel DR-TV, Copenhagen, Denmark - September 1971)",The Statler Brothers,Man in Black: Live in Denmark 1971,2:39,159,P--Lw7wvQ9o,INDIFFERENT,False
70,Walk On By,Leroy Van Dyke,Walk On By,2:25,145,qJVGkaGUqyI,INDIFFERENT,False
71,Be Here To Love Me,Norah Jones,Feels Like Home (Deluxe Edition),3:29,209,8PAKLDAkoDI,INDIFFERENT,False
72,The Cold Hard Facts of Life,Porter Wagoner,The Cold Hard Facts of Life,3:13,193,Ko0vugQ3bv0,INDIFFERENT,False
73,Running Bear,Sonny James,Lost Country Hits of the 60s,2:46,166,WpggXM3efiA,INDIFFERENT,False
74,365 Flavors,The California Honeydrops,365 Flavors,3:59,239,pj3qo2LxmQU,INDIFFERENT,False
75,Roll On,The Little Willies,The Little Willies,3:07,187,_8LBGAxlZww,INDIFFERENT,False
76,"Saginaw, Michigan",Lefty Frizzell,"The Complete Columbia Recording Sessions, Vol. 6 - 1959-1963",3:07,187,jE24q4xJgPg,INDIFFERENT,False
77,The Ballad of Boot Hill,Johnny Cash,Johnny Cash Sings The Ballads Of The True West,2:34,154,vKqyahhUq24,INDIFFERENT,False
78,It's Such A Pretty World Today,Wynn Stewart,It's Such A Pretty World Today,2:33,153,1Hu8RWyX9Ns,INDIFFERENT,False
79,Green Green Grass Of Home,Merle Haggard & The Strangers,Mama Tried,3:15,195,DAZcwZXhFb0,INDIFFERENT,False
80,I Ain't Never (Single Version),Webb Pierce,Grand Ole Opry 75 Years Volume Two,1:56,116,rDGANk5FGuc,INDIFFERENT,False
81,"He’s Not My Baby, I’m His",SIENNA SPIRO,Visitor,2:40,160,FFGddjoq1tY,INDIFFERENT,False
82,FOR THIS LOVE,Jessie J,Don't Tease Me With A Good Time,2:47,167,4OSwd3R_n2k,INDIFFERENT,False
83,Don't Worry 'Bout Me (Live) (feat. Ronny Robbins),Country's Family Reunion,A Grand Ole Time (Live / Vol. 1),3:28,208,fhR16d8Wb3Q,INDIFFERENT,False
84,August,Noeline Hofmann,August,3:48,228,mJaVE_je6Uo,INDIFFERENT,False
85,Indian Love Call,Slim Whitman,Una Paloma Blanca: The Best Of Slim Whitman,3:10,190,h-Zn_XFYzAU,INDIFFERENT,False
86,Galaxy,"FENNE, Mitchell Yard, Noa Lauryn",Galaxy,2:54,174,peeGiW0x_eI,INDIFFERENT,False
87,Work Song,Nina Simone,High Priestess Of Soul,3:04,184,UHcFmW0Dms8,INDIFFERENT,False
88,It's Four In The Morning,Faron Young,"The Greatest Country Music Recordings Of All Time, Vol. 6",2:58,178,kUQfb3_d8h8,INDIFFERENT,False
89,See The Big Man Cry,Charlie Louvin,Less And Less And I Don't Love You Anymore,2:26,146,wzLfcQ0DIJU,INDIFFERENT,False
90,Hammer,Lorde,Virgin,3:14,194,eUTUXAeSpqE,INDIFFERENT,False
91,Canadian Pacific,George Hamilton IV,Canadian Pacific,3:28,208,A4dmfSK33c8,INDIFFERENT,False
92,"Jim, I Wore a Tie Today",The Highwaymen,Highwayman,3:22,202,gtxNOAit5fo,INDIFFERENT,False
93,Dead To Me,Kali Uchis,Isolation,3:20,200,OcUDK4kAUIw,INDIFFERENT,False
94,The Last Ride,Hank Snow,Railroad Man,3:01,181,bmX6TQ9rzq4,INDIFFERENT,False
95,Making Love,Sir Woman,Making Love,3:22,202,2PmGpD5fUYE,INDIFFERENT,False
96,such is life,threetwenty,such is life,3:54,234,kRtP9VF21KY,INDIFFERENT,False
97,Show Me How,Men I Trust,Show Me How,3:36,216,DJCB1ZlseJ8,INDIFFERENT,False
98,Lie With Me,Elmiene,sounds for someone,3:20,200,jGxqIreO-W4,INDIFFERENT,False
99,All I Really Want Is You,The Marías,CINEMA,3:12,192,75DORZ43PrI,INDIFFERENT,False
100,"My Rifle, My Pony and Me",John T. Martin,A Cowboy's Last Ride,2:47,167,4tPVEzpKP5Y,INDIFFERENT,False
101,Where the Mountains Meet the Sky,Eddy Arnold,Cattle Call,1:59,119,VIN2QXj6CaA,INDIFFERENT,False
102,Act Naturally,Buck Owens,"All-Time Greatest Hits, Vol. 1",2:24,144,j51tjXACXhw,INDIFFERENT,False
103,Cattle Call,Billy Walker,"The Gun, the Gold and the Girl Cross the Brazos at Waco",1:37,97,JfWz1n5KHJI,INDIFFERENT,False
104,Life to Go,Stonewall Jackson,Columbia Country Classics Volume 3:  Americana,2:29,149,kEq-2GsHzhk,INDIFFERENT,False
