position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,Devil Blues,Sylvester Weaver,Sylvester Weaver Vol. 2 (1927),3:05,185,UDsWPM0g_0M,INDIFFERENT,False
2,Thinkin' on a Woman,Colter Wall,Songs of the Plains,3:21,201,H7uMDX_k8zg,INDIFFERENT,False
3,Rosemary,Sierra Ferrell,Trail Of Flowers,3:37,217,DoYRPz8DA_U,INDIFFERENT,False
4,Sunflower River Blues,John Fahey,"Death Chants, Breakdowns And Military Waltzes",2:36,156,nLsh_4D_rMs,INDIFFERENT,False
5,Lost Highway (1973 Studio Recording),Clarence White,Flatpick (Collector's Deluxe Edition),2:24,144,M1-8CnSzakQ,INDIFFERENT,False
6,Alberta,Blind Snooks Eaglin,That's All Right,2:36,156,P17KvBn5xTI,INDIFFERENT,False
7,Mill Town Flood,Billy Strings,Mill Town Flood,5:06,306,tDFKh861s_g,INDIFFERENT,False
8,I Want You,Tom Waits,The Early Years Vol. 2,1:23,83,PHPVCLadJTU,INDIFFERENT,False
9,Fine Anyway,Rogér Fakhr,Fine Anyway (Habibi Funk 016),2:44,164,UKhL5cO8Ssk,INDIFFERENT,False
10,Nude,Radiohead,In Rainbows,4:16,256,4-aiSnnghQk,INDIFFERENT,False
11,Let No Man Steal Your Thyme,Sandy Denny,Early Home Recordings,2:25,145,VTV5YKAHQC4,INDIFFERENT,False
12,idea 1,Kelela,new avatar,3:26,206,PM5wY1hqnN8,INDIFFERENT,False
13,(It Won’t Be Long) And I’ll Be Hating You,Johnny Paycheck,Original Billboard Hits,2:30,150,oQq84dPKjd8,INDIFFERENT,False
14,It Hurts Me Too,Elmore James,Dust My Broom,3:20,200,iBZRgnATKSQ,INDIFFERENT,False
15,Miller's Cave,Jack Clement,For Once And For All,2:25,145,SbY-XYIN9dE,INDIFFERENT,False
16,Devil Got My Woman,Skip James,Presenting Skip James,3:00,180,05ypnm_Wcls,INDIFFERENT,False
17,The Man from Waco,Charley Crockett,The Man from Waco,3:46,226,CE-sEXgZBN8,INDIFFERENT,False
18,The Sky Is Crying,Sonny Boy Williamson,Keep It To Ourselves,3:19,199,JuHlSTaPeak,INDIFFERENT,False
19,Voices,Sturgill Simpson,Metamodern Sounds in Country Music,2:48,168,YZoCnUO4sew,INDIFFERENT,False
20,Before You Hit the Ground,Dean Johnson,I Hope We Can Still Be Friends,3:25,205,SLXTv8Abs7A,INDIFFERENT,False
21,I'm So Lonesome I Could Cry,Hank Williams,Health & Happiness Shows,2:56,176,VqfisHUtWOA,INDIFFERENT,False
22,Hurt All Over,Emily Nenni,Hell of a Woman,3:34,214,HKXJMWXC9cU,INDIFFERENT,False
23,Blood's Thicker Than Water,Hank Williams Jr.,Ballads Of The Hills & Plains,2:35,155,p-HeVDYCaTE,INDIFFERENT,False
24,Good Luck Kid,Scott Ballew,Talking to Mountains,2:46,166,YoKGMx56Ctc,INDIFFERENT,False
25,i wanna be your right hand,Nemahsis,i wanna be your right hand,2:29,149,vLZ6Y0Q1qsM,INDIFFERENT,False
26,Forever,The Little Dippers,Forever,2:19,139,6VzRpY1e0Lw,INDIFFERENT,False
27,Tell Me Again,No Prospects,Tell Me Again,3:42,222,8hFIp9CG-Q4,INDIFFERENT,False
28,Richland Woman Blues,Mississippi John Hurt,Rediscovered,4:04,244,dHA36xVAYNE,INDIFFERENT,False
29,Blues Before Sunrise,Scrapper Blackwell,Mr. Scrapper's Blues,5:09,309,Iv2gD4POB7w,INDIFFERENT,False
30,Fallin' Rain,Link Wray,Link Wray,3:46,226,wk-V8iE1skE,INDIFFERENT,False
31,Done Got Old,Junior Kimbrough,First Recordings,2:41,161,pgufTUefVB8,INDIFFERENT,False
32,She Moves Me,Muddy Waters,The Best Of Muddy Waters,2:58,178,w9bXPxMTKl4,INDIFFERENT,False
33,Psycho,Eddie Noack,Presenting Eddie Noack,3:37,217,D5fwtrD_uCM,INDIFFERENT,False
34,Sittin On Top Of The World,Doc Watson,Doc Watson,2:39,159,gI27dp3sNYI,INDIFFERENT,False
35,not a fantasy,WILLOW,petal rock black,2:15,135,BcFI1n-d6bU,INDIFFERENT,False
36,The Tears On Lincoln's Face,Tommy Cash,Rise and Shine,2:29,149,lCZBD5Gibeo,INDIFFERENT,False
37,You Were Born to Die,"Cat Clyde, Jeremie Albino",Blue Blue Blue,2:21,141,306LxaQgrZU,INDIFFERENT,False
38,If This Is Just a Game,David Allan Coe,Human Emotions,3:30,210,k6Yp55w56MQ,INDIFFERENT,False
