position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,Sweet Instability,Suso Sáiz,Resonant Bodies,3:54,234,CO8t-l3CdC4,INDIFFERENT,False
2,Last Light,Anders Schill Paulsen,Last Light,2:51,171,vp3Exd9Z4-c,INDIFFERENT,False
3,Denna,Finnegan Tui,"Lost Tales, Vol. 1",3:31,211,8ZNucRs1hf8,INDIFFERENT,False
4,Outside In,We Dream of Eden,Innerspace,3:09,189,NyguMxVh6z0,INDIFFERENT,False
5,The Fog,Realizer,The Fog,1:30,90,XqOx9Lx6Wjg,INDIFFERENT,False
6,Steep Hills of Vicodin Tears,"A Winged Victory for the Sullen, Adam Wiltzie, Dustin O'Halloran",A Winged Victory for the Sullen,4:27,267,1Fl9Nv-gL9I,INDIFFERENT,False
7,Fromme,Loscil,Coast / Range / Arc,7:36,456,86K_KPnNiNw,INDIFFERENT,False
8,Forms,Cardamom,Forms,3:01,181,Ijx6qgW_-ZM,INDIFFERENT,False
9,Largo From Winter,Lara Somogyi,Largo From Winter,3:49,229,GO6MB0QaVlQ,INDIFFERENT,False
10,Clair de lune (Arr. for Theremin and Voice by Carolina Eyck),"Carolina Eyck, Claude Debussy",Clair de lune (Arr. for Theremin and Voice by Carolina Eyck),4:57,297,cdIPRAHJLQ0,INDIFFERENT,False
11,Pollinia,Trevor Kowalski,What Lies at Bay,2:31,151,QpAmI3KgOJ0,INDIFFERENT,False
12,Faith in You,DEX 1200,Faith in You,3:19,199,7EM9Rl4WA4Y,INDIFFERENT,False
13,Sierra,inola,Sierra,3:34,214,Ogd7kyz4FX0,INDIFFERENT,False
14,Vårsøg (Arr. for Violin and Orchestra by Ben Palmer),"Arctic Philharmonic, Eldbjørg Hemsing",Vårsøg (Arr. for Violin and Orchestra by Ben Palmer),3:41,221,XBgYZtAbkik,INDIFFERENT,False
15,Pavane (Sam Thompson Rework),"Martha Thompson, Peter Gregson, Sam Thompson",Summer Tales,5:24,324,-ocH5JmZpYo,INDIFFERENT,False
16,Verdigris,"Brian Eno, Roger Eno",Mixing Colours,4:04,244,DaVhz2b-sEQ,INDIFFERENT,False
17,Solace,Stephen Weber,Solace,3:09,189,0MIc02PRjjY,INDIFFERENT,False
18,essence,Antarctic Wastelands,luminance,3:00,180,Dq2TtHyNam8,INDIFFERENT,False
19,Close To Her,Benjamin Gustafsson,Close To Her,3:30,210,gEvnmYJLQmU,INDIFFERENT,False
20,Ocean In A Shell,Birds of Norway,Ocean In A Shell,3:02,182,Wu9aScE3we8,INDIFFERENT,False
21,Tillbaka,Stilhed,Tillbaka,2:04,124,1mcx9OdEZXo,INDIFFERENT,False
22,Haul (Radio Edit) (feat. Mohna),Christian Löffler,Haul,3:38,218,x8kMzAmfNEk,INDIFFERENT,False
23,First day of winter,Library Tapes,Sketches,2:54,174,8btHvnL9AWk,INDIFFERENT,False
24,The Most Beautiful Thing I'll Never Have,Mustafa Avşaroğlu,Nostalgia,3:09,189,pdwhRryMWcI,INDIFFERENT,False
25,Navigation IV,Flore Laurentienne,Navigation IV,3:40,220,70Al0-naCPs,INDIFFERENT,False
26,Emerge: Postlude,Roary,Emerge,2:36,156,cXk4KxsJEmo,INDIFFERENT,False
27,Nurture,"Peter Belec, Soundscape Architects",Nurture,3:48,228,jfDR4cgtSYw,INDIFFERENT,False
28,The Fires At Night,Eluvium,Virga III,6:18,378,wNNYmQoaCbU,INDIFFERENT,False
29,Hohenbol,Feldgeister,Between Camerae,3:20,200,hSzmR10T1hs,INDIFFERENT,False
30,Dying Alone,Hammock,Dying Alone,3:55,235,LFE7JeF56SY,INDIFFERENT,False
31,Dissolving,Hanna Lindgren,Waking from a Dream,3:24,204,sjsBHCKv5WQ,INDIFFERENT,False
32,Close to the Morning,Aukai,Close to the Morning,3:32,212,NQnMAyzn5Hs,INDIFFERENT,False
33,The smell of darkness,Chihei Hatakeyama,Afterimage,4:27,267,1gXWcKYcrWI,INDIFFERENT,False
34,Celestial Lift,Tehan Form,Celestial Lift,2:53,173,dhABmwFbw6A,INDIFFERENT,False
35,snowfield,".diedlonely, Blut Own",snowfield,3:08,188,83boEyOO-pY,INDIFFERENT,False
36,"Fauna, Pt I",Gidge,Autumn Bells,3:34,214,ZPsRj20nuuA,INDIFFERENT,False
37,Over the Clouds,The Golden Peas,Over the Clouds,3:01,181,hpwhKRWRagI,INDIFFERENT,False
38,Sept Douleurs,"Alexandra Hamilton-Ayres, Her Ensemble",Play Echoes,3:55,235,BcikWyKpatM,INDIFFERENT,False
39,Voices In The Dark,JQ,Outside,4:09,249,qt2t-V7QxQE,INDIFFERENT,False
