position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,Where Are You,Abel York,Where Are You,3:19,199,CGiQYnIGaRQ,INDIFFERENT,False
2,It's a Monster (Mystic Remix),Rising Dust,Reef,8:04,484,sYxRIbrtDPM,INDIFFERENT,False
3,Aria 51,Ajja,Oddular,7:00,420,l9YZTx4w5fs,INDIFFERENT,False
4,Invent the Future,Ingrained Instincts,Invent the Future,7:15,435,rkVk3PQUcZ8,INDIFFERENT,False
5,I Need More Energy,"Jumpstreet, Z-Cat",I Need More Energy,6:29,389,huxg-4fwHrI,INDIFFERENT,False
6,Awake the Snake (Volcano on Mars Remix),"Astrix, Tristan",Awake the Snake,8:20,500,RRg9aXhZawk,INDIFFERENT,False
7,Shining (feat. Ekko),Korolova,Shining,3:40,220,WZyiHdp1YBw,INDIFFERENT,False
8,Dun Dun,DEKEL & SHTUBY,Dun Dun,8:50,530,MzGIi1fNlFE,INDIFFERENT,False
9,Energy,Raz,Energy,3:21,201,ZWmkxd4RKiY,INDIFFERENT,False
10,Tridimensional Object,"Oxyflux, Render",Eagles Rising,7:02,422,zcfYN0dnHZY,INDIFFERENT,False
11,Fractal,Crocoloko,Fractal,6:40,400,H6R489_htUU,INDIFFERENT,False
12,Wake Up To Reality,Tao Andra,Move / Wake Up To Reality,5:30,330,GUJ-PFnXZvI,INDIFFERENT,False
13,Microsphere & Radikal Moodz -  Master Of Time,psychedelicious,,7:31,451,VfBKMf9dE98,INDIFFERENT,False
14,Tell Me Why (MEDUZA Remix),Supermode & MEDUZA,Tell Me Why (MEDUZA Remix),2:52,172,VeGBIjyA40M,INDIFFERENT,False
15,Liquid Soul - Hypnotic Energy (Static Movement Remix),Static Movement,,9:01,541,Vpwjf6QXVPE,INDIFFERENT,False
16,Source,Djantrix,Source,6:47,407,l-JUCqppU1I,INDIFFERENT,False
17,It's Time,Avalon,Rise,6:38,398,ha68yWbzIFY,INDIFFERENT,False
18,A Bit More,"Fungus Funk, Drip Drop",Alien Forces,7:20,440,LG9QX5FrE4g,INDIFFERENT,False
19,To Byculla (Rising Dust Remix),Juno Reactor,Shofar,7:47,467,vfbGUnVvMA4,INDIFFERENT,False
20,Thelios - Jungle Bells,psychedelicious,,7:55,475,FkFINiEeaBs,INDIFFERENT,False
21,Bipolar Bear,"Bigitam, Detune",Bipolar Bear,7:27,447,vE45HFvrNuY,INDIFFERENT,False
22,Glory Hope,"Render, Noface, Gigi",Perpetual,6:51,411,wgeOrR6kVco,INDIFFERENT,False
23,Dimensional Portals,Psydewise,Genetic Expression,6:01,361,jsJk__4XcVk,INDIFFERENT,False
24,Groovy Baby,NoFace & Gigi,"Tales From The Shiny Woods, Vol. 1 : The Last Kung Fungus",8:17,497,9SqzS7V-ij0,INDIFFERENT,False
25,Papas on Acid,Lost Papas,Papas on Acid,7:07,427,eLYK77ySuhU,INDIFFERENT,False
26,Liquid Hook (Gorovich Remix),"Captain Hook, Liquid Soul",Liquid Hook (Gorovich Remix),6:58,418,H8N_fixIoGY,INDIFFERENT,False
27,Peyotes - Hikuri,Sangoma Records,,7:36,456,30wid71tq8c,INDIFFERENT,False
28,Land of 2 Suns (Liquid Soul Remix),Aqualize,Land of 2 Suns (Liquid Soul Remix),8:16,496,VmVBxOeBTRU,INDIFFERENT,False
29,Inside,Gorovich,Creative Acts,7:03,423,4PkSruWFA2U,INDIFFERENT,False
30,Insane Creatures & Zenkai & ZZbing - Don't Take The Blue Pill,psychedelicious,,7:30,450,Js9yDio1pyQ,INDIFFERENT,False
31,Empathogen,E-Mov,Empathogen,7:14,434,SJotqR_m9as,INDIFFERENT,False
32,Drop & Roll,Drip Drop,Drop & Roll,6:47,407,gPL9YNqTyKk,INDIFFERENT,False
33,You (Kleysky & Deep Kontakt Remix),Neelix,You (Kleysky & Deep Kontakt Remix),6:02,362,1MwC-5Abf5g,INDIFFERENT,False
34,Om namaha,Gammaepsilon,Om namaha,6:42,402,bJV2ChvIm7g,INDIFFERENT,False
35,Ascension,Koktavy,Ascension,8:42,522,ZH2G1r5N_E8,INDIFFERENT,False
36,Organic Rhythm,Ritmo,Organic Rhythm,8:25,505,P9pipEPQ1p0,INDIFFERENT,False
37,Wanna be Famous?,"Render, Braingineers",Perpetual,6:50,410,a1uMwbY4mxE,INDIFFERENT,False
38,always online,alyzea,always online,1:56,116,9Y4_5ewBEcg,INDIFFERENT,False
39,We Are Thoughts,"GroundBass, Perception, Tijah",We Are Thoughts,6:12,372,hGiVOboWZNM,INDIFFERENT,False
40,Master Blasters,"Jhesha, x-side","Ancient Masters, Vol. 2 Compiled by X-Side",6:59,419,GQK_1QEql0I,INDIFFERENT,False
41,Tomorrow,"Gal Greenberg, Invasion",Tomorrow,5:51,351,ZSTpvLiaAfk,INDIFFERENT,False
42,Aura,Freedom Fighters & DEKEL,Aura,8:08,488,_5LIoZVEiRY,INDIFFERENT,False
43,Stars (feat. Amy Moon),"Querox, Synesthetic",Stars,6:09,369,qjqXMIHgjio,INDIFFERENT,False
44,Control Substance,Gigi & NoFace,Cyber Hippies,7:38,458,B0oqg29gbdM,INDIFFERENT,False
45,Have Fun,SaheL,Have Fun,7:02,422,wUwEnkjVFn8,INDIFFERENT,False
46,Perpetual,"Render, Kabayun, Daksinamurti, Radikal Moodz",Perpetual,7:35,455,7n_v6DL1NRw,INDIFFERENT,False
47,Twisted Paradise,AliGroove,Nonplussed II (Compiled by Ana Valeriano),7:29,449,uDolHpskYDs,INDIFFERENT,False
48,Physical Substance,Amstex,Genesis,6:16,376,ekvneB4wyBg,INDIFFERENT,False
49,Aardvarkk - Powderpuff,psychedelicious,,7:30,450,wMBQywEvGb0,INDIFFERENT,False
50,Glitch (Monococ Remix),JNTN,Glitch,6:21,381,RVH1d-eQtOk,INDIFFERENT,False
51,Space Tube 25 Indira Paganotto Remix,Captain Hook,Space Tube 25 Indira Paganotto Remix,6:30,390,d5aaisita1k,INDIFFERENT,False
52,Hippietalamus,Daksinamurti,"Manduka compiled by Daksinamurti, Emiel",6:50,410,nurjqy-vbYQ,INDIFFERENT,False
53,Kupidox - hello zohar,Kupidox,,4:32,272,Ob3laqqWDLs,INDIFFERENT,False
