videoId,title,artists,album,duration,duration_seconds,first_seen,last_seen,times_recommended,latest_position,likeStatus,inLibrary
duc1ldSHfcA,The Storm,Sturgill Simpson,Cuttin' Grass - Vol. 1 (Butcher Shoppe Sessions),2:32,152,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,2,INDIFFERENT,False
NUhmvjFtwaI,Fire In The Middle,Nightmares On Wax,Carboot Soul,4:18,258,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,3,INDIFFERENT,False
mg7c3iJDkkY,Travel Diary,The Folks,Travel Diary,3:09,189,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,5,INDIFFERENT,False
0ytYum0VKcU,Bully Of The Town,Norman Blake,Back Home In Sulphur Springs,2:03,123,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,7,INDIFFERENT,False
yJbPNeHS4bo,The Eastern Connection,Skinshape,Arrogance is the Death of Men,3:35,215,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,8,INDIFFERENT,False
8-tExhHBdf0,The Cuckoo Bird,Willie Watson,"Folksinger, Vol. 2",3:13,193,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,16,INDIFFERENT,False
4umahhfnG5g,Go in Peace,Sturgill Simpson,The Ballad of Dood & Juanita,2:38,158,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,22,INDIFFERENT,False
h3lj2-J2Ze0,My October,The Folks,My October,2:05,125,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,25,INDIFFERENT,False
fbeN-OsdZjw,I Wish You Love,"London Festival Orchestra, Ronnie Aldrich & His 2 Pianos",The Magic Mood Of Ronnie Aldrich,3:14,194,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,30,INDIFFERENT,False
RRtB_MFFdE8,Mama Talking (feat. Stuff Smith),Parov Stelar,The Burning Spider,2:59,179,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,32,INDIFFERENT,False
uneFuPJcjjg,Feeling Odd,Shawn Lee,Shawn Lee's Soulscapes,1:56,116,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,34,INDIFFERENT,False
z-7YjIkEKKg,Bettina,"Skinshape, The Horus All Stars",Skinshape X Horus,3:44,224,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,35,LIKE,False
rvjFKme0tt4,Present,Lloyd Vaan,Lens Flare,2:26,146,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,36,INDIFFERENT,False
YsIgqpNbcuw,Carolina Carol Bela,"Jorge Ben Jor, Toquinho",Toquinho (1970),3:08,188,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,38,INDIFFERENT,False
BPkqI-gVQe8,Sitting Here Without You,Sturgill Simpson,Cuttin' Grass - Vol. 1 (Butcher Shoppe Sessions),1:56,116,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,42,INDIFFERENT,False
49JgvZIn6_0,La notte muore (orchestra),Sandro Brugnolini,L'uomo dagli occhiali a specchio,2:39,159,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,49,INDIFFERENT,False
iSjcO-Fmlqw,Love's Pilot,Tejon Street Corner Thieves,Love's Pilot,2:58,178,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,59,LIKE,True
RL6JzTCavJY,Brace for Impact (Live a Little),Sturgill Simpson,Cuttin' Grass - Vol. 2 (Cowboy Arms Sessions),4:19,259,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,62,INDIFFERENT,False
91ArCmT8cF0,Edge of Desire,"Jonas Blue, Malive",Edge of Desire,2:15,135,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,63,INDIFFERENT,False
I0f-dCMSVKQ,Shady Grove,Doc Watson,Good Deal!,2:59,179,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,66,INDIFFERENT,False
o8GTPURwew4,Late Lunch,"Ferdinand Moses, Furs",All There Really Is,3:17,197,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,67,INDIFFERENT,False
-ZQaH86R6kg,Countryside,The Folks,Countryside,2:38,158,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,71,INDIFFERENT,False
37N8VpgcxkQ,Darby's Castle,Country Gentlemen,Sugar Hill Collection,2:50,170,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,72,INDIFFERENT,False
cdK31W9ssU0,Always Lift Him Up And Never Knock Him Down,Willie Watson,"Folksinger, Vol. 2",2:36,156,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,74,INDIFFERENT,False
cVToxibAlyI,La donna malese,Riz Ortolani,Malesia magica (Original Motion Picture Soundtrack / Extended Version),2:57,177,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,75,INDIFFERENT,False
jLJGCOzQ-xc,Hellé (Ballade),Philippe Sarde,Hellé (Original Motion Picture Soundtrack),1:13,73,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,76,INDIFFERENT,False
zHoWd_M2_rc,Hazy Daze,Shawn Lee,Shawn Lee's Soulscapes,2:07,127,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,79,INDIFFERENT,False
613WjEPEXTI,Just Let Go,Sturgill Simpson,Cuttin' Grass - Vol. 1 (Butcher Shoppe Sessions),3:03,183,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,82,INDIFFERENT,False
m9gsV4uR8bw,All Night,Parov Stelar,The Princess,2:47,167,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,83,INDIFFERENT,False
v3jHg_0kLmU,Sogni ancora,Piero Piccioni,La Parmigiana (Original Motion Picture Soundtrack),1:28,88,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,85,INDIFFERENT,False
7N4_mlT5CtA,Fly,Art Music,Fly,2:20,140,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,87,INDIFFERENT,False
skUYldtiik8,Bad Girls (feat. Elliot Deutsch),"Alanna Lyes, Atom Smith",Bad Girls,2:40,160,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,88,INDIFFERENT,False
3UkPL1vEmt4,Back To Reality (Original Mix - Mixed),RMS,DJ Hybrid presents Welcome To The Jungle (DJ MIX),1:25,85,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,90,INDIFFERENT,False
FPCM0L_kj68,Jesse James,The Country Gentlemen,"Country Songs, Old and New",2:40,160,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,92,INDIFFERENT,False
jZlTPUeFbbY,Leavin' Blues,Willie Watson,"Folksinger, Vol. 2",3:30,210,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,94,INDIFFERENT,False
wpbACnaChsE,Autumn Mountain,The Folks,Autumn Mountain,2:36,156,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,95,INDIFFERENT,False
NND4ANRnJdk,River Roll,Cristina Vane,River Roll,3:47,227,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,96,INDIFFERENT,False
G-83fZi-JB8,They're Red Hot,Robert Johnson,The Complete Recordings,2:57,177,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,111,INDIFFERENT,False
k8fv9ZIo3FA,Moewe,Löwenzahnhonig,Moewe,3:39,219,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,115,INDIFFERENT,False
4fjviTLYqoc,Spoonful,Howlin' Wolf,Howlin' Wolf,2:50,170,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,118,LIKE,False
vdF63_M-Hjw,I Shall Not Be Moved (Live),Mississippi John Hurt,The Best Of,3:30,210,2026-09-12T11:08:41Z,2026-09-12T11:08:41Z,1,120,INDIFFERENT,False
