videoId,title,artists,album,duration,duration_seconds,first_seen,last_seen,times_recommended,latest_position,likeStatus,inLibrary
hUYq1oKa8zQ,Pair of Dice,Sierra Ferrell,Pair of Dice,4:30,270,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,1,INDIFFERENT,False
OYLzeNue1D8,Palace of Illusions,Menahan Street Band & Arthur Verocai,Palace of Illusions,2:42,162,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,2,INDIFFERENT,False
SFAMLxWL1Ts,Outside Voice,Surprise Chef,Inside Voice / Outside Voice,4:17,257,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,3,INDIFFERENT,False
Py2ZJ1Xe5os,Always on Your Side,"Bonobo, Joy Crookes",Always on Your Side,3:29,209,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,4,INDIFFERENT,False
kkMy7mgEYTY,Shokoufeh,Bonobo,Distance in Static,3:28,208,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,5,INDIFFERENT,False
8mwWVyz3Bjc,Verses and Expressions,Steven Gutheinz,Verses and Expressions,3:01,181,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,6,INDIFFERENT,False
Yg2gkwSYqyQ,Far Away (feat. John Glacier & Khadija Al Hanafi),The Avalanches,Far Away,2:41,161,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,7,INDIFFERENT,False
0SPhT0zkbTg,Refugee,Edmar Castañeda,Refugee,5:49,349,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,8,INDIFFERENT,False
ieEsBnXpNYc,Sun King (feat. Francisca Barreto),Blanco White,Sun King,4:16,256,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,9,INDIFFERENT,False
bgVeLT4u0iI,Lark in the Darkness,Manic Focus,Lark in the Darkness,3:56,236,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,10,INDIFFERENT,False
nxHe9CX79h4,Same Old Blues (feat. Jessi Colter),Waylon Jennings,Same Old Blues,2:39,159,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,11,INDIFFERENT,False
OvH_nsPqkso,Believe,Amtrac,Have a Good One / Believe,3:19,199,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,12,INDIFFERENT,False
qHYuKExSETw,Sad Piano House (Kelbin Remix),Daphni & Kelbin,Sad Piano House / Cloudy (Kelbin Remixes),4:34,274,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,13,INDIFFERENT,False
13VrkaajmXw,In The Path of Hurricanes,Heather Nova,In The Path of Hurricanes,4:44,284,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,14,INDIFFERENT,False
ZzgXsU6T2WY,We Lying By Seasand,Ivan the Tolerable,Browning Out With Ivan The Tolerable,4:23,263,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,15,INDIFFERENT,False
COdDj6969uk,new worlds,"Abakus, Russ Davies",new worlds,5:42,342,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,16,INDIFFERENT,False
vKb_BKNyQFA,Easy (Acoustic),Molly Tuttle,So Long Little Miss Sunshine (Acoustic EP),3:09,189,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,17,INDIFFERENT,False
b9qnURYq-WU,Can’t You See,Bonobo & Aanya Martin,Distance in Static,3:46,226,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,18,INDIFFERENT,False
Jx1tMNPZU4I,Blue Mountain Hop - Live Heart,Béla Fleck,Blue Mountain Hop - Live Heart,6:55,415,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,19,INDIFFERENT,False
l5pNoYGtMrI,222,Sophie Woodhouse,222,2:38,158,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,20,INDIFFERENT,False
gPj4vWYAFlg,HELP ME UNDERSTAND,4evrx,HELP ME UNDERSTAND,4:44,284,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,21,INDIFFERENT,False
ZylezuWSMj8,We Just Hit 10K,Alex Bon Space,We Just Hit 10K,3:00,180,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,22,INDIFFERENT,False
QTq7OBydOR4,Old Me (New Wig) [Acoustic],Molly Tuttle,So Long Little Miss Sunshine (Acoustic EP),2:24,144,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,23,INDIFFERENT,False
RYC5ELy1sMw,With You,Nico Morano,With You,4:33,273,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,24,INDIFFERENT,False
8AdwnETjM7U,My Baby Loves Me,"Pokey LaFarge, Elliot Bergman, Addie Hamilton, Ben Lumsdaine, Natalie Bergman, Hank Mehren, Erik Miron, and Beau Sample",Rent Money,3:06,186,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,25,INDIFFERENT,False
PvOU5OoEMvo,Song Of You,The California Honeydrops,Song Of You,2:50,170,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,26,INDIFFERENT,False
aChMogkK1vo,Undercurrent,Tony Anderson,Undercurrent,6:03,363,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,27,INDIFFERENT,False
mDbAT-BOReM,Told You No,"Pokey LaFarge, Elliot Bergman, Hank Mehren, Nicholas Baker, Erik Miron, Beau Sample, and Alex Hall",Rent Money,3:31,211,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,28,INDIFFERENT,False
tcWfhk4IxOc,Inside Voice,Surprise Chef,Inside Voice / Outside Voice,1:14,74,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,29,INDIFFERENT,False
B6fSiRscuyU,Tiny Crafted Voltage,Benetti House Bar,Espresso Martini Velvet Dusk | Midnight Coffee Deep House 2026 | Dark Bar After Hours,3:05,185,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,30,INDIFFERENT,False
LEA3yJ2SoW0,Colors Collide,"French 79, New Constellations",Colors Collide,3:36,216,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,31,INDIFFERENT,False
7x7KYgRKBcY,Half Time,Armlock,Half Time,3:42,222,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,32,INDIFFERENT,False
vHQqddhh-H0,Mano nella Mano,House Italiano,Italian Deep House | Too Close,2:27,147,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,33,INDIFFERENT,False
uLqpofwAIPA,The Only One (feat. Christine and the Queens),Logic1000,The Only One,4:12,252,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,34,INDIFFERENT,False
oI-YXwzRi2E,Everything in the shade,Fine,Everything in the shade,3:37,217,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,35,INDIFFERENT,False
sSBawZl32kU,Silk Café Serenade (Lounge Instrumental),Benetti House Bar,French 75 After Midnight | Electric Deep House 2026 | Sip Turns Midnight Into A Ritual,3:20,200,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,36,INDIFFERENT,False
JjJnihejy4o,Imagine A Man (Pete Vocal / Early Mix),The Who,Imagine A Man (Pete Vocal / Early Mix),4:08,248,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,37,INDIFFERENT,False
ZyxjsrD6otg,a moment alone,Leaving Laurel,sketches for my beloved,4:18,258,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,38,INDIFFERENT,False
Vdm4Imusfuo,Shark Island (Catching Flies Remix),Thylacine & Catching Flies,Shark Island (Catching Flies Remix),3:20,200,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,39,INDIFFERENT,False
C6Md73qj4xQ,The Ladder,George FitzGerald,The Ladder,4:10,250,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,40,INDIFFERENT,False
uet3_GYtZRE,a lifetime has passed,Leaving Laurel,sketches for my beloved,5:12,312,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,41,INDIFFERENT,False
rRjl8FEsByc,Rosalee (Acoustic),Molly Tuttle,Rosalee (Acoustic),4:06,246,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,42,INDIFFERENT,False
G9cet5vmW2A,One More Dance,Carlita & Stevie Appleton,One More Dance,3:51,231,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,43,INDIFFERENT,False
JvwMqOVke1Y,Baby Please Don't Go,Bosko Baker,Baby Please Don't Go,4:30,270,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,44,INDIFFERENT,False
tKGKe4o8slY,Your Still here,STILLFORMS,Your Still here,3:48,228,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,45,INDIFFERENT,False
u4muknGvpDk,Serenity (Bass Music),"CarVibe, DeeppeeD, NeonSound33",Nataly (Bass Music),2:43,163,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,46,INDIFFERENT,False
B6jOBGvVXXU,Diamond Cut Sorrow,Seth Abstract,Diamond Cut Sorrow,5:18,318,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,47,INDIFFERENT,False
zQ0HH38bU5k,Until The Morning Comes,V O C A L O R A,Until The Morning Comes,4:09,249,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,48,INDIFFERENT,False
13KJvZ8W9ZI,Needles In Strawberries,Druid Fluids,Needles In Strawberries,6:39,399,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,49,INDIFFERENT,False
LrPKzFCze8Q,Beneath The Stars,Cvmpliant,Beneath The Stars,5:12,312,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,50,INDIFFERENT,False
GbJcDhkpco8,Placeholder,Sarah Lola,Placeholder,2:48,168,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,51,INDIFFERENT,False
NlUoDgD3at4,Something Real,Steaming Satellites,Something Real,3:16,196,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,52,INDIFFERENT,False
1T0ttTVIS4Y,Tower Of Babylon,"Andy Bell, Masal",Tower Of Babylon,3:40,220,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,53,INDIFFERENT,False
rmVFTegWl5c,ANIMAL HOSPITAL LOFI HIP HOP (Ultra Slowed),"HALO ZER0, MORTEK, NZXT",ANIMAL HOSPITAL LOFI HIP HOP,2:21,141,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,54,INDIFFERENT,False
_-G5Cgapp1c,SE VLEPO,Ghost Sounds,ORIGINS,2:51,171,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,55,INDIFFERENT,False
_P8xYjBR-MQ,"Slow Burn, No Rush",KSK Mix House,"Slow Burn, No Rush",3:42,222,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,56,INDIFFERENT,False
G2hlFj-VdfM,spot where cows can be watched,nobonoko,spot where cows can be watched,3:18,198,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,57,INDIFFERENT,False
a2VOtqkLIVw,God's Picture,Emma Ruth Rundle,God's Picture,5:20,320,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,58,INDIFFERENT,False
XuOoh_fTTZ8,We Were Young,Elysia Vale,We Were Young,4:09,249,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,59,INDIFFERENT,False
7lM8GBmsJG8,Closer Than Before,Elysia Vale,Closer Than Before,3:38,218,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,60,INDIFFERENT,False
