videoId,title,artists,album,duration,duration_seconds,first_seen,last_seen,times_recommended,latest_position,likeStatus,inLibrary
yCtpXRHwwXo,"Mississippi Half-Step Uptown Toodeloo > (Live at Merriweather Post Pavilion, Columbia, MD, 6/30/1985)",Grateful Dead,Merriweather 6/30/85 (Live),8:18,498,2026-09-25T08:51:12Z,2026-09-25T08:51:12Z,1,1,LIKE,True
8CUGmTKDYho,The Great Pretender,Old & In The Way,The Complete Boarding House Shows,3:55,235,2026-09-25T08:51:12Z,2026-09-25T08:51:12Z,1,15,INDIFFERENT,False
VnFP779xSXc,"Looks Like Rain > (Live at Merriweather Post Pavilion, Columbia, MD, 6/30/1985)",Grateful Dead,Merriweather 6/30/85 (Live),7:57,477,2026-09-25T08:51:12Z,2026-09-25T08:51:12Z,1,16,INDIFFERENT,False
3-XuzVv8z1E,"Big Railroad Blues (Live at Merriweather Post Pavilion, Columbia, MD, 6/30/1985)",Grateful Dead,Merriweather 6/30/85 (Live),4:12,252,2026-09-25T08:51:12Z,2026-09-25T08:51:12Z,1,25,INDIFFERENT,False
P_GlpxZgPVU,"C.C. Rider > (Live at Merriweather Post Pavilion, Columbia, MD, 6/30/1985)",Grateful Dead,Merriweather 6/30/85 (Live),8:06,486,2026-09-25T08:51:12Z,2026-09-25T08:51:12Z,1,36,INDIFFERENT,False
58JTV8kW2_8,"They Love Each Other (Live at Barton Hall, Cornell University, Ithaca, NY, 5/8/77)",Grateful Dead,Cornell 5/8/77 (Live),7:30,450,2026-09-25T08:51:12Z,2026-09-25T08:51:12Z,1,38,INDIFFERENT,False
QgZPWCr7Pow,They Say It's Wonderful,"Bill Stewart, Larry Goldings, Peter Bernstein",They Say It's Wonderful,6:31,391,2026-09-25T08:51:12Z,2026-09-25T08:51:12Z,1,44,INDIFFERENT,False
YQR00ITqOq4,"Brown-Eyed Women (Live at Merriweather Post Pavilion, Columbia, MD, 6/30/1985)",Grateful Dead,"Brown-Eyed Women (Live at Merriweather Post Pavilion, Columbia, MD, 6/30/1985)",6:03,363,2026-09-25T08:51:12Z,2026-09-25T08:51:12Z,1,45,INDIFFERENT,False
EnGzLlwmjSU,Time/Breathe Reprise,Greensky Bluegrass,"All Access, Vol. 1",5:39,339,2026-09-25T08:51:12Z,2026-09-25T08:51:12Z,1,47,INDIFFERENT,False
fkb93AnFj5Y,"Box of Rain (Live at the Civic Center, Hartford, CT, March 19, 1990)",Grateful Dead,Selections from Spring 1990 Box,5:28,328,2026-09-25T08:51:12Z,2026-09-25T08:51:12Z,1,52,INDIFFERENT,False
USXHBDx6Tdo,"Mexicali Blues (Live at Merriweather Post Pavilion, Columbia, MD, 6/30/1985)",Grateful Dead,Merriweather 6/30/85 (Live),5:17,317,2026-09-25T08:51:12Z,2026-09-25T08:51:12Z,1,55,INDIFFERENT,False
2NzdYj3qcBo,Blue Mule                  ,Old & In The Way,The Complete Boarding House Shows,5:08,308,2026-09-25T08:51:12Z,2026-09-25T08:51:12Z,1,57,INDIFFERENT,False
mzXu6sRSgCk,Dear Prudence,The Wooks,Glory Bound,5:42,342,2026-09-25T08:51:12Z,2026-09-25T08:51:12Z,1,58,INDIFFERENT,False
bQ5Fm-k_36U,Giant Steps,Jimmy Bruno,Burnin',5:39,339,2026-09-25T08:51:12Z,2026-09-25T08:51:12Z,1,60,INDIFFERENT,False
aPCldZ1CTDw,Groove Merchant,"Herb Ellis, Remo Palmier",Windflower,4:50,290,2026-09-25T08:51:12Z,2026-09-25T08:51:12Z,1,62,INDIFFERENT,False
P2Zcy4nHj-8,Come Sunrise,Kenny Drew Trio,Presenting The Kenny Drew Trio,4:34,274,2026-09-25T08:51:12Z,2026-09-25T08:51:12Z,1,66,INDIFFERENT,False
RGx-3g0MBIQ,"Keep On Growing (Live at Merriweather Post Pavilion, Columbia, MD, 6/30/1985)",Grateful Dead,Merriweather 6/30/85 (Live),4:38,278,2026-09-25T08:51:12Z,2026-09-25T08:51:12Z,1,67,INDIFFERENT,False
kFqL6BprLZM,Will the Circle Be Unbroken,"Dr. Ralph Stanley, Nathan Stanley",Gospel Favorites,4:23,263,2026-09-25T08:51:12Z,2026-09-25T08:51:12Z,1,70,INDIFFERENT,False
M1D6yqjna4g,The Line In Between,Dave Evans,Hang Out A Light For Me,4:22,262,2026-09-25T08:51:12Z,2026-09-25T08:51:12Z,1,71,INDIFFERENT,False
Bv4SB7aMWPs,That High Lonesome Sound,Old & In The Way,The Complete Boarding House Shows,4:00,240,2026-09-25T08:51:12Z,2026-09-25T08:51:12Z,1,74,INDIFFERENT,False
l7o6HRD9qOY,The Miners (feat. Ben McCullough),Traz Damji,Hardspace: Shipbreaker (Original Soundtrack),4:08,248,2026-09-25T08:51:12Z,2026-09-25T08:51:12Z,1,76,INDIFFERENT,False
333oJ5iTkIY,Rosin Some,Jake Xerxes Fussell,The Old Beloved Path,3:52,232,2026-09-25T08:51:12Z,2026-09-25T08:51:12Z,1,79,INDIFFERENT,False
R13io5eC8Cw,In Walked Bud,"David Hazeltine, Jesse van Ruller, Joe Farnsworth, Nat Reeves",Trio: Here And There,3:44,224,2026-09-25T08:51:12Z,2026-09-25T08:51:12Z,1,81,INDIFFERENT,False
SwK6xYTdd3k,Two Hits and the Joint Turned Brown (Live),Yonder Mountain String Band,"Mountain Tracks, Vol. 2 (Live)",3:39,219,2026-09-25T08:51:12Z,2026-09-25T08:51:12Z,1,84,INDIFFERENT,False
v5KFTSd9fFQ,Union Man,Blue Highway,Still Climbing Mountains,3:35,215,2026-09-25T08:51:12Z,2026-09-25T08:51:12Z,1,87,INDIFFERENT,False
ydhK503JHg0,Rosalee Mcfall,"David Grisman, Jerry Garcia, Tony Rice",The Pizza Tapes,3:13,193,2026-09-25T08:51:12Z,2026-09-25T08:51:12Z,1,98,INDIFFERENT,False
BcB6mJ07DtY,1901: A Canyon Oddyssey,The Infamous Stringdusters,Laws of Gravity,4:36,276,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,2,LIKE,True
6Jd-iQW8cQ8,Righteously,Anna Ash,Righteously,3:19,199,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,3,LIKE,True
bGL_CeyVUQc,Bitter Red,Qajar Jazz,Bitter Red,2:45,165,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,18,INDIFFERENT,False
xxxpnfRi4Tw,Endless Falls,loscil,Endless Falls,7:56,476,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,46,INDIFFERENT,False
75O11W5EZAU,#3,Aphex Twin,Selected Ambient Works Volume II,7:45,465,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,48,INDIFFERENT,False
uQOjknHwYlg,Oh! Lord,Cortex,"Cortex, Vol. 2",6:23,383,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,56,INDIFFERENT,False
MBGvMic-ZDE,Fine Corinthian Leather,Charlie Hunter,Baboon Strength,6:05,365,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,63,INDIFFERENT,False
nAIZlOtfKE0,Umbel,Loscil,Umbel,6:38,398,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,64,INDIFFERENT,False
ZFl56wvH90w,"Free Love (feat. Edoardo Ravaglia, Riccardo Gola & Fabio Sasso)",Milena Angelè,Resiliency,6:15,375,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,65,INDIFFERENT,False
N55Kywj3cZA,Dimly Lit Truths,Pause maybe?,Alone Tonight.,6:02,362,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,68,INDIFFERENT,False
wNNYmQoaCbU,The Fires At Night,Eluvium,Virga III,6:18,378,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,69,INDIFFERENT,False
GYWkc1xWh_A,Use It,Oscar Jerome,The Spoon,5:54,354,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,72,INDIFFERENT,False
gBZawQm1kyo,Sunfloating,Mount Shrine,Southeast Limits,5:56,356,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,75,INDIFFERENT,False
W2_SFv_4Hqo,Birth Of A River,FETSUM,The Colors Of Hope,5:29,329,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,77,INDIFFERENT,False
8nY7TOnEdb8,That Was A Dream,"Blake Mills, Pino Palladino",That Wasn't A Dream,5:29,329,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,78,INDIFFERENT,False
-ZC8o6rIcwk,Sienna,"Lawrence English, Loscil",Chroma,5:34,334,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,80,INDIFFERENT,False
VTEJWZeR_Dg,I Run To You,The Infamous Stringdusters,Laws of Gravity,5:28,328,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,83,INDIFFERENT,False
-BzesR53VAk,Last Dream Before Sunrise,Poemme,Day Arc,5:18,318,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,85,INDIFFERENT,False
FiEtYfEMy3U,Arrhythmia,Loscil,Lake Fire,5:17,317,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,86,INDIFFERENT,False
VOLj6cFHYAM,Nocturnal Bloom,Green-House,Music for Living Spaces,4:52,292,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,88,INDIFFERENT,False
fQUzYyLSJBI,the smoke decides,is it sunday?,"just business, darling.",4:28,268,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,89,INDIFFERENT,False
2OYWSaIZUZs,The Hitchhiker,The Infamous Stringdusters,Silver Sky,5:04,304,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,90,INDIFFERENT,False
TPHYb13zvEw,Where We Belong,Innesti,Contemplate,5:00,300,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,92,INDIFFERENT,False
gopv0c-xNEc,The Thrill Is Gone,"David Grisman, Jerry Garcia",Jerry Garcia & David Grisman,4:45,285,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,93,INDIFFERENT,False
6Gs-p0jgpVo,"Engine On, Jazz Locked In",oAo ~ Penguin Jazz ~,Penguins Groove on the Run – Jazz for PERFECT Work & Productivity,4:37,277,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,95,INDIFFERENT,False
qBCirZWN_u4,No Resolution,The Infamous Stringdusters,Fork In The Road,4:49,289,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,97,INDIFFERENT,False
zXimORab86Q,Soft Jazz (Elevator Music) - Jazz Music,Mr Jazz,"Video Background Music Shades - Chillout Lounge, Soft Jazz, New Age & Instrumental Piano (50 Royalty Free Music)",4:25,265,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,99,INDIFFERENT,False
hdR5zHDkXx4,Back Home,The Infamous Stringdusters,Laws of Gravity,4:38,278,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,100,INDIFFERENT,False
pJxl6BITXSY,Wash Away The Dust,Billow Observatory,Stareside,4:35,275,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,102,INDIFFERENT,False
AIcjsqGln2w,Pressure Point,Duncan Lamont,Bruton BRS8: Wipe Out,4:19,259,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,103,INDIFFERENT,False
5ZiIQJcl7ZA,The Elevator Bossa Nova,Bensound,The Elevator Bossa Nova,4:15,255,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,107,INDIFFERENT,False
Hi_XFhNmaY0,Space 1,Nala Sinephro,Space 1.8,4:08,248,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,111,INDIFFERENT,False
GwfcI0RvRfs,"This is ""shabe mahtab""",We Are Jazz,It’s okay not to be okay.,4:07,247,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,113,INDIFFERENT,False
hhvtevAtXjw,Easy,Okonski,Easy,3:46,226,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,114,INDIFFERENT,False
w7rTRY55Q2c,Big City Blues,321Jazz,Cafe Jazz Music,3:58,238,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,118,INDIFFERENT,False
fcIUh4OCym8,Not Your Fault,AWOLNATION,Megalithic Symphony,4:03,243,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,119,INDIFFERENT,False
JQ3Vbhj40IQ,DG on the Keys,Adrian Quesada,Jaguar Sound,3:55,235,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,120,INDIFFERENT,False
0csej9DPH24,After the Bubble,Chihei Hatakeyama,Thousand Oceans,4:07,247,2026-09-23T08:36:35Z,2026-09-25T08:51:12Z,2,122,INDIFFERENT,False
