videoId,title,artists,album,duration,duration_seconds,first_seen,last_seen,times_recommended,latest_position,likeStatus,inLibrary
MphYLC_w2ug,Yours,maye,Yours,3:41,221,2026-09-13T01:23:15Z,2026-09-13T01:23:15Z,1,28,INDIFFERENT,False
u51TkfgrKNY,The Way You'd Love Her,Mac DeMarco,Another One,2:37,157,2026-09-13T01:23:15Z,2026-09-13T01:23:15Z,1,101,INDIFFERENT,False
-lHgQRPcH3I,Billie Bossa Nova,Baila Nova,Coração Vagabundo,3:15,195,2026-09-13T01:23:15Z,2026-09-13T01:23:15Z,1,145,INDIFFERENT,False
9UxtZcNK5_s,Terracotta Walls,Ash Leone,Terracotta Walls,3:07,187,2026-09-13T01:23:15Z,2026-09-13T01:23:15Z,1,151,INDIFFERENT,False
zAgE98-FY_U,Not Too Late,Norah Jones,Not Too Late,3:32,212,2026-09-13T01:23:15Z,2026-09-13T01:23:15Z,1,178,INDIFFERENT,False
64pvLwwZ1ow,Another One,Mac DeMarco,Another One,2:41,161,2026-09-13T01:23:15Z,2026-09-13T01:23:15Z,1,201,INDIFFERENT,False
nxjvo4BRf-Y,Box of Rain,Grateful Dead,American Beauty,5:19,319,2026-09-13T01:23:15Z,2026-09-13T01:23:15Z,1,214,INDIFFERENT,False
ZhJdiYptKjY,Daydreaming,"Anderson .Paak, Knxwledge, NxWorries",Why Lawd?,3:02,182,2026-09-13T01:23:15Z,2026-09-13T01:23:15Z,1,215,INDIFFERENT,False
m3Gs5e6ux08,Evergreen (You Didn’t Deserve Me At All),Omar Apollo,Ivory,3:37,217,2026-09-13T01:23:15Z,2026-09-13T01:23:15Z,1,218,INDIFFERENT,False
dDSNYKaggyw,Free,Otis Kane,Free,2:47,167,2026-09-13T01:23:15Z,2026-09-13T01:23:15Z,1,219,INDIFFERENT,False
8PwDtOXlnRI,On the Level,Mac DeMarco,This Old Dog,3:48,228,2026-09-13T01:23:15Z,2026-09-13T01:23:15Z,1,256,INDIFFERENT,False
zzICMIu5zFY,Big Iron,Marty Robbins,Gunfighter Ballads And Trail Songs,3:56,236,2026-09-13T01:23:15Z,2026-09-13T01:23:15Z,1,271,INDIFFERENT,False
q-j5G7tz7m8,Back In Love,LEISURE,Back In Love,4:42,282,2026-09-13T01:23:15Z,2026-09-13T01:23:15Z,1,273,INDIFFERENT,False
N-TKOh0zsvU,The Girl From Ipanema,Stan Getz,Getz/Gilberto,5:25,325,2026-09-13T01:23:15Z,2026-09-13T01:23:15Z,1,281,INDIFFERENT,False
zktfGU6W5UI,Priceless,"LISA, Maroon 5",Love Is Like,2:44,164,2026-09-13T01:23:15Z,2026-09-13T01:23:15Z,1,314,INDIFFERENT,False
ASr_r6iqqf4,Nadja,Unknown Mortal Orchestra,V,4:07,247,2026-09-13T01:23:15Z,2026-09-13T01:23:15Z,1,322,INDIFFERENT,False
PpW5nn6L0U4,Salad Days,Mac DeMarco,Salad Days,2:26,146,2026-09-13T01:23:15Z,2026-09-13T01:23:15Z,1,329,INDIFFERENT,False
xHT9dfg4cmc,"Back, Baby",Jessica Pratt,On Your Own Love Again,3:56,236,2026-09-13T01:23:15Z,2026-09-13T01:23:15Z,1,370,INDIFFERENT,False
XavWtyd8QzE,Unhinged,Masego,Unhinged,3:05,185,2026-09-12T20:31:33Z,2026-09-12T20:31:33Z,1,73,INDIFFERENT,False
Ebj3u1uE51E,I Love You a Thousand Ways (December 1958 Version),Lefty Frizzell,The One and Only Lefty Frizzell,2:53,173,2026-09-12T20:31:33Z,2026-09-12T20:31:33Z,1,116,INDIFFERENT,False
rVuoICCGZx8,Blame,Gabriels,Angels & Queens (Deluxe),2:51,171,2026-09-12T20:31:33Z,2026-09-12T20:31:33Z,1,131,INDIFFERENT,False
-NOYzi94ZZ0,It's Four in the Morning (Rerecorded),Faron Young,Country Love Songs,2:52,172,2026-09-12T20:31:33Z,2026-09-12T20:31:33Z,1,135,INDIFFERENT,False
42ftuByPJ0I,Charlie Thompson - I've Got It Again,So Rockabilly,,2:31,151,2026-09-12T20:31:33Z,2026-09-12T20:31:33Z,1,154,INDIFFERENT,False
EYsXy8h2lJ0,Aces,"Taylor Olin, The Something Specials",Aces,3:38,218,2026-09-12T20:31:33Z,2026-09-12T20:31:33Z,1,187,INDIFFERENT,False
azmH_fgCR6c,Muir Woods,Paul Grant,Muir Woods,3:52,232,2026-09-12T20:31:33Z,2026-09-12T20:31:33Z,1,192,INDIFFERENT,False
8YMdCmOlW8E,Act Naturally,Loretta Lynn,Loretta Lynn Sings,2:29,149,2026-09-12T20:31:33Z,2026-09-12T20:31:33Z,1,207,INDIFFERENT,False
fJEWY7YTCZg,Here's That Rainy Day,Lara Louise,Here's That Rainy Day,2:48,168,2026-09-12T20:31:33Z,2026-09-12T20:31:33Z,1,261,INDIFFERENT,False
UY-cIYtv5r0,Happy,Ashanti,Ashanti,4:23,263,2026-09-12T20:31:33Z,2026-09-12T20:31:33Z,1,269,INDIFFERENT,False
pO4zzgFAsxQ,A Long Walk,Jill Scott,"Who Is Jill Scott? - Words and Sounds, Vol. 1",4:41,281,2026-09-12T20:31:33Z,2026-09-12T20:31:33Z,1,284,INDIFFERENT,False
ddcQfeI7_7o,Café Parisien,Catshi,Café Parisien,1:11,71,2026-09-12T20:31:33Z,2026-09-12T20:31:33Z,1,287,INDIFFERENT,False
xK5xSU1P3_k,Love Was Right Here All The Time,"Ernest Tubb, Loretta Lynn",Mr. And Mrs. Used To Be,2:32,152,2026-09-12T20:31:33Z,2026-09-12T20:31:33Z,1,303,INDIFFERENT,False
5P1RBufGiWQ,Hello Walls,Faron Young,The Greatest Country Music Recordings Of All Time Vol.5,2:24,144,2026-09-12T20:31:33Z,2026-09-12T20:31:33Z,1,304,INDIFFERENT,False
lE1XwiVSYJc,Still Waiting,Prince,Prince,4:16,256,2026-09-12T20:31:33Z,2026-09-12T20:31:33Z,1,308,INDIFFERENT,False
9fT1CEf7Wzg,Pon de Replay,Rihanna,Music Of The Sun,4:07,247,2026-09-12T20:31:33Z,2026-09-12T20:31:33Z,1,346,INDIFFERENT,False
wmVCH7gUqfw,Breakin' My Heart (Pretty Brown Eyes),Mint Condition,Meant To Be Mint,5:57,357,2026-09-12T20:31:33Z,2026-09-12T20:31:33Z,1,351,INDIFFERENT,False
WdyPcNEA27M,I Want You Around,Snoh Aalegra,"- Ugh, those feels again",3:33,213,2026-09-12T20:31:33Z,2026-09-13T01:23:15Z,2,287,INDIFFERENT,False
2r5j9mbePPI,Knockin' da Boots,H-TOWN,Fever for da Flavor,5:31,331,2026-09-12T20:31:33Z,2026-09-12T20:31:33Z,1,368,INDIFFERENT,False
9v4waG9SSM0,A Love of Your Own,Average White Band,Soul Searching,5:37,337,2026-09-12T20:31:33Z,2026-09-12T20:31:33Z,1,378,INDIFFERENT,False
JlrnRMlY8N8,High Fashion,Addison Rae,Addison,3:19,199,2026-09-12T20:31:33Z,2026-09-12T20:31:33Z,1,381,INDIFFERENT,False
_-1wNOE-UK8,Slipping Around,Ernest Tubb,The Very Best Of Ernest Tubb,2:49,169,2026-09-12T20:31:33Z,2026-09-12T20:31:33Z,1,404,INDIFFERENT,False
