artist,subscribers,browseId,link
Chuck Darwin & the Knuckle Draggers,14,UCyRSbITsZC5Z8b4mChxYyIA,https://music.youtube.com/browse/UCyRSbITsZC5Z8b4mChxYyIA
Reverend Kristin Michael Hayter,1.02K,UCHrkDw-ZxkeE83BfKiJLs-w,https://music.youtube.com/browse/UCHrkDw-ZxkeE83BfKiJLs-w
Kanaan,873,UCIUaTGSkwFTDh88UVLEWMmw,https://music.youtube.com/browse/UCIUaTGSkwFTDh88UVLEWMmw
Dom Flemons,570,UCvxwpLHucf5kj5sEkXIvdKA,https://music.youtube.com/browse/UCvxwpLHucf5kj5sEkXIvdKA
Tuba Skinny,734,UCMwkLMFwXZ4IIuTVeUdD9Zg,https://music.youtube.com/browse/UCMwkLMFwXZ4IIuTVeUdD9Zg
Ott,816,UCQ4wBzkVgNQz-tVoJmzm1iA,https://music.youtube.com/browse/UCQ4wBzkVgNQz-tVoJmzm1iA
Mama's Broke,2.13K,UC3c_23jP7Q5XepZABeM7B0g,https://music.youtube.com/browse/UC3c_23jP7Q5XepZABeM7B0g
Jacob Jolliff,30,UCh1hrGxafFlGAxTqKDCvvFw,https://music.youtube.com/browse/UCh1hrGxafFlGAxTqKDCvvFw
Jonny Nash,333,UCWtmal1Dvp0I1gl6MvTbITg,https://music.youtube.com/browse/UCWtmal1Dvp0I1gl6MvTbITg
Florian T M Zeisig,1,UCObbG5GQMkkvZu8iRhyEvDQ,https://music.youtube.com/browse/UCObbG5GQMkkvZu8iRhyEvDQ
Cristina Vane,1.03K,UCb8a18nV5KeOAi5ur9_8ESg,https://music.youtube.com/browse/UCb8a18nV5KeOAi5ur9_8ESg
Fourteen Days,12,UCAkK4tNIxtg5n53Q6AY3_Hw,https://music.youtube.com/browse/UCAkK4tNIxtg5n53Q6AY3_Hw
Big Richard,166,UCdqnF25GrRtR3jEOHVGzYzw,https://music.youtube.com/browse/UCdqnF25GrRtR3jEOHVGzYzw
Lucas Lawson,26,UCJtx3BCJ2NzH7w-B-bzT-3w,https://music.youtube.com/browse/UCJtx3BCJ2NzH7w-B-bzT-3w
Spinphony,124,UCp1DD5Uhzr9h9Y1JYJ4zYVw,https://music.youtube.com/browse/UCp1DD5Uhzr9h9Y1JYJ4zYVw
Mötley Crüe,1.06M,UCaeBWvnAVVgyfFT-gnWwURg,https://music.youtube.com/browse/UCaeBWvnAVVgyfFT-gnWwURg
Amon Tobin,49.9K,UCCbVPlwGMWlYTzFDyt5LUNQ,https://music.youtube.com/browse/UCCbVPlwGMWlYTzFDyt5LUNQ
Etran De L'Aïr,1.08K,UCgJF5fQkGwz9Hd3yXxgM_FA,https://music.youtube.com/browse/UCgJF5fQkGwz9Hd3yXxgM_FA
Random Rab,1.78K,UCqZu5xNSrAAU7YLegcfLvDA,https://music.youtube.com/browse/UCqZu5xNSrAAU7YLegcfLvDA
Kelsey Waldon,2.34K,UC7_0ZOq3-VTRqnVbB5txiIg,https://music.youtube.com/browse/UC7_0ZOq3-VTRqnVbB5txiIg
Ivan The Tolerable,65,UCE_mziq1BsjSNVFKPwfJ1IA,https://music.youtube.com/browse/UCE_mziq1BsjSNVFKPwfJ1IA
Magic Tuber Stringband,67,UCV0dWQ-d1Td7J866cT5pK8Q,https://music.youtube.com/browse/UCV0dWQ-d1Td7J866cT5pK8Q
Sam Platts And The Plainsmen,23,UCUqPlpJNdGjT1zJnjmXJBKA,https://music.youtube.com/browse/UCUqPlpJNdGjT1zJnjmXJBKA
SVLBRD,257,UC06bSNzqD-WE-6OAyY6oOjg,https://music.youtube.com/browse/UC06bSNzqD-WE-6OAyY6oOjg
David Benedict,44.6K,UCuEbATNJ3KJsGBs4QurSZcQ,https://music.youtube.com/browse/UCuEbATNJ3KJsGBs4QurSZcQ
Chihei Hatakeyama,2.32K,UCnW1zAfxQb2fuJQx3rCK1bw,https://music.youtube.com/browse/UCnW1zAfxQb2fuJQx3rCK1bw
Paperclip Minimiser,12,UCALubL_kdGldCx_kZxuJsAw,https://music.youtube.com/browse/UCALubL_kdGldCx_kZxuJsAw
Loscil,5.43K,UC9EE9HaPwLsC7F6C9Po0HVg,https://music.youtube.com/browse/UC9EE9HaPwLsC7F6C9Po0HVg
Wax Tailor,64.2K,UC6-3Uf3SgBam_m-D0sU1SLg,https://music.youtube.com/browse/UC6-3Uf3SgBam_m-D0sU1SLg
Fluxion,552,UClbOZ7r1seOOphqgqVjqq2A,https://music.youtube.com/browse/UClbOZ7r1seOOphqgqVjqq2A
Jaja,27,UCqUHRmb6Yjr4qde-40Jjlbw,https://music.youtube.com/browse/UCqUHRmb6Yjr4qde-40Jjlbw
Dengue Dengue Dengue,5.75K,UC3h3uUKgLoxVUxP14mrVZgQ,https://music.youtube.com/browse/UC3h3uUKgLoxVUxP14mrVZgQ
The Dustbowl Revival,7.01K,UC1d5kzPHT0dpK6q_LQe_n0w,https://music.youtube.com/browse/UC1d5kzPHT0dpK6q_LQe_n0w
Sven Wunder,1.23K,UCk2VOU3pHyB2KU_fdA8hn5Q,https://music.youtube.com/browse/UCk2VOU3pHyB2KU_fdA8hn5Q
Pinecastle Records,139,UCvuWGrrynNrlDE9iYpnUUuQ,https://music.youtube.com/browse/UCvuWGrrynNrlDE9iYpnUUuQ
Foghorn Stringband,1.13K,UCRbysAtZhju2vHPcfxRinog,https://music.youtube.com/browse/UCRbysAtZhju2vHPcfxRinog
Ned Luberecki,148,UCILmTKAn7ZllEmIu43nImgQ,https://music.youtube.com/browse/UCILmTKAn7ZllEmIu43nImgQ
Rachel Baiman,216,UCq2wiHxNYEClb70Oa7MsFCg,https://music.youtube.com/browse/UCq2wiHxNYEClb70Oa7MsFCg
El Búho,28.7K,UCqVINqsjnckrB0fZdPyqTtQ,https://music.youtube.com/browse/UCqVINqsjnckrB0fZdPyqTtQ
The Corn Potato String Band,93,UC2KfW0843dSjRWX5o6j9GNg,https://music.youtube.com/browse/UC2KfW0843dSjRWX5o6j9GNg
Trentemøller,74.1K,UCVKQD_Paj5SopCxS-qudbHg,https://music.youtube.com/browse/UCVKQD_Paj5SopCxS-qudbHg
Espers,472,UCffhELrauWPxjFzkHPo_GSA,https://music.youtube.com/browse/UCffhELrauWPxjFzkHPo_GSA
Ki Oni,27,UCB2ZpUK5SDRy0ePVA_R-l4g,https://music.youtube.com/browse/UCB2ZpUK5SDRy0ePVA_R-l4g
Jake Blount,863,UCNfQDWWJtoQl8YdKMQ3oaLw,https://music.youtube.com/browse/UCNfQDWWJtoQl8YdKMQ3oaLw
Simon Posford,319,UCMiqb0R1n4fnqZQkKmseLgA,https://music.youtube.com/browse/UCMiqb0R1n4fnqZQkKmseLgA
Opa Tsupa,14.8K,UCRGwVNhuaptW8dQcO_AKa0w,https://music.youtube.com/browse/UCRGwVNhuaptW8dQcO_AKa0w
"Chicken Chokers, The",40,UCDDOIk8tdQxUuDCOoSanKVA,https://music.youtube.com/browse/UCDDOIk8tdQxUuDCOoSanKVA
Cafe Accordion Orchestra,47.9K,UCVvXsA-PVozTrYG1aq2Dcmg,https://music.youtube.com/browse/UCVvXsA-PVozTrYG1aq2Dcmg
Noam Pikelny,6.98K,UCIYBNa25VarLPTdcw_NdOgA,https://music.youtube.com/browse/UCIYBNa25VarLPTdcw_NdOgA
Jake Eddy,67,UCZPhccid43cMdbrgJ-1MP4A,https://music.youtube.com/browse/UCZPhccid43cMdbrgJ-1MP4A
